Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-05-08,1,CKH,91.6,0.65,0.71,269,390,53.54,760,590,-33.71,92.50,14.000000000000002,17,15,0.67,0.63,+0.22,53.66,0.9,0.75,3.33,3.32,-0.66,-16.58,1.79,1.88,0.39,-0.62,0.09,0.09,0.0,0.13,0.75,1.22,1.68,4.08,8.27,10.06,5.51,2.36,1.91,1.46,0.29,0.0
2018-05-08,2,CLP,81.65,0.9,1.11,269,390,53.54,760,590,-33.71,82.50,12.0,12,13,0.58,0.68,+0.21,44.68,0.63,0.53,0.00,1.55,-0.57,-26.89,1.47,1.58,0.34,-0.65,0.07,0.07,0.0,0.0,0.31,0.62,1.04,3.37,7.32,9.01,4.93,2.02,1.56,1.15,0.18,0.0
2018-05-08,3,HKG,16.6,0.04,0.24,269,390,53.54,760,590,-33.71,16.50,7.000000000000001,9,10,0.18,0.22,+0.01,4.76,0.18,0.15,0.14,0.12,-0.03,-20.0,0.08,0.09,0.57,-0.44,0.02,0.02,0.0,0.0,0.13,0.21,0.31,0.93,1.76,1.56,0.73,0.21,0.13,0.05,0.0,0.0
2018-05-08,4,WHL,25.4,0.2,0.79,269,390,53.54,760,590,-33.71,25.00,20.0,22,23,0.00,0.78,+0.09,13.04,0.73,0.68,0.00,0.40,-0.11,-21.57,0.33,0.34,0.61,-0.39,0.02,0.02,0.01,0.18,0.66,0.79,0.92,1.77,2.94,2.16,1.06,0.54,0.42,0.29,0.11,0.0
2018-05-08,5,HKB,75.9,0.8,1.07,269,390,53.54,760,590,-33.71,75.00,18.0,15,14,1.33,1.42,+0.45,46.39,1.89,1.71,1.10,1.00,-0.42,-29.58,0.98,0.99,0.61,-0.38,0.07,0.07,0.0,0.23,1.27,1.66,2.06,4.73,8.5,6.69,3.08,1.04,0.67,0.36,0.0,0.0
2018-05-08,6,HEH,58.45,0.25,0.43,269,390,53.54,760,590,-33.71,57.50,10.0,11,12,0.86,1.02,+0.20,24.39,1.13,1.04,1.33,1.35,-0.23,-14.56,0.18,0.24,0.7,-0.31,0.05,0.05,0.0,0.08,0.86,1.17,1.69,3.88,6.8,4.89,2.08,0.55,0.26,0.18,0.0,0.0
2018-05-08,11,HSB,197.5,1.2,0.61,269,390,53.54,760,590,-33.71,197.50,15.0,19,20,2.40,3.22,-0.06,-1.83,3.12,2.63,6.00,4.51,-0.86,-16.01,3.1,3.11,0.49,-0.51,0.19,0.19,0.0,0.71,2.99,4.0,5.01,10.7,19.77,19.75,10.68,5.16,4.19,3.23,0.91,0.0
2018-05-08,12,HLD,49.8,0.65,1.32,269,390,53.54,760,590,-33.71,50.00,14.000000000000002,15,16,0.56,0.69,+0.21,43.75,0.63,0.52,1.08,0.90,-0.44,-32.84,0.83,0.85,0.44,-0.56,0.05,0.05,0.0,0.05,0.44,0.7,0.95,2.42,4.78,5.18,2.77,1.19,0.95,0.7,0.15,0.0
2018-05-08,16,SHK,125.0,2.2,1.79,269,390,53.54,760,590,-33.71,125.00,23.0,13,14,1.16,1.68,+0.71,73.2,3.01,2.61,2.15,1.69,-1.34,-44.22,3.0,2.92,0.47,-0.52,0.12,0.12,0.0,0.06,1.1,1.73,2.37,6.36,12.51,12.5,6.37,2.47,1.86,1.24,0.17,0.0
2018-05-08,17,NWD,11.32,0.2,1.8,269,390,53.54,760,590,-33.71,11.50,21.0,20,21,0.00,0.15,+0.05,50.0,0.16,0.14,0.00,0.34,-0.15,-30.61,0.34,0.35,0.36,-0.63,0.01,0.01,0.0,0.03,0.1,0.15,0.21,0.46,0.96,1.31,0.78,0.4,0.34,0.29,0.08,0.01
