Date,Stock Code,Option Code,Closing,Change,Change(%),HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-08-10,1,CKH,88.85,-1.1,-1.22,28366.61914,28400.0,472,347,-31.01,394,524,41.62,90.00,20.0,18,19,1.19,1.03,-0.51,-33.12,1.21,1.05,2.03,2.20,+0.63,40.13,2.35,2.4,0.37,-0.62,0.08,0.08,0.0,0.1,0.61,1.06,1.51,3.72,7.74,10.03,5.73,2.73,2.29,1.86,0.47,0.0
2018-08-10,2,CLP,91.05,0.1,0.11,28366.61914,28400.0,472,347,-31.01,394,524,41.62,90.00,17.0,15,14,2.25,1.92,+0.09,4.92,2.12,1.93,0.69,0.71,-0.09,-11.25,1.07,1.08,0.61,-0.38,0.08,0.08,0.0,0.23,1.44,1.91,2.41,5.61,10.16,8.06,3.69,1.21,0.76,0.4,0.0,0.0
2018-08-10,3,HKG,15.9,-0.14,-0.87,28366.61914,28400.0,472,347,-31.01,394,524,41.62,16.00,18.0,15,15,0.22,0.19,-0.07,-26.92,0.24,0.2,0.27,0.27,+0.06,28.57,0.34,0.34,0.41,-0.59,0.01,0.01,0.0,0.01,0.11,0.19,0.27,0.73,1.49,1.69,0.9,0.37,0.29,0.21,0.04,0.0
2018-08-10,4,WHL,24.35,-0.45,-1.81,28366.61914,28400.0,472,347,-31.01,394,524,41.62,24.00,21.0,21,22,0.54,0.63,-0.32,-33.68,0.69,0.64,0.47,0.49,+0.20,68.97,0.34,0.34,0.61,-0.4,0.02,0.02,0.0,0.14,0.57,0.69,0.82,1.64,2.79,2.08,1.02,0.48,0.36,0.24,0.08,0.0
2018-08-10,5,HKB,72.6,-0.75,-1.02,28366.61914,28400.0,472,347,-31.01,394,524,41.62,72.50,12.0,14,13,1.04,0.76,-0.48,-38.71,0.92,0.77,1.00,1.24,+0.33,36.26,0.82,0.83,0.49,-0.5,0.07,0.07,0.0,0.06,0.71,1.08,1.45,3.8,7.37,7.16,3.55,1.26,0.9,0.55,0.02,0.0
2018-08-10,6,HEH,55.95,0.0,0.0,28366.61914,28400.0,472,347,-31.01,394,524,41.62,55.00,10.0,14,15,1.57,1.24,-0.05,-3.88,1.1,1.01,0.60,0.69,+0.06,9.52,0.15,0.19,0.68,-0.33,0.05,0.05,0.0,0.15,0.98,1.27,1.72,3.75,6.55,4.64,2.03,0.64,0.37,0.23,0.0,0.0
2018-08-10,11,HSB,209.0,-7.6,-3.51,28366.61914,28400.0,472,347,-31.01,394,524,41.62,210.00,25.0,18,19,4.36,2.75,-4.76,-63.38,4.83,4.2,2.10,5.05,+3.09,157.65,5.81,5.66,0.44,-0.55,0.19,0.19,0.0,0.43,2.26,3.33,4.4,10.24,19.92,21.9,11.98,5.55,4.53,3.5,0.88,0.0
2018-08-10,12,HLD,42.0,-0.45,-1.06,28366.61914,28400.0,472,347,-31.01,394,524,41.62,42.00,19.0,24,25,0.00,0.99,-0.22,-18.18,0.8,0.69,0.79,0.98,+0.21,27.27,0.8,0.79,0.49,-0.5,0.04,0.04,0.0,0.24,0.81,1.02,1.24,2.36,4.21,4.2,2.35,1.27,1.06,0.86,0.28,0.03
2018-08-10,16,SHK,121.4,-0.8,-0.65,28366.61914,28400.0,472,347,-31.01,394,524,41.62,122.50,18.0,17,19,2.00,1.58,-0.51,-24.4,1.66,1.42,2.36,2.70,+0.42,18.42,2.75,2.79,0.4,-0.59,0.11,0.11,0.0,0.13,0.94,1.56,2.17,5.43,11.05,13.24,7.41,3.49,2.89,2.3,0.58,0.0
2018-08-10,17,NWD,10.94,-0.1,-0.91,28366.61914,28400.0,472,347,-31.01,394,524,41.62,11.00,18.0,20,20,0.00,0.19,-0.05,-20.83,0.17,0.14,0.21,0.24,+0.05,26.32,0.23,0.23,0.44,-0.55,0.01,0.01,0.0,0.03,0.14,0.19,0.25,0.54,1.03,1.15,0.64,0.31,0.25,0.2,0.05,0.0
2018-08-10,19,SWA,88.0,0.95,1.09,28366.61914,28400.0,472,347,-31.01,394,524,41.62,87.50,20.0,17,19,1.72,1.78,+0.47,35.88,2.06,1.82,1.45,1.30,-0.48,-26.97,1.55,1.52,0.54,-0.46,0.08,0.08,0.0,0.25,1.32,1.77,2.21,5.07,9.31,8.3,4.23,1.87,1.44,1.01,0.25,0.0
2018-08-10,23,BEA,30.25,-0.8,-2.58,28366.61914,28400.0,472,347,-31.01,394,524,41.62,30.00,20.0,23,22,0.82,0.82,-0.49,-37.4,0.72,0.64,0.52,0.51,+0.27,112.5,0.47,0.46,0.55,-0.44,0.03,0.03,0.0,0.18,0.67,0.83,0.98,1.9,3.28,2.77,1.43,0.69,0.55,0.4,0.12,0.0
