Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-06-22,1,CKH,84.8,0.05,0.06,160,211,-12.08,460,274,-19.65,85.00,18.0,20,19,0.62,0.80,-0.12,-13.04,0.75,0.66,1.46,0.93,-0.16,-14.68,0.95,0.92,0.46,-0.54,0.04,0.04,0.0,0.0,0.41,0.84,1.27,4.04,8.28,8.68,4.44,1.41,0.99,0.58,0.0,0.0
2018-06-22,2,CLP,80.2,0.15,0.19,160,211,-12.08,460,274,-19.65,80.00,13.0,14,13,0.58,0.69,-0.02,-2.82,0.7,0.63,0.60,0.44,-0.16,-26.67,0.5,0.48,0.54,-0.45,0.04,0.04,0.0,0.0,0.32,0.72,1.19,4.21,8.22,7.82,3.81,0.87,0.48,0.16,0.0,0.0
2018-06-22,3,HKG,14.94,0.1,0.67,160,211,-12.08,460,274,-19.65,15.00,40.0,15,12,0.00,0.09,+0.02,28.57,0.3,0.27,0.15,0.13,-0.10,-43.48,0.36,0.34,0.41,-0.62,0.01,0.01,0.0,0.0,0.04,0.09,0.17,0.69,1.43,1.55,0.81,0.23,0.13,0.06,0.0,0.0
2018-06-22,4,WHL,26.1,0.15,0.58,160,211,-12.08,460,274,-19.65,26.00,24.0,19,20,0.18,0.32,+0.05,18.52,0.39,0.36,0.00,0.23,-0.11,-32.35,0.29,0.27,0.56,-0.45,0.01,0.01,0.0,0.0,0.19,0.33,0.46,1.41,2.71,2.51,1.2,0.37,0.24,0.11,0.0,0.0
2018-06-22,5,HKB,74.4,0.0,0.0,160,211,-12.08,460,274,-19.65,75.00,14.000000000000002,14,13,0.26,0.32,-0.04,-11.11,0.27,0.26,1.40,0.87,-0.03,-3.33,0.86,0.91,0.32,-0.7,0.03,0.03,0.0,0.0,0.12,0.28,0.66,3.12,6.84,8.04,4.32,1.44,0.84,0.47,0.0,0.0
2018-06-22,6,HEH,54.6,0.3,0.55,160,211,-12.08,460,274,-19.65,55.00,12.0,13,14,0.17,0.21,+0.02,10.53,0.16,0.16,0.86,0.62,-0.23,-27.06,0.56,0.59,0.32,-0.67,0.02,0.03,0.0,0.0,0.08,0.2,0.47,2.33,5.06,5.86,3.13,1.04,0.63,0.35,0.0,0.0
2018-06-22,11,HSB,194.7,1.0,0.52,160,211,-12.08,460,274,-19.65,195.00,15.0,17,16,1.16,1.65,+0.25,17.86,1.51,1.32,2.14,1.81,-0.73,-28.74,1.8,1.75,0.46,-0.54,0.1,0.1,0.0,0.0,0.71,1.69,2.67,9.44,19.17,19.77,10.04,2.84,1.88,0.91,0.0,0.0
2018-06-22,12,HLD,42.7,0.25,0.59,160,211,-12.08,460,274,-19.65,43.00,42.0,19,19,0.17,0.30,+0.02,7.14,0.85,0.76,0.69,0.60,-0.25,-29.41,1.15,1.09,0.38,-0.62,0.02,0.02,0.0,0.0,0.13,0.3,0.52,1.84,3.97,4.57,2.44,0.86,0.6,0.39,0.0,0.0
2018-06-22,16,SHK,121.9,0.6,0.49,160,211,-12.08,460,274,-19.65,122.50,13.0,15,15,0.48,0.68,+0.11,19.3,0.6,0.53,2.00,1.31,-0.37,-22.02,1.2,1.22,0.39,-0.61,0.06,0.06,0.0,0.0,0.28,0.72,1.33,5.5,11.59,12.79,6.69,2.1,1.32,0.71,0.0,0.0
2018-06-22,17,NWD,11.3,-0.06,-0.53,160,211,-12.08,460,274,-19.65,11.50,20.0,27,27,0.08,0.08,-0.03,-27.27,0.04,0.04,0.25,0.28,+0.05,21.74,0.24,0.25,0.31,-0.69,0.01,0.01,0.0,0.0,0.05,0.07,0.13,0.41,0.93,1.33,0.77,0.36,0.27,0.22,0.04,0.0
2018-06-22,19,SWA,85.4,-0.55,-0.64,160,211,-12.08,460,274,-19.65,85.00,13.0,17,17,1.15,0.97,-0.50,-34.01,0.8,0.74,0.72,0.57,+0.07,14.0,0.4,0.4,0.58,-0.42,0.04,0.04,0.0,0.0,0.57,1.01,1.5,4.67,8.94,8.14,3.87,1.03,0.6,0.25,0.0,0.0
2018-06-22,23,BEA,31.95,0.75,2.4,160,211,-12.08,460,274,-19.65,32.00,21.0,23,25,0.20,0.37,+0.23,164.29,0.36,0.32,0.00,0.44,-0.49,-52.69,0.41,0.39,0.48,-0.52,0.02,0.02,0.0,0.0,0.22,0.38,0.55,1.56,3.15,3.25,1.66,0.63,0.47,0.31,0.03,0.0
2018-06-22,27,GLX,63.7,0.6,0.95,160,211,-12.08,460,274,-19.65,62.50,27.0,25,27,1.59,1.57,+0.28,21.71,1.56,1.58,0.85,0.42,-0.21,-33.33,0.36,0.42,0.72,-0.29,0.03,0.03,0.0,0.18,1.15,1.49,2.05,4.39,7.57,5.17,2.2,0.66,0.35,0.25,0.0,0.0
2018-06-22,66,MTR,43.45,1.35,3.21,160,211,-12.08,460,274,-19.65,43.00,18.0,20,19,0.40,0.72,+0.60,500.0,0.65,0.64,0.44,0.24,-0.80,-76.92,0.2,0.21,0.65,-0.34,0.02,0.02,0.0,0.02,0.49,0.71,1.02,2.62,4.8,3.89,1.73,0.45,0.23,0.12,0.0,0.0
2018-06-22,135,KLE,6.92,0.0,0.0,160,211,-12.08,460,274,-19.65,7.00,28.000000000000004,23,20,0.00,0.05,0.00,0.0,0.07,0.06,0.15,0.12,-0.02,-14.29,0.15,0.15,0.35,-0.68,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.28,0.61,0.77,0.43,0.17,0.12,0.08,0.01,0.0
