Date,Option Code,Strike,Open(C),Settle(C),IV(C),Open(P),Settle(P),IV(P)
2018-06-19,CKH,87.5,0.9,0.64,20,1.08,1.83,21
2018-06-19,CLP,82.5,0.38,0.08,14,1.68,2.51,14
2018-06-19,HKG,15.0,0.0,0.04,17,0.28,0.38,14
2018-06-19,WHL,27.0,0.0,0.04,23,0.0,1.32,20
2018-06-19,HKB,77.5,0.15,0.09,17,2.43,2.9,0
2018-06-19,HEH,55.0,0.46,0.37,14,0.3,0.69,15
2018-06-19,HSB,197.5,1.15,1.25,18,3.99,3.83,19
2018-06-19,HLD,44.0,0.28,0.24,21,0.95,1.17,23
2018-06-19,SHK,122.5,1.3,0.95,18,1.11,1.94,18
2018-06-19,NWD,11.5,0.15,0.15,28,0.23,0.26,27
2018-06-19,SWA,82.5,1.33,1.89,17,0.69,0.43,19
2018-06-19,BEA,32.0,0.34,0.33,25,0.62,0.75,26
2018-06-19,GLX,65.0,0.47,0.18,26,2.21,3.15,30
2018-06-19,MTR,43.0,0.26,0.22,19,0.4,1.04,21
2018-06-19,KLE,7.0,0.08,0.09,25,0.13,0.13,23
2018-06-19,WWC,7.5,0.09,0.05,40,0.32,0.45,41
2018-06-19,GAH,23.0,0.27,0.14,34,0.45,1.11,31
2018-06-19,CIT,11.5,0.0,0.05,24,0.49,0.43,28
2018-06-19,CPA,13.5,0.0,0.14,26,0.0,0.33,25
2018-06-19,JXC,11.0,0.0,0.11,30,0.3,0.34,29
2018-06-19,CPC,7.25,0.05,0.06,35,0.29,0.32,35
2018-06-19,HEX,255.0,1.5,1.01,22,4.5,7.86,19
2018-06-19,CRG,6.25,0.04,0.06,30,0.0,0.22,34
2018-06-19,DFM,9.0,0.0,0.03,26,0.0,0.6,22
2018-06-19,LIF,3.0,0.0,0.04,32,0.08,0.09,33
2018-06-19,COL,29.0,0.11,0.09,31,0.89,1.69,32
2018-06-19,TCH,410.0,3.6,1.68,24,6.33,14.27,21
2018-06-19,CTC,3.6,0.0,0.04,30,0.07,0.12,36
2018-06-19,CHU,10.0,0.14,0.14,30,0.28,0.26,31
2018-06-19,LNK,72.5,0.04,0.09,18,2.8,2.91,19
2018-06-19,PEC,6.0,0.09,0.07,37,0.15,0.25,40
2018-06-19,CNC,13.0,0.15,0.12,36,0.35,0.58,37
2018-06-19,HNP,5.5,0.07,0.06,39,0.16,0.24,36
2018-06-19,ACC,50.0,0.54,0.39,43,0.0,3.08,43
2018-06-19,XCC,7.75,0.054,0.039,23,0.2,0.235,22
2018-06-19,CHT,70.0,0.8,0.49,18,0.94,1.24,18
2018-06-19,LEN,4.3,0.03,0.03,28,0.0,0.15,28
2018-06-19,CTB,5.25,0.0,0.03,25,0.11,0.19,30
2018-06-19,HGN,77.5,0.81,0.51,30,0.0,2.99,27
2018-06-19,CSE,21.0,0.21,0.15,33,1.68,1.85,33
2018-06-19,CRL,29.0,0.3,0.35,36,0.53,1.05,33
2018-06-19,CKP,65.0,0.77,0.42,18,0.57,1.2,17
2018-06-19,YZC,11.5,0.16,0.11,49,0.35,0.73,41
2018-06-19,CRC,8.5,0.0,0.13,27,0.22,0.15,24
2018-06-19,BYD,52.5,0.27,0.16,31,2.55,3.1,36
2018-06-19,XAB,4.0,0.018,0.019,25,0.115,0.152,28
2018-06-19,AIA,70.0,0.6,0.19,22,1.88,2.77,22
2018-06-19,NCL,37.0,0.4,0.32,33,1.25,1.56,36
2018-06-19,PIN,4.0,0.04,0.03,39,0.0,0.22,40
2018-06-19,CDA,2.8,0.0,0.02,28,0.07,0.11,36
2018-06-19,XIC,6.25,0.065,0.048,23,0.08,0.153,22
2018-06-19,CCC,8.5,0.0,0.02,24,0.0,0.63,25
2018-06-19,CGN,2.1,0.0,0.02,33,0.06,0.08,33
2018-06-19,CCE,3.5,0.0,0.02,26,0.0,0.18,29
2018-06-19,SUN,32.0,0.32,0.26,47,1.45,2.19,46
2018-06-19,CCS,4.1,0.0,0.01,31,0.0,0.26,32
2018-06-19,SAN,45.0,0.32,0.16,25,1.21,1.85,25
2018-06-19,COG,16.0,0.22,0.3,45,0.0,0.68,48
2018-06-19,AAC,120.0,1.53,1.56,41,4.59,5.16,40
2018-06-19,FIH,1.7,0.0,0.01,134,0.0,0.45,0
2018-06-19,GAC,8.75,0.11,0.09,44,0.0,0.5,45
2018-06-19,MGM,21.0,0.28,0.13,30,0.6,0.9,33
2018-06-19,PAI,80.0,0.35,0.17,20,2.02,3.09,22
2018-06-19,MEN,27.0,0.59,0.54,37,0.68,0.77,39
2018-06-19,PIC,14.0,0.1,0.06,29,0.0,0.99,39
2018-06-19,GWM,7.0,0.08,0.07,34,0.3,0.28,37
2018-06-19,SNO,165.0,1.85,1.32,46,11.5,10.67,41
2018-06-19,BOC,39.0,0.55,0.32,18,0.37,0.61,18
2018-06-19,ALC,3.9,0.05,0.03,39,0.14,0.2,33
2018-06-19,CPI,35.0,0.11,0.02,24,0.0,2.3,0
2018-06-19,CLI,22.0,0.11,0.12,25,0.53,0.74,23
2018-06-19,RFP,18.0,0.23,0.22,38,0.0,0.74,39
