Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-07-23,1,CKH,83.45,-0.3,-0.36,262,264,-10.2,280,248,-7.12,82.50,15.0,18,20,1.55,1.43,-0.23,-13.86,1.22,1.21,0.35,0.51,+0.07,15.91,0.26,0.33,0.67,-0.34,0.04,0.04,0.0,0.03,0.95,1.37,2.01,5.12,9.3,7.39,3.3,0.93,0.52,0.28,0.0,0.0
2018-07-23,2,CLP,89.4,0.0,0.0,262,264,-10.2,280,248,-7.12,90.00,18.0,11,12,0.00,0.33,-0.11,-25.0,0.66,0.59,1.00,0.94,-0.10,-9.62,1.26,1.26,0.31,-0.67,0.04,0.04,0.0,0.0,0.11,0.29,0.74,3.87,8.34,9.54,5.07,1.63,0.94,0.5,0.0,0.0
2018-07-23,3,HKG,16.22,0.0,0.0,262,264,-10.2,280,248,-7.12,16.00,13.0,12,14,0.00,0.26,-0.03,-10.34,0.26,0.25,0.08,0.05,-0.03,-37.5,0.03,0.04,0.78,-0.25,0.01,0.01,0.0,0.0,0.14,0.25,0.39,1.03,1.84,1.4,0.59,0.11,0.04,0.02,0.0,0.0
2018-07-23,4,WHL,25.85,0.2,0.78,262,264,-10.2,280,248,-7.12,26.00,13.0,19,21,0.23,0.22,+0.04,22.22,0.12,0.11,0.38,0.38,-0.16,-29.63,0.27,0.28,0.41,-0.58,0.01,0.01,0.0,0.0,0.1,0.22,0.35,1.15,2.44,2.73,1.44,0.53,0.4,0.27,0.02,0.0
2018-07-23,5,HKB,73.4,0.2,0.27,262,264,-10.2,280,248,-7.12,72.50,12.0,16,17,1.16,1.21,+0.06,5.22,1.06,1.02,0.37,0.33,-0.09,-21.43,0.15,0.18,0.7,-0.31,0.04,0.04,0.0,0.0,0.78,1.15,1.78,4.57,8.24,6.44,2.79,0.66,0.29,0.17,0.0,0.0
2018-07-23,6,HEH,57.3,-0.15,-0.26,262,264,-10.2,280,248,-7.12,57.50,13.0,16,15,0.57,0.45,-0.05,-10.0,0.36,0.31,0.55,0.60,+0.06,11.11,0.56,0.56,0.43,-0.58,0.03,0.03,0.0,0.0,0.18,0.45,0.74,2.67,5.53,5.93,3.07,0.93,0.62,0.33,0.0,0.0
2018-07-23,11,HSB,201.0,2.6,1.31,262,264,-10.2,280,248,-7.12,200.00,10.0,16,17,1.56,2.42,+0.94,63.51,1.65,1.53,2.70,1.48,-1.66,-52.87,0.64,0.68,0.58,-0.42,0.11,0.11,0.0,0.0,1.41,2.43,3.6,11.06,21.11,19.1,9.05,2.54,1.54,0.65,0.0,0.0
2018-07-23,12,HLD,41.75,0.25,0.6,262,264,-10.2,280,248,-7.12,42.00,15.0,21,20,0.00,0.39,+0.08,25.81,0.24,0.22,0.60,0.60,-0.17,-22.08,0.49,0.5,0.41,-0.59,0.02,0.02,0.0,0.0,0.19,0.4,0.61,1.88,3.93,4.42,2.34,0.83,0.63,0.42,0.03,0.0
2018-07-23,16,SHK,117.3,0.3,0.26,262,264,-10.2,280,248,-7.12,117.50,11.0,16,15,1.15,1.00,+0.07,7.53,0.66,0.56,1.03,1.10,-0.32,-22.54,0.86,0.85,0.46,-0.54,0.06,0.06,0.0,0.0,0.44,1.03,1.62,5.67,11.53,11.93,6.07,1.73,1.15,0.57,0.0,0.0
2018-07-23,17,NWD,10.7,0.0,0.0,262,264,-10.2,280,248,-7.12,10.50,13.0,22,21,0.00,0.26,-0.01,-3.7,0.22,0.21,0.00,0.05,-0.01,-16.67,0.02,0.02,0.73,-0.26,0.0,0.0,0.0,0.03,0.19,0.25,0.34,0.74,1.27,0.87,0.36,0.09,0.04,0.03,0.0,0.0
2018-07-23,19,SWA,82.25,-2.75,-3.24,262,264,-10.2,280,248,-7.12,82.50,25.0,22,24,1.07,0.93,-1.78,-65.68,1.09,0.97,0.80,1.22,+1.01,480.95,1.34,1.28,0.46,-0.54,0.05,0.05,0.0,0.0,0.55,0.96,1.38,3.94,7.98,8.47,4.39,1.71,1.31,0.9,0.12,0.0
2018-07-23,23,BEA,30.5,0.05,0.16,262,264,-10.2,280,248,-7.12,30.00,20.0,22,22,0.59,0.69,-0.03,-4.17,0.62,0.62,0.34,0.17,-0.07,-29.17,0.12,0.14,0.7,-0.3,0.01,0.01,0.0,0.07,0.5,0.65,0.91,2.03,3.55,2.55,1.09,0.3,0.15,0.1,0.0,0.0
2018-07-23,27,GLX,62.25,0.25,0.4,262,264,-10.2,280,248,-7.12,62.50,40.0,30,30,0.91,0.94,+0.02,2.17,1.36,1.22,1.24,1.18,-0.14,-10.61,1.61,1.52,0.46,-0.54,0.03,0.03,0.0,0.13,0.68,1.0,1.31,3.08,5.98,6.48,3.49,1.55,1.25,0.94,0.22,0.0
2018-07-23,66,MTR,42.3,0.4,0.95,262,264,-10.2,280,248,-7.12,42.00,15.0,13,14,0.00,0.49,+0.20,68.97,0.54,0.5,0.19,0.20,-0.20,-50.0,0.24,0.24,0.64,-0.37,0.02,0.02,0.0,0.0,0.27,0.48,0.8,2.42,4.53,3.93,1.82,0.41,0.2,0.09,0.0,0.0
2018-07-23,135,KLE,6.62,0.01,0.15,262,264,-10.2,280,248,-7.12,6.50,14.000000000000002,26,27,0.00,0.17,0.00,0.0,0.13,0.13,0.00,0.05,0.00,0.0,0.01,0.01,0.69,-0.31,0.0,0.0,0.0,0.02,0.13,0.16,0.21,0.45,0.78,0.54,0.24,0.08,0.05,0.03,0.0,0.0
