Date,Option Code,Strike,Open(C),Settle(C),IV(C),Open(P),Settle(P),IV(P)
2018-06-12,CKH,90.0,1.75,2.08,14,0.7,0.42,13
2018-06-12,CLP,82.5,0.65,0.53,12,1.08,1.19,11
2018-06-12,HKG,15.5,0.07,0.07,13,0.29,0.35,12
2018-06-12,WHL,26.0,0.38,0.35,19,0.54,0.46,17
2018-06-12,HKB,77.5,0.51,0.51,12,1.22,1.18,12
2018-06-12,HEH,55.0,1.13,1.06,11,0.2,0.22,11
2018-06-12,HSB,205.0,1.08,1.14,13,4.29,4.19,14
2018-06-12,HLD,46.0,0.38,0.41,16,1.0,0.96,17
2018-06-12,SHK,127.5,1.12,1.43,14,1.72,1.47,13
2018-06-12,NWD,12.0,0.3,0.27,22,0.22,0.2,23
2018-06-12,SWA,82.5,1.21,1.32,16,0.91,0.96,15
2018-06-12,BEA,33.0,0.0,0.37,19,0.0,0.77,20
2018-06-12,GLX,65.0,2.2,1.96,23,0.85,0.86,25
2018-06-12,MTR,44.0,0.0,0.77,11,0.26,0.22,12
2018-06-12,KLE,7.25,0.09,0.09,25,0.22,0.24,24
2018-06-12,WWC,7.75,0.37,0.32,39,0.21,0.21,40
2018-06-12,GAH,24.0,0.82,0.85,30,0.54,0.4,28
2018-06-12,CIT,12.0,0.0,0.07,20,0.0,0.46,21
2018-06-12,CPA,14.0,0.0,0.12,20,0.0,0.41,20
2018-06-12,JXC,12.0,0.15,0.13,27,0.5,0.47,25
2018-06-12,CPC,7.5,0.24,0.21,30,0.17,0.18,31
2018-06-12,HEX,260.0,4.85,4.3,17,3.5,3.55,17
2018-06-12,CRG,6.25,0.16,0.15,24,0.0,0.12,26
2018-06-12,DFM,9.0,0.0,0.3,25,0.0,0.23,23
2018-06-12,LIF,3.1,0.0,0.06,28,0.1,0.1,32
2018-06-12,COL,29.0,0.32,0.43,23,0.72,0.68,21
2018-06-12,TCH,420.0,8.0,6.99,23,7.9,8.89,21
2018-06-12,CTC,3.7,0.0,0.05,20,0.0,0.08,21
2018-06-12,CHU,10.0,0.48,0.43,29,0.15,0.11,27
2018-06-12,LNK,72.5,0.0,0.97,15,1.22,1.3,14
2018-06-12,PEC,6.5,0.2,0.15,31,0.14,0.18,28
2018-06-12,CNC,13.5,0.58,0.43,29,0.22,0.27,30
2018-06-12,HNP,5.75,0.12,0.17,30,0.09,0.14,33
2018-06-12,ACC,49.0,1.21,2.18,35,1.51,0.88,34
2018-06-12,XCC,8.0,0.159,0.15,17,0.084,0.079,16
2018-06-12,CHT,72.5,0.76,0.66,16,1.02,1.36,15
2018-06-12,LEN,4.1,0.0,0.18,26,0.0,0.04,27
2018-06-12,CTB,5.25,0.0,0.18,24,0.0,0.07,27
2018-06-12,HGN,77.5,1.65,2.87,28,1.09,0.95,26
2018-06-12,CSE,21.0,0.7,0.69,31,1.02,1.0,27
2018-06-12,CRL,31.0,0.69,0.66,27,1.02,0.89,28
2018-06-12,CKP,65.0,0.0,1.96,13,0.39,0.23,15
2018-06-12,YZC,11.5,0.7,0.8,43,0.21,0.17,40
2018-06-12,CRC,9.0,0.1,0.12,21,0.0,0.22,22
2018-06-12,BYD,55.0,0.7,0.69,27,2.58,2.15,29
2018-06-12,XAB,4.2,0.038,0.031,16,0.0,0.098,16
2018-06-12,AIA,72.5,1.6,1.09,23,1.41,1.66,21
2018-06-12,NCL,37.0,0.95,1.35,30,0.0,0.6,29
2018-06-12,PIN,4.0,0.15,0.16,35,0.0,0.08,33
2018-06-12,CDA,2.9,0.0,0.03,21,0.07,0.09,26
2018-06-12,XIC,6.5,0.113,0.127,17,0.055,0.067,16
2018-06-12,CCC,8.5,0.0,0.11,18,0.0,0.3,19
2018-06-12,CGN,2.2,0.0,0.02,21,0.0,0.07,22
2018-06-12,CCE,3.5,0.0,0.08,25,0.1,0.09,19
2018-06-12,SUN,32.0,1.16,1.38,39,0.88,0.75,36
2018-06-12,CCS,4.2,0.0,0.1,25,0.0,0.08,25
2018-06-12,SAN,45.0,1.38,1.22,23,0.58,0.6,23
2018-06-12,COG,16.5,0.7,0.75,41,0.0,0.44,41
2018-06-12,AAC,127.5,3.67,3.57,36,3.87,3.97,34
2018-06-12,FIH,1.7,0.0,0.01,74,0.0,0.32,0
2018-06-12,GAC,9.5,0.0,0.21,33,0.3,0.32,32
2018-06-12,MGM,21.0,0.65,0.8,30,0.0,0.31,28
2018-06-12,PAI,77.5,1.8,2.14,18,0.71,0.59,18
2018-06-12,MEN,29.0,0.79,1.38,37,0.67,0.5,34
2018-06-12,PIC,14.0,0.0,0.37,25,0.5,0.41,22
2018-06-12,GWM,7.5,0.17,0.17,24,0.14,0.15,26
2018-06-12,SNO,170.0,5.99,6.96,36,3.75,3.95,37
2018-06-12,BOC,40.0,0.55,0.6,16,0.35,0.46,15
2018-06-12,ALC,4.2,0.09,0.08,31,0.14,0.15,32
2018-06-12,CPI,35.0,0.56,0.58,29,0.9,1.16,26
2018-06-12,CLI,23.0,0.13,0.13,18,0.68,0.69,16
2018-06-12,RFP,19.0,0.23,0.39,27,0.0,0.51,28
2018-06-12,TRF,32.0,0.0,0.24,15,0.61,0.63,15
2018-06-12,CSA,15.0,0.27,0.34,20,0.25,0.17,18
2018-06-12,A50,14.5,0.27,0.38,20,0.19,0.14,19
2018-06-12,HCF,125.0,1.4,1.07,17,2.74,2.9,16
2018-06-12,STC,77.5,0.0,1.19,16,0.95,0.97,16
2018-06-12,ZJM,3.6,0.12,0.11,39,0.0,0.12,36
2018-06-12,AMC,47.0,0.69,1.13,16,0.72,0.37,17
2018-06-12,NBM,9.75,0.28,0.25,44,0.38,0.46,40
2018-06-12,BCM,6.5,0.06,0.06,20,0.0,0.44,0
2018-06-12,EVG,24.0,0.0,0.74,40,0.0,0.83,37
2018-06-12,PLE,0.8,0.04,0.04,59,0.0,0.04,60
2018-06-12,KSO,25.0,0.84,1.04,29,0.45,0.33,29
2018-06-12,CMB,33.0,0.5,0.41,21,0.9,0.82,21
2018-06-12,XBC,4.2,0.057,0.052,15,0.05,0.056,14
2018-06-12,CTS,19.5,0.41,0.26,24,0.53,0.73,21
2018-06-12,HAI,9.75,0.16,0.19,27,0.26,0.27,29
