Date,Option Code,Strike,Open(C),Settle(C),IV(C),Open(P),Settle(P),IV(P)
2018-05-17,CKH,90.0,0.63,0.58,14,1.11,1.56,15
2018-05-17,CLP,80.0,1.44,1.37,10,0.25,0.28,11
2018-05-17,HKG,17.0,0.14,0.14,11,0.1,0.15,11
2018-05-17,WHL,26.0,0.36,0.33,19,0.49,0.45,20
2018-05-17,HKB,77.5,0.8,0.62,14,0.95,1.07,13
2018-05-17,HEH,55.0,0.83,0.33,12,0.33,0.85,14
2018-05-17,HSB,197.5,2.56,1.77,16,2.84,3.16,15
2018-05-17,HLD,50.0,0.93,0.89,15,0.2,0.36,15
2018-05-17,SHK,127.5,2.11,1.43,15,1.26,1.57,16
2018-05-17,NWD,12.0,0.2,0.26,27,0.21,0.23,26
2018-05-17,SWA,80.0,0.64,0.31,17,1.61,2.4,15
2018-05-17,BEA,33.0,0.0,0.54,21,0.0,0.49,20
2018-05-17,GLX,67.5,1.35,1.01,23,1.1,1.37,22
2018-05-17,MTR,46.0,0.29,0.11,12,0.81,1.13,13
2018-05-17,KLE,7.0,0.08,0.07,23,0.38,0.39,22
2018-05-17,WWC,7.25,0.0,0.18,30,0.15,0.15,29
2018-05-17,GAH,23.0,0.0,0.56,30,0.58,0.47,28
2018-05-17,CIT,12.0,0.0,0.13,17,0.0,0.18,16
2018-05-17,CPA,13.0,0.55,0.22,18,0.0,0.15,18
2018-05-17,JXC,11.5,0.21,0.19,27,0.25,0.28,26
2018-05-17,CPC,8.0,0.16,0.12,24,0.4,0.47,0
2018-05-17,HEX,260.0,4.23,3.63,20,3.53,4.32,19
2018-05-17,CRG,6.25,0.0,0.1,20,0.1,0.11,23
2018-05-17,DFM,9.0,0.1,0.1,25,0.0,0.27,25
2018-05-17,LIF,4.2,0.0,0.01,53,0.0,0.61,0
2018-05-17,COL,27.0,0.7,0.46,22,0.45,0.44,21
2018-05-17,TCH,400.0,16.0,14.68,28,3.0,3.85,26
2018-05-17,CTC,3.8,0.03,0.03,19,0.0,0.08,15
2018-05-17,CHU,11.0,0.36,0.41,24,0.15,0.09,25
2018-05-17,LNK,67.5,0.0,0.76,16,0.96,0.86,15
2018-05-17,PEC,6.25,0.09,0.06,24,0.16,0.18,22
2018-05-17,CNC,14.0,0.39,0.23,22,0.14,0.23,21
2018-05-17,HNP,5.5,0.1,0.1,23,0.0,0.11,26
2018-05-17,ACC,49.0,1.67,1.19,35,0.97,1.35,33
2018-05-17,XCC,8.25,0.109,0.074,18,0.097,0.154,16
2018-05-17,CHT,75.0,0.22,0.15,16,2.99,3.18,0
2018-05-17,LEN,3.9,0.0,0.06,33,0.13,0.14,30
2018-05-17,CTB,5.75,0.0,0.11,26,0.3,0.32,16
2018-05-17,HGN,72.5,0.87,1.48,22,1.8,1.51,24
2018-05-17,CSE,21.0,0.43,0.35,30,0.45,0.61,28
2018-05-17,CRL,30.0,0.8,0.57,27,0.5,0.63,25
2018-05-17,CKP,67.5,0.48,0.51,15,0.72,1.12,15
2018-05-17,YZC,11.5,0.28,0.29,45,0.76,0.85,38
2018-05-17,CRC,9.0,0.0,0.14,18,0.0,0.11,17
2018-05-17,BYD,55.0,0.68,0.43,30,2.65,2.65,28
2018-05-17,XAB,4.5,0.016,0.007,20,0.0,0.236,20
2018-05-17,AIA,72.5,0.99,0.73,23,1.88,2.13,22
2018-05-17,NCL,37.0,0.91,0.73,33,0.98,1.11,31
2018-05-17,PIN,3.8,0.05,0.04,24,0.0,0.11,24
2018-05-17,CDA,2.9,0.0,0.02,19,0.0,0.07,14
2018-05-17,XIC,7.0,0.04,0.02,18,0.0,0.26,16
2018-05-17,CCC,8.5,0.19,0.2,20,0.07,0.07,18
2018-05-17,CGN,2.2,0.02,0.03,20,0.0,0.03,15
2018-05-17,CCE,3.6,0.04,0.04,27,0.0,0.12,27
2018-05-17,SUN,34.0,0.86,0.81,33,0.77,0.84,31
2018-05-17,CCS,4.3,0.0,0.13,34,0.0,0.11,38
2018-05-17,SAN,46.0,1.15,1.31,22,0.7,0.5,24
2018-05-17,COG,16.5,0.34,0.39,30,0.48,0.4,28
2018-05-17,AAC,112.5,4.06,4.01,37,3.07,2.27,35
2018-05-17,GAC,14.5,0.29,0.23,36,0.0,0.64,38
2018-05-17,MGM,22.0,0.0,0.76,25,0.27,0.22,26
2018-05-17,PAI,80.0,0.66,0.59,19,2.2,2.0,19
2018-05-17,MEN,27.0,0.0,0.86,29,0.5,0.36,27
2018-05-17,PIC,14.5,0.2,0.15,29,0.0,0.54,26
2018-05-17,GWM,8.0,0.0,0.09,24,0.2,0.21,22
2018-05-17,SNO,152.5,4.48,3.79,39,0.0,5.16,37
2018-05-17,BOC,40.0,0.55,0.6,16,0.46,0.4,15
2018-05-17,ALC,4.3,0.09,0.11,32,0.0,0.09,29
2018-05-17,CPI,36.0,0.52,0.54,25,1.0,0.83,24
2018-05-17,CLI,23.0,0.12,0.18,23,0.7,0.76,23
2018-05-17,RFP,19.5,0.0,0.23,26,0.0,0.6,26
2018-05-17,TRF,31.0,0.58,0.53,16,0.23,0.25,15
2018-05-17,CSA,15.0,0.0,0.23,19,0.18,0.19,17
2018-05-17,A50,15.0,0.13,0.09,18,0.35,0.41,19
2018-05-17,HCF,125.0,1.86,1.38,17,1.5,1.93,16
2018-05-17,STC,80.0,0.0,1.33,14,0.75,0.57,14
2018-05-17,ZJM,3.6,0.0,0.05,31,0.0,0.13,31
2018-05-17,AMC,49.0,0.58,0.42,17,0.0,0.91,17
2018-05-17,NBM,9.5,0.25,0.15,41,0.0,0.5,41
2018-05-17,BCM,6.5,0.0,0.03,17,0.0,0.2,21
2018-05-17,EVG,25.0,0.0,0.38,31,0.0,0.83,29
2018-05-17,PLE,0.95,0.03,0.03,41,0.0,0.03,42
2018-05-17,KSO,24.0,0.75,0.45,39,0.66,1.04,37
2018-05-17,CMB,35.0,0.43,0.32,29,1.24,1.4,26
2018-05-17,XBC,4.2,0.07,0.052,16,0.038,0.047,15
2018-05-17,CTS,20.0,0.37,0.26,30,0.65,0.71,29
2018-05-17,HAI,11.0,0.0,0.07,26,0.0,0.48,28
