Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-07-03,1,CKH,81.9,-1.3,-1.56,481,516,-26.29,786,804,40.56,82.50,17.0,22,20,1.71,1.73,-0.57,-24.78,1.34,1.12,2.75,2.14,+0.74,52.86,1.93,1.97,0.44,-0.56,0.09,0.09,0.0,0.45,1.41,1.83,2.25,4.16,7.77,8.79,5.05,2.63,2.23,1.83,0.55,0.07
2018-07-03,2,CLP,84.35,-0.15,-0.18,481,516,-26.29,786,804,40.56,85.00,17.0,14,13,0.88,1.09,-0.06,-5.22,1.38,1.15,0.00,1.57,+0.09,6.08,2.02,2.06,0.4,-0.61,0.09,0.09,0.0,0.07,0.65,1.07,1.5,3.84,7.79,9.09,4.89,2.03,1.62,1.2,0.22,0.0
2018-07-03,3,HKG,15.02,0.0,0.0,481,516,-26.29,786,804,40.56,15.00,41.0,15,15,0.25,0.27,0.00,0.0,0.73,0.65,0.27,0.23,+0.01,4.55,0.71,0.67,0.49,-0.51,0.02,0.02,0.0,0.04,0.2,0.28,0.35,0.81,1.52,1.48,0.77,0.33,0.25,0.18,0.04,0.0
2018-07-03,4,WHL,25.2,0.0,0.0,481,516,-26.29,786,804,40.56,25.00,23.0,24,24,0.51,0.79,+0.04,5.33,0.78,0.69,0.66,0.55,+0.07,14.58,0.58,0.56,0.54,-0.46,0.03,0.03,0.05,0.21,0.68,0.81,0.94,1.64,2.75,2.37,1.27,0.73,0.61,0.49,0.18,0.03
2018-07-03,5,HKB,72.35,-1.25,-1.7,481,516,-26.29,786,804,40.56,72.50,14.000000000000002,17,16,1.10,1.32,-0.70,-34.65,1.14,0.94,1.43,1.34,+0.59,78.67,1.28,1.31,0.46,-0.54,0.08,0.08,0.0,0.24,1.01,1.38,1.75,3.78,7.09,7.39,3.96,1.79,1.44,1.08,0.26,0.0
2018-07-03,6,HEH,55.35,0.5,0.91,481,516,-26.29,786,804,40.56,55.00,15.0,15,15,0.80,1.15,+0.23,25.0,1.13,0.97,1.15,0.74,-0.21,-22.11,0.78,0.79,0.54,-0.46,0.06,0.06,0.0,0.17,0.87,1.15,1.44,3.23,5.89,5.18,2.59,1.07,0.8,0.53,0.11,0.0
2018-07-03,11,HSB,196.4,0.2,0.1,481,516,-26.29,786,804,40.56,197.50,15.0,20,20,3.32,4.02,-0.04,-0.99,2.89,2.38,0.00,4.94,+0.06,1.23,3.97,4.07,0.45,-0.55,0.21,0.21,0.0,0.9,3.09,4.1,5.1,10.02,18.68,20.74,11.81,6.14,5.18,4.22,1.28,0.12
2018-07-03,12,HLD,41.7,0.2,0.48,481,516,-26.29,786,804,40.56,42.00,41.0,22,21,0.65,0.92,+0.05,5.75,1.85,1.63,1.71,1.13,-0.12,-9.6,2.15,2.06,0.44,-0.56,0.04,0.04,0.0,0.23,0.72,0.94,1.15,2.12,3.96,4.47,2.59,1.39,1.18,0.98,0.31,0.06
2018-07-03,16,SHK,119.5,1.1,0.93,481,516,-26.29,786,804,40.56,120.00,13.0,19,18,2.51,2.32,+0.36,18.37,1.66,1.35,3.36,2.56,-0.71,-21.71,2.14,2.21,0.45,-0.55,0.13,0.13,0.0,0.5,1.82,2.44,3.05,6.17,11.46,12.45,6.9,3.37,2.78,2.2,0.61,0.0
2018-07-03,17,NWD,11.14,0.1,0.91,481,516,-26.29,786,804,40.56,11.00,19.0,24,24,0.24,0.38,+0.05,15.15,0.31,0.28,0.35,0.22,-0.04,-15.38,0.17,0.18,0.57,-0.43,0.01,0.01,0.03,0.1,0.33,0.38,0.44,0.77,1.26,1.0,0.52,0.3,0.24,0.19,0.07,0.01
2018-07-03,19,SWA,86.15,3.05,3.67,481,516,-26.29,786,804,40.56,85.00,18.0,19,20,1.07,2.52,+1.42,129.09,2.41,2.17,1.81,1.35,-1.44,-51.61,1.26,1.28,0.59,-0.41,0.09,0.09,0.0,0.54,2.05,2.5,2.94,5.76,9.77,7.48,3.74,1.86,1.44,1.02,0.35,0.0
2018-07-03,23,BEA,31.6,0.25,0.8,481,516,-26.29,786,804,40.56,32.00,21.0,26,25,0.66,0.74,+0.10,15.62,0.6,0.52,1.35,1.06,-0.25,-19.08,1.0,1.01,0.43,-0.58,0.03,0.03,0.02,0.23,0.61,0.77,0.94,1.59,2.93,3.56,2.19,1.29,1.13,0.98,0.37,0.15
2018-07-03,27,GLX,56.8,-3.95,-6.5,481,516,-26.29,786,804,40.56,57.50,36.0,35,35,1.75,1.88,-2.30,-55.02,2.05,1.79,2.40,2.54,+1.77,229.87,2.74,2.67,0.45,-0.54,0.06,0.06,0.32,0.71,1.71,2.01,2.3,3.49,5.6,6.7,4.24,2.97,2.7,2.43,1.34,0.61
2018-07-03,66,MTR,43.0,-0.4,-0.92,481,516,-26.29,786,804,40.56,43.00,18.0,19,19,0.75,0.93,-0.16,-14.68,0.92,0.78,1.05,0.89,+0.20,28.99,0.91,0.91,0.49,-0.51,0.05,0.05,0.0,0.2,0.74,0.96,1.18,2.38,4.3,4.3,2.35,1.17,0.96,0.75,0.22,0.0
2018-07-03,135,KLE,6.81,-0.06,-0.87,481,516,-26.29,786,804,40.56,6.75,17.0,26,24,0.00,0.23,-0.01,-4.17,0.16,0.14,0.17,0.15,+0.02,15.38,0.1,0.1,0.55,-0.45,0.01,0.01,0.02,0.07,0.2,0.24,0.27,0.46,0.76,0.63,0.34,0.19,0.16,0.13,0.05,0.01
2018-07-03,151,WWC,6.76,-0.22,-3.15,481,516,-26.29,786,804,40.56,6.75,49.0,47,49,0.24,0.34,-0.12,-26.09,0.39,0.35,0.47,0.39,+0.10,34.48,0.38,0.36,0.52,-0.48,0.01,0.01,0.09,0.2,0.34,0.38,0.41,0.56,0.8,0.77,0.54,0.42,0.38,0.35,0.22,0.12
2018-07-03,175,GAH,19.98,-0.37,-1.82,481,516,-26.29,786,804,40.56,20.00,41.0,38,38,0.68,0.83,-0.21,-20.19,0.95,0.84,0.90,0.84,+0.15,21.74,0.97,0.92,0.5,-0.49,0.02,0.02,0.17,0.36,0.78,0.89,0.99,1.41,2.2,2.19,1.38,1.0,0.9,0.81,0.43,0.22
2018-07-03,267,CIT,11.0,-0.06,-0.54,481,516,-26.29,786,804,40.56,11.00,22.0,21,22,0.00,0.26,-0.04,-13.33,0.29,0.25,0.26,0.26,+0.03,13.04,0.29,0.28,0.49,-0.51,0.01,0.01,0.0,0.06,0.22,0.27,0.33,0.62,1.11,1.1,0.62,0.34,0.28,0.23,0.08,0.01
2018-07-03,293,CPA,12.22,-0.12,-0.97,481,516,-26.29,786,804,40.56,12.00,24.0,25,23,0.00,0.46,-0.06,-11.54,0.46,0.42,0.00,0.21,+0.05,31.25,0.24,0.24,0.6,-0.39,0.01,0.01,0.04,0.15,0.4,0.47,0.53,0.91,1.45,1.03,0.51,0.28,0.22,0.16,0.06,0.0
