Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-07-19,1,CKH,83.2,0.55,0.67,450,328,-13.46,261,290,-2.03,82.50,15.0,16,17,1.50,1.36,+0.11,8.8,1.32,1.22,0.93,0.69,-0.30,-30.3,0.61,0.62,0.61,-0.4,0.06,0.06,0.0,0.05,0.93,1.35,1.84,4.86,9.02,7.62,3.54,1.12,0.71,0.34,0.0,0.0
2018-07-19,2,CLP,88.5,0.15,0.17,450,328,-13.46,261,290,-2.03,87.50,18.0,11,12,1.35,1.35,+0.05,3.85,1.73,1.63,0.37,0.36,-0.07,-16.28,0.72,0.74,0.7,-0.31,0.05,0.05,0.0,0.0,0.78,1.24,2.02,5.43,9.85,7.85,3.42,0.73,0.29,0.16,0.0,0.0
2018-07-19,3,HKG,15.8,0.06,0.38,450,328,-13.46,261,290,-2.03,16.00,12.0,12,12,0.00,0.06,+0.01,20.0,0.04,0.05,0.28,0.26,-0.05,-16.13,0.24,0.27,0.26,-0.74,0.01,0.01,0.0,0.0,0.03,0.05,0.12,0.59,1.38,1.78,0.99,0.38,0.25,0.16,0.0,0.0
2018-07-19,4,WHL,25.5,-0.15,-0.58,450,328,-13.46,261,290,-2.03,25.00,14.000000000000002,19,20,0.57,0.65,-0.12,-15.58,0.58,0.55,0.00,0.16,+0.03,23.08,0.07,0.08,0.72,-0.29,0.01,0.02,0.0,0.08,0.48,0.62,0.84,1.78,3.05,2.05,0.86,0.25,0.13,0.1,0.0,0.0
2018-07-19,5,HKB,73.2,0.6,0.83,450,328,-13.46,261,290,-2.03,72.50,13.0,14,15,1.26,1.16,+0.32,38.1,1.07,1.01,0.49,0.48,-0.19,-28.36,0.36,0.4,0.64,-0.37,0.05,0.05,0.0,0.0,0.75,1.12,1.64,4.36,8.02,6.62,2.99,0.83,0.47,0.23,0.0,0.0
2018-07-19,6,HEH,57.3,-0.2,-0.35,450,328,-13.46,261,290,-2.03,57.50,14.000000000000002,14,13,0.60,0.49,-0.13,-20.97,0.52,0.44,0.57,0.63,+0.07,12.5,0.71,0.71,0.43,-0.58,0.04,0.04,0.0,0.0,0.22,0.51,0.8,2.67,5.53,5.93,3.07,0.95,0.66,0.38,0.0,0.0
2018-07-19,11,HSB,198.2,-1.1,-0.55,450,328,-13.46,261,290,-2.03,197.50,9.0,17,16,0.00,2.86,-0.88,-23.53,1.67,1.45,1.26,1.92,+0.24,14.29,0.96,1.0,0.54,-0.46,0.14,0.14,0.0,0.08,1.88,2.88,3.89,10.62,20.53,19.12,9.21,3.0,2.03,1.05,0.0,0.0
2018-07-19,12,HLD,40.5,0.05,0.12,450,328,-13.46,261,290,-2.03,40.00,13.0,18,17,0.84,0.81,0.00,0.0,0.64,0.63,0.30,0.27,-0.06,-18.18,0.14,0.18,0.64,-0.35,0.03,0.03,0.0,0.07,0.59,0.8,1.07,2.53,4.55,3.55,1.58,0.46,0.26,0.14,0.0,0.0
2018-07-19,16,SHK,116.2,0.3,0.26,450,328,-13.46,261,290,-2.03,115.00,11.0,17,17,2.46,2.10,+0.11,5.53,1.55,1.5,0.79,0.88,-0.11,-11.11,0.34,0.44,0.63,-0.37,0.08,0.08,0.0,0.14,1.49,2.08,2.81,7.02,12.83,10.42,4.75,1.45,0.88,0.45,0.0,0.0
2018-07-19,17,NWD,10.7,0.0,0.0,450,328,-13.46,261,290,-2.03,10.50,14.000000000000002,21,18,0.00,0.28,0.00,0.0,0.23,0.22,0.00,0.06,-0.02,-25.0,0.03,0.03,0.69,-0.28,0.01,0.01,0.0,0.04,0.21,0.27,0.35,0.74,1.27,0.87,0.36,0.1,0.05,0.03,0.0,0.0
2018-07-19,19,SWA,83.6,0.2,0.24,450,328,-13.46,261,290,-2.03,82.50,22.0,19,20,2.02,1.77,-0.05,-2.75,1.94,1.83,0.67,0.70,-0.10,-12.5,0.83,0.84,0.65,-0.36,0.05,0.05,0.0,0.19,1.31,1.74,2.29,5.28,9.46,7.26,3.3,1.11,0.7,0.38,0.0,0.0
2018-07-19,23,BEA,30.1,-0.4,-1.31,450,328,-13.46,261,290,-2.03,30.00,21.0,23,22,0.00,0.54,-0.27,-33.33,0.53,0.47,0.45,0.42,+0.14,50.0,0.43,0.41,0.53,-0.47,0.02,0.02,0.0,0.08,0.42,0.57,0.72,1.67,3.11,2.91,1.47,0.59,0.45,0.3,0.05,0.0
2018-07-19,27,GLX,62.4,-0.65,-1.03,450,328,-13.46,261,290,-2.03,62.50,40.0,29,30,1.83,1.25,-0.49,-28.16,1.85,1.66,0.92,1.37,+0.19,16.1,1.95,1.84,0.49,-0.51,0.04,0.04,0.0,0.26,0.99,1.31,1.63,3.34,6.14,6.34,3.5,1.76,1.46,1.15,0.34,0.0
2018-07-19,66,MTR,41.85,-0.25,-0.59,450,328,-13.46,261,290,-2.03,42.00,15.0,13,12,0.43,0.33,-0.19,-36.54,0.39,0.34,0.38,0.44,+0.07,18.92,0.54,0.54,0.42,-0.59,0.03,0.03,0.0,0.0,0.13,0.34,0.55,1.94,4.04,4.34,2.24,0.68,0.45,0.25,0.0,0.0
2018-07-19,135,KLE,6.66,-0.11,-1.62,450,328,-13.46,261,290,-2.03,6.75,14.000000000000002,20,21,0.00,0.06,-0.07,-53.85,0.03,0.03,0.11,0.15,+0.05,50.0,0.12,0.13,0.34,-0.65,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.26,0.58,0.76,0.42,0.19,0.15,0.12,0.02,0.0
2018-07-19,151,WWC,6.62,-0.26,-3.78,450,328,-13.46,261,290,-2.03,6.50,34.0,41,43,0.00,0.24,-0.18,-42.86,0.23,0.22,0.18,0.17,+0.09,112.5,0.11,0.1,0.61,-0.39,0.0,0.0,0.03,0.09,0.23,0.26,0.3,0.5,0.79,0.57,0.31,0.18,0.15,0.12,0.05,0.01
2018-07-19,175,GAH,19.26,-0.74,-3.7,450,328,-13.46,261,290,-2.03,19.50,37.0,36,36,0.64,0.38,-0.42,-52.5,0.42,0.38,0.42,0.61,+0.29,90.62,0.66,0.64,0.43,-0.57,0.01,0.01,0.0,0.11,0.31,0.4,0.5,0.9,1.75,2.17,1.31,0.74,0.64,0.55,0.18,0.06
2018-07-19,267,CIT,10.4,-0.1,-0.95,450,328,-13.46,261,290,-2.03,10.50,18.0,18,17,0.00,0.09,-0.05,-35.71,0.09,0.08,0.00,0.18,+0.04,28.57,0.19,0.19,0.37,-0.64,0.01,0.01,0.0,0.0,0.04,0.09,0.14,0.44,0.94,1.14,0.62,0.24,0.18,0.13,0.02,0.0
2018-07-19,293,CPA,12.12,-0.1,-0.82,450,328,-13.46,261,290,-2.03,12.00,22.0,21,22,0.00,0.25,-0.09,-26.47,0.26,0.24,0.00,0.13,+0.02,18.18,0.14,0.14,0.6,-0.4,0.01,0.01,0.0,0.03,0.19,0.25,0.31,0.73,1.33,1.09,0.52,0.2,0.14,0.08,0.01,0.0
2018-07-19,358,JXC,9.25,0.11,1.2,450,328,-13.46,261,290,-2.03,9.25,26.0,27,28,0.12,0.18,+0.06,50.0,0.18,0.16,0.16,0.18,-0.05,-21.74,0.18,0.17,0.5,-0.5,0.01,0.01,0.0,0.03,0.14,0.19,0.24,0.5,0.93,0.92,0.5,0.24,0.19,0.15,0.04,0.0
2018-07-19,386,CPC,7.03,0.0,0.0,450,328,-13.46,261,290,-2.03,7.00,18.0,25,23,0.15,0.14,-0.02,-12.5,0.11,0.1,0.12,0.10,-0.02,-16.67,0.08,0.08,0.54,-0.46,0.0,0.0,0.0,0.02,0.11,0.15,0.18,0.4,0.73,0.67,0.34,0.14,0.11,0.07,0.01,0.0
2018-07-19,388,HEX,232.4,-1.0,-0.43,450,328,-13.46,261,290,-2.03,230.00,18.0,18,18,5.55,4.40,-1.06,-19.41,4.35,4.08,1.19,1.86,+0.14,8.14,1.94,1.96,0.62,-0.38,0.15,0.15,0.0,0.37,3.16,4.33,5.71,14.03,25.65,20.84,9.59,3.07,1.93,0.98,0.0,0.0
2018-07-19,390,CRG,5.78,-0.11,-1.87,450,328,-13.46,261,290,-2.03,5.75,20.0,25,23,0.00,0.12,-0.07,-36.84,0.1,0.09,0.00,0.08,+0.02,33.33,0.07,0.07,0.54,-0.45,0.0,0.0,0.0,0.02,0.09,0.12,0.15,0.33,0.61,0.55,0.28,0.11,0.08,0.06,0.01,0.0
2018-07-19,489,DFM,7.68,-0.09,-1.16,450,328,-13.46,261,290,-2.03,7.75,28.999999999999996,33,30,0.00,0.15,-0.04,-21.05,0.14,0.12,0.00,0.20,+0.04,25.0,0.21,0.2,0.44,-0.57,0.01,0.01,0.0,0.04,0.12,0.16,0.2,0.37,0.71,0.84,0.48,0.25,0.21,0.17,0.05,0.0
2018-07-19,494,LIF,2.65,-0.09,-3.28,450,328,-13.46,261,290,-2.03,2.60,40.0,39,39,0.00,0.10,-0.06,-37.5,0.1,0.1,0.00,0.05,+0.02,66.67,0.05,0.05,0.62,-0.38,0.0,0.0,0.01,0.03,0.09,0.1,0.12,0.2,0.32,0.22,0.12,0.06,0.05,0.04,0.02,0.0
2018-07-19,688,COL,23.65,-0.6,-2.47,450,328,-13.46,261,290,-2.03,24.00,33.0,29,31,0.43,0.34,-0.33,-49.25,0.41,0.37,0.60,0.71,+0.28,65.12,0.76,0.75,0.38,-0.61,0.02,0.02,0.0,0.06,0.22,0.34,0.47,1.0,2.04,2.71,1.61,0.84,0.73,0.61,0.18,0.04
2018-07-19,700,TCH,375.6,-2.4,-0.63,450,328,-13.46,261,290,-2.03,380.00,25.0,20,20,5.50,3.49,-1.00,-22.27,4.83,4.32,5.20,7.83,+1.20,18.1,9.21,9.18,0.36,-0.64,0.24,0.24,0.0,0.0,1.81,3.49,5.39,15.51,33.18,41.96,23.18,9.96,7.87,6.02,1.11,0.0
2018-07-19,728,CTC,3.57,-0.02,-0.56,450,328,-13.46,261,290,-2.03,3.60,16.0,21,22,0.04,0.04,-0.01,-20.0,0.03,0.03,0.00,0.07,+0.01,16.67,0.06,0.06,0.4,-0.59,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.16,0.33,0.39,0.21,0.09,0.07,0.06,0.01,0.0
