Date,Stock Code,Option Code,Closing,Change,Change(%),HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-08-29,1,CKH,91.2,1.65,1.84,28416.43945,28400.0,93,69,-29.59,160,125,-38.42,90.00,23.0,28,31,0.45,1.34,+0.83,162.75,1.29,1.27,0.75,0.18,-0.73,-80.22,0.09,0.08,0.82,-0.21,0.01,0.01,0.0,0.0,0.72,1.34,2.14,5.76,10.32,7.92,3.36,0.49,0.17,0.06,0.0,0.0
2018-08-29,2,CLP,92.8,0.6,0.65,28416.43945,28400.0,93,69,-29.59,160,125,-38.42,92.50,24.0,20,20,0.38,0.57,+0.18,46.15,0.66,0.63,0.53,0.26,-0.46,-63.89,0.36,0.34,0.62,-0.38,0.02,0.02,0.0,0.0,0.13,0.57,1.29,4.94,9.58,8.98,4.34,0.76,0.27,0.06,0.0,0.0
2018-08-29,3,HKG,16.0,0.02,0.13,28416.43945,28400.0,93,69,-29.59,160,125,-38.42,16.00,17.0,20,24,0.06,0.07,-0.02,-22.22,0.06,0.06,0.10,0.08,-0.04,-33.33,0.06,0.06,0.5,-0.5,0.0,0.0,0.0,0.0,0.02,0.07,0.18,0.8,1.6,1.6,0.8,0.18,0.09,0.02,0.0,0.0
2018-08-29,4,WHL,22.65,0.25,1.12,28416.43945,28400.0,93,69,-29.59,160,125,-38.42,23.00,27.0,35,33,0.00,0.05,+0.01,25.0,0.03,0.02,0.00,0.39,-0.25,-39.06,0.38,0.38,0.2,-0.81,0.0,0.0,0.0,0.0,0.02,0.05,0.12,0.78,1.92,2.62,1.48,0.59,0.39,0.23,0.0,0.0
2018-08-29,5,HKB,70.15,-0.05,-0.07,28416.43945,28400.0,93,69,-29.59,160,125,-38.42,70.00,13.0,18,17,0.45,0.35,-0.18,-33.96,0.27,0.26,0.28,0.19,-0.11,-36.67,0.12,0.12,0.59,-0.41,0.01,0.01,0.0,0.0,0.07,0.36,0.89,3.66,7.17,6.86,3.36,0.62,0.19,0.03,0.0,0.0
2018-08-29,6,HEH,55.4,0.25,0.45,28416.43945,28400.0,93,69,-29.59,160,125,-38.42,55.00,15.0,18,19,0.65,0.47,+0.09,23.68,0.45,0.44,0.12,0.08,-0.17,-68.0,0.05,0.05,0.78,-0.24,0.01,0.01,0.0,0.0,0.15,0.46,0.95,3.17,5.94,5.14,2.37,0.31,0.07,0.0,0.0,0.0
2018-08-29,11,HSB,213.0,3.2,1.53,28416.43945,28400.0,93,69,-29.59,160,125,-38.42,215.00,25.0,28,27,0.24,0.50,+0.36,257.14,0.36,0.38,2.50,2.49,-2.84,-53.28,2.36,2.41,0.26,-0.75,0.04,0.04,0.0,0.0,0.16,0.43,1.43,8.65,19.3,23.3,12.65,4.26,2.4,1.25,0.0,0.0
2018-08-29,12,HLD,42.15,0.45,1.08,28416.43945,28400.0,93,69,-29.59,160,125,-38.42,42.00,16.0,20,22,0.29,0.27,+0.12,80.0,0.23,0.23,0.36,0.13,-0.32,-71.11,0.08,0.08,0.63,-0.38,0.01,0.01,0.0,0.0,0.06,0.27,0.6,2.26,4.37,4.06,1.96,0.34,0.13,0.03,0.0,0.0
2018-08-29,16,SHK,120.0,0.4,0.33,28416.43945,28400.0,93,69,-29.59,160,125,-38.42,120.00,16.0,23,25,1.14,0.60,-0.08,-11.76,0.44,0.4,0.90,0.64,-0.48,-42.86,0.44,0.41,0.5,-0.5,0.03,0.03,0.0,0.0,0.16,0.63,1.36,6.0,12.0,12.0,6.0,1.39,0.68,0.19,0.0,0.0
2018-08-29,17,NWD,10.74,0.14,1.32,28416.43945,28400.0,93,69,-29.59,160,125,-38.42,10.50,18.0,0,34,0.00,0.24,+0.10,71.43,0.24,0.24,0.01,0.01,-0.04,-80.0,0.0,0.0,-1,-0.1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,0.83,0.3,0.02,0.01,0.0,0.0,0.0
