Date,Stock Code,Option Code,Closing,Change,Change(%),HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-08-23,1,CKH,87.9,-2.1,-2.33,27790.46094,27800.0,318,198,-35.92,235,302,15.27,87.50,22.0,25,24,1.98,1.46,-1.33,-47.67,1.37,1.25,0.60,0.98,+0.77,366.67,0.96,0.92,0.55,-0.45,0.05,0.05,0.0,0.14,1.07,1.52,1.96,4.87,9.19,8.39,4.11,1.49,1.06,0.63,0.05,0.0
2018-08-23,2,CLP,90.25,-0.65,-0.72,27790.46094,27800.0,318,198,-35.92,235,302,15.27,90.00,24.0,17,16,1.10,1.00,-0.54,-35.06,1.42,1.28,0.70,0.71,+0.12,20.34,1.17,1.1,0.54,-0.46,0.05,0.05,0.0,0.0,0.59,1.05,1.5,4.77,9.28,8.77,4.26,1.19,0.74,0.29,0.0,0.0
2018-08-23,3,HKG,15.74,-0.04,-0.25,27790.46094,27800.0,318,198,-35.92,235,302,15.27,15.50,16.0,12,11,0.00,0.27,-0.06,-18.18,0.29,0.28,0.00,0.02,-0.01,-33.33,0.05,0.05,0.81,-0.17,0.01,0.01,0.0,0.0,0.15,0.27,0.4,1.03,1.81,1.33,0.55,0.06,0.02,0.0,0.0,0.0
2018-08-23,4,WHL,22.35,-0.4,-1.76,27790.46094,27800.0,318,198,-35.92,235,302,15.27,22.00,25.0,29,27,0.00,0.57,-0.20,-25.97,0.51,0.5,0.32,0.19,+0.01,5.56,0.16,0.17,0.65,-0.34,0.01,0.01,0.0,0.09,0.45,0.56,0.7,1.48,2.59,1.88,0.85,0.29,0.18,0.11,0.0,0.0
2018-08-23,5,HKB,69.65,-0.4,-0.57,27790.46094,27800.0,318,198,-35.92,235,302,15.27,70.00,12.0,14,13,0.54,0.41,-0.25,-37.88,0.31,0.27,0.50,0.70,+0.08,12.9,0.66,0.68,0.39,-0.62,0.04,0.04,0.0,0.0,0.16,0.41,0.76,3.13,6.62,7.31,3.83,1.19,0.72,0.37,0.0,0.0
2018-08-23,6,HEH,56.3,-0.1,-0.18,27790.46094,27800.0,318,198,-35.92,235,302,15.27,57.50,15.0,19,0,0.16,0.07,-0.04,-36.36,0.1,0.09,1.50,1.96,+0.03,1.55,1.3,1.33,0.21,-1,0.02,-1,0.0,0.0,0.1,0.17,0.33,1.75,4.43,-1,-1,-1,-1,-1,-1,-1
2018-08-23,11,HSB,205.8,-2.4,-1.15,27790.46094,27800.0,318,198,-35.92,235,302,15.27,205.00,25.0,22,22,3.57,3.06,-1.60,-34.33,3.44,3.13,1.86,2.17,+0.69,46.62,2.63,2.49,0.55,-0.45,0.11,0.11,0.0,0.13,2.07,3.11,4.16,11.1,21.39,19.78,9.62,3.32,2.31,1.29,0.0,0.0
2018-08-23,12,HLD,40.8,-0.35,-0.85,27790.46094,27800.0,318,198,-35.92,235,302,15.27,41.00,16.0,31,29,0.00,0.63,-0.20,-24.1,0.28,0.25,0.00,0.77,+0.14,22.22,0.48,0.48,0.46,-0.55,0.02,0.02,0.0,0.09,0.45,0.66,0.87,2.0,3.88,4.28,2.31,1.01,0.81,0.61,0.13,0.0
2018-08-23,16,SHK,116.8,-1.3,-1.1,27790.46094,27800.0,318,198,-35.92,235,302,15.27,117.50,16.0,23,22,1.19,1.23,-0.77,-38.5,0.79,0.7,1.77,1.80,+0.40,28.57,1.49,1.49,0.42,-0.58,0.06,0.06,0.0,0.0,0.67,1.27,1.86,5.33,10.98,12.38,6.54,2.47,1.89,1.32,0.15,0.0
2018-08-23,17,NWD,10.36,-0.12,-1.15,27790.46094,27800.0,318,198,-35.92,235,302,15.27,10.50,15.0,23,24,0.08,0.08,-0.05,-38.46,0.03,0.03,0.00,0.22,+0.07,46.67,0.17,0.18,0.33,-0.66,0.01,0.01,0.0,0.0,0.04,0.07,0.13,0.4,0.9,1.18,0.66,0.29,0.22,0.17,0.03,0.0
