Date,Option Code,Strike,Open(C),Settle(C),IV(C),Open(P),Settle(P),IV(P)
2018-05-07,CKH,90.0,1.41,1.46,15,2.0,2.07,16
2018-05-07,CLP,80.0,1.35,1.54,13,0.84,0.76,13
2018-05-07,HKG,16.5,0.21,0.21,10,0.19,0.15,11
2018-05-07,WHL,25.0,0.58,0.69,22,0.61,0.51,24
2018-05-07,HKB,75.0,1.11,0.97,15,1.4,1.42,14
2018-05-07,HEH,57.5,0.83,0.82,11,1.71,1.58,13
2018-05-07,HSB,197.5,3.59,3.28,21,4.96,5.37,20
2018-05-07,HLD,49.0,0.92,0.9,16,0.8,0.77,17
2018-05-07,SHK,122.5,2.1,2.07,15,1.48,1.58,14
2018-05-07,NWD,11.0,0.31,0.3,20,0.19,0.18,21
2018-05-07,SWA,75.0,0.0,1.64,17,1.28,1.18,19
2018-05-07,BEA,33.0,0.0,0.76,21,0.0,0.66,21
2018-05-07,GLX,67.5,3.03,2.33,28,1.41,1.62,28
2018-05-07,MTR,44.0,0.33,0.5,13,1.27,1.03,14
2018-05-07,KLE,6.75,0.0,0.12,25,0.4,0.4,25
2018-05-07,WWC,6.75,0.0,0.29,35,0.19,0.2,33
2018-05-07,GAH,21.0,0.76,1.24,35,0.64,0.38,33
2018-05-07,CIT,11.5,0.0,0.3,19,0.0,0.17,19
2018-05-07,CPA,12.5,0.0,0.24,21,0.0,0.28,20
2018-05-07,JXC,11.0,0.0,0.36,30,0.0,0.31,30
2018-05-07,CPC,7.5,0.28,0.27,27,0.35,0.4,25
2018-05-07,HEX,255.0,5.75,5.19,25,7.62,8.36,26
2018-05-07,CRG,6.25,0.0,0.15,23,0.18,0.14,22
2018-05-07,DFM,8.5,0.26,0.25,30,0.25,0.26,29
2018-05-07,LIF,4.1,0.08,0.09,27,0.0,0.14,28
2018-05-07,COL,26.0,0.69,0.8,26,0.72,0.62,27
2018-05-07,TCH,380.0,13.18,9.53,25,7.49,10.74,27
2018-05-07,CTC,3.7,0.0,0.15,25,0.04,0.05,23
2018-05-07,CHU,10.5,0.55,0.53,29,0.15,0.16,28
2018-05-07,LNK,67.5,0.95,0.77,17,1.7,1.8,18
2018-05-07,PEC,5.5,0.27,0.29,28,0.08,0.07,27
2018-05-07,CNC,13.0,0.6,0.61,24,0.18,0.16,25
2018-05-07,HNP,5.25,0.11,0.11,27,0.17,0.17,24
2018-05-07,ACC,47.0,2.01,2.04,44,2.08,2.02,42
2018-05-07,XCC,8.0,0.165,0.168,21,0.2,0.188,22
2018-05-07,CHT,72.5,1.42,1.57,16,1.73,1.64,18
2018-05-07,LEN,3.7,0.08,0.08,33,0.17,0.18,34
2018-05-07,CTB,5.5,0.22,0.22,33,0.31,0.31,30
2018-05-07,HGN,67.5,0.0,2.29,29,2.11,2.1,29
2018-05-07,CSE,18.5,0.61,0.84,31,0.49,0.38,30
2018-05-07,CRL,28.0,1.02,1.04,32,0.66,0.78,31
2018-05-07,CKP,65.0,1.14,1.33,16,1.33,1.29,17
2018-05-07,YZC,10.0,0.44,0.69,54,0.8,0.66,50
2018-05-07,CRC,9.0,0.0,0.19,21,0.18,0.2,21
2018-05-07,BYD,50.0,2.1,2.59,41,1.86,1.74,42
2018-05-07,XAB,4.3,0.09,0.091,22,0.22,0.208,24
2018-05-07,AIA,67.5,2.02,2.05,25,1.7,1.69,26
2018-05-07,NCL,35.0,1.67,2.21,36,0.8,0.65,35
2018-05-07,PIN,3.6,0.0,0.14,30,0.12,0.09,31
2018-05-07,CDA,2.8,0.0,0.06,21,0.0,0.06,21
2018-05-07,XIC,6.75,0.129,0.121,22,0.168,0.177,21
2018-05-07,CCC,8.75,0.23,0.23,29,0.0,0.27,27
2018-05-07,CGN,2.1,0.0,0.05,18,0.04,0.04,23
2018-05-07,CCE,3.4,0.0,0.12,31,0.0,0.09,29
2018-05-07,SUN,33.0,1.7,2.41,46,1.24,0.94,46
2018-05-07,CCS,3.9,0.0,0.12,31,0.0,0.13,32
2018-05-07,SAN,45.0,0.0,1.6,27,0.87,0.98,28
2018-05-07,COG,16.0,0.37,0.44,39,0.0,0.92,39
2018-05-07,AAC,112.5,4.2,5.91,50,7.2,5.19,47
2018-05-07,GAC,13.5,0.56,0.56,44,0.66,0.63,44
2018-05-07,MGM,23.0,1.0,0.92,33,0.67,0.64,32
2018-05-07,PAI,75.0,1.58,1.58,21,1.43,1.72,22
2018-05-07,MEN,25.0,0.0,1.57,41,0.67,0.64,40
2018-05-07,PIC,14.0,0.46,0.45,31,0.37,0.44,31
2018-05-07,GWM,8.0,0.17,0.17,31,0.38,0.39,31
2018-05-07,SNO,132.5,0.0,8.2,52,6.45,5.84,51
2018-05-07,BOC,41.0,0.79,0.6,19,0.88,1.04,19
2018-05-07,ALC,4.3,0.17,0.19,41,0.22,0.18,44
2018-05-07,CPI,34.0,0.98,1.3,28,0.98,0.67,27
2018-05-07,CLI,22.0,0.38,0.47,20,0.52,0.48,22
2018-05-07,RFP,18.0,0.0,0.71,27,0.0,0.33,27
2018-05-07,TRF,30.0,0.6,0.64,17,0.39,0.41,16
2018-05-07,CSA,14.5,0.44,0.55,22,0.23,0.17,21
2018-05-07,A50,14.5,0.25,0.34,22,0.38,0.3,21
2018-05-07,HCF,120.0,2.65,2.88,20,1.9,2.15,21
2018-05-07,STC,80.0,0.0,1.12,17,0.0,1.74,17
2018-05-07,ZJM,3.5,0.0,0.12,36,0.2,0.14,37
2018-05-07,AMC,47.0,1.05,1.53,17,0.87,0.46,19
2018-05-07,NBM,9.0,0.0,0.37,49,0.0,0.51,47
