Date,Stock Code,Option Code,Closing,Change,Change(%),HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-08-14,1,CKH,88.95,1.45,1.66,27752.92969,27800.0,485,348,-29.12,405,505,19.39,90.00,21.0,20,20,1.00,1.09,+0.27,32.93,1.2,1.05,2.49,2.08,-1.17,-36.0,2.24,2.26,0.38,-0.62,0.07,0.07,0.0,0.1,0.65,1.1,1.55,3.81,7.85,9.94,5.6,2.58,2.14,1.71,0.41,0.0
2018-08-14,2,CLP,93.2,3.0,3.33,27752.92969,27800.0,485,348,-29.12,405,505,19.39,92.50,21.0,16,17,0.85,1.68,+1.19,242.86,2.09,1.88,1.89,0.99,-1.70,-63.2,1.38,1.35,0.57,-0.43,0.08,0.08,0.0,0.16,1.23,1.7,2.17,5.39,10.03,8.62,4.16,1.54,1.08,0.62,0.06,0.0
2018-08-14,3,HKG,16.18,0.24,1.51,27752.92969,27800.0,485,348,-29.12,405,505,19.39,16.00,18.0,18,16,0.32,0.35,+0.13,59.09,0.36,0.33,0.20,0.14,-0.11,-44.0,0.18,0.18,0.6,-0.38,0.01,0.01,0.0,0.05,0.27,0.35,0.44,1.0,1.8,1.44,0.66,0.22,0.14,0.07,0.0,0.0
2018-08-14,4,WHL,23.25,-0.3,-1.27,27752.92969,27800.0,485,348,-29.12,405,505,19.39,23.00,24.0,28,26,0.54,0.61,-0.20,-24.69,0.62,0.57,0.55,0.55,+0.11,25.0,0.37,0.36,0.57,-0.42,0.02,0.02,0.02,0.17,0.59,0.71,0.83,1.54,2.58,2.07,1.06,0.53,0.42,0.31,0.1,0.0
2018-08-14,5,HKB,72.35,0.25,0.35,27752.92969,27800.0,485,348,-29.12,405,505,19.39,72.50,12.0,15,15,0.40,0.57,+0.07,14.0,0.72,0.6,1.62,1.45,-0.12,-7.64,0.87,0.88,0.46,-0.54,0.06,0.06,0.0,0.01,0.54,0.91,1.28,3.54,7.09,7.39,3.77,1.41,1.06,0.7,0.07,0.0
2018-08-14,6,HEH,56.2,1.0,1.81,27752.92969,27800.0,485,348,-29.12,405,505,19.39,55.00,12.0,16,17,0.90,1.42,+0.63,79.75,1.36,1.28,0.94,0.60,-0.44,-42.31,0.16,0.18,0.73,-0.28,0.04,0.04,0.0,0.19,1.12,1.46,1.95,4.01,6.82,4.42,1.82,0.53,0.28,0.21,0.0,0.0
2018-08-14,11,HSB,209.8,2.0,0.96,27752.92969,27800.0,485,348,-29.12,405,505,19.39,210.00,25.0,21,21,3.40,3.10,+0.77,33.05,4.7,4.13,0.00,4.48,-1.21,-21.27,4.89,4.71,0.48,-0.52,0.17,0.17,0.0,0.61,2.83,3.9,4.97,11.06,20.79,21.18,11.29,5.12,4.09,3.06,0.76,0.0
2018-08-14,12,HLD,41.6,0.3,0.73,27752.92969,27800.0,485,348,-29.12,405,505,19.39,42.00,20.0,27,26,0.74,0.80,+0.06,8.11,0.54,0.47,1.23,1.13,-0.22,-16.3,0.94,0.94,0.43,-0.57,0.03,0.03,0.0,0.19,0.61,0.82,1.04,2.0,3.83,4.56,2.65,1.39,1.18,0.98,0.29,0.05
2018-08-14,16,SHK,120.7,0.5,0.42,27752.92969,27800.0,485,348,-29.12,405,505,19.39,120.00,18.0,22,22,2.30,2.71,+0.09,3.44,2.34,2.08,2.39,1.87,-0.42,-18.34,1.64,1.6,0.54,-0.46,0.1,0.1,0.0,0.5,2.14,2.75,3.37,7.13,12.78,11.37,5.83,2.64,2.05,1.46,0.39,0.0
2018-08-14,17,NWD,10.76,-0.04,-0.37,27752.92969,27800.0,485,348,-29.12,405,505,19.39,11.00,18.0,22,23,0.11,0.11,-0.04,-26.67,0.06,0.06,0.37,0.35,+0.03,9.38,0.3,0.32,0.31,-0.68,0.01,0.01,0.0,0.01,0.06,0.1,0.15,0.37,0.85,1.32,0.79,0.42,0.35,0.29,0.08,0.01
2018-08-14,19,SWA,88.05,0.15,0.17,27752.92969,27800.0,485,348,-29.12,405,505,19.39,87.50,19.0,18,19,1.71,1.71,-0.01,-0.58,1.81,1.62,1.20,1.13,-0.22,-16.3,1.26,1.23,0.55,-0.45,0.07,0.07,0.0,0.22,1.26,1.71,2.16,5.07,9.36,8.25,4.11,1.67,1.23,0.8,0.16,0.0
2018-08-14,23,BEA,28.75,0.25,0.88,27752.92969,27800.0,485,348,-29.12,405,505,19.39,29.00,28.000000000000004,37,36,0.83,0.79,+0.06,8.22,0.62,0.54,0.00,1.01,-0.26,-20.47,0.86,0.84,0.46,-0.54,0.02,0.02,0.07,0.26,0.7,0.84,0.99,1.59,2.81,3.18,1.94,1.21,1.07,0.93,0.37,0.17
2018-08-14,27,GLX,55.75,-2.1,-3.63,27752.92969,27800.0,485,348,-29.12,405,505,19.39,55.00,36.0,34,35,2.38,2.01,-1.55,-43.54,2.16,1.99,0.73,1.29,+0.71,122.41,1.41,1.34,0.58,-0.42,0.05,0.05,0.21,0.65,1.8,2.08,2.37,3.97,6.43,5.05,2.73,1.65,1.38,1.11,0.46,0.13
2018-08-14,66,MTR,39.8,0.3,0.76,27752.92969,27800.0,485,348,-29.12,405,505,19.39,40.00,19.0,19,20,0.50,0.50,+0.06,13.64,0.58,0.5,0.81,0.91,-0.20,-18.02,0.78,0.77,0.44,-0.56,0.03,0.03,0.0,0.06,0.39,0.59,0.79,1.92,3.78,4.18,2.27,1.02,0.82,0.63,0.15,0.0
2018-08-14,135,KLE,7.23,-0.12,-1.63,27752.92969,27800.0,485,348,-29.12,405,505,19.39,7.25,27.0,37,35,0.21,0.22,-0.07,-24.14,0.17,0.15,0.22,0.22,+0.05,29.41,0.19,0.18,0.49,-0.51,0.01,0.01,0.02,0.07,0.2,0.23,0.27,0.42,0.74,0.76,0.45,0.27,0.24,0.2,0.07,0.03
2018-08-14,151,WWC,6.06,0.07,1.17,27752.92969,27800.0,485,348,-29.12,405,505,19.39,6.00,31.0,38,41,0.00,0.23,+0.01,4.55,0.2,0.18,0.00,0.18,-0.04,-18.18,0.14,0.13,0.56,-0.44,0.01,0.01,0.03,0.08,0.21,0.24,0.27,0.42,0.69,0.58,0.34,0.22,0.19,0.16,0.07,0.03
2018-08-14,175,GAH,16.0,-0.62,-3.73,27752.92969,27800.0,485,348,-29.12,405,505,19.39,16.00,38.0,45,44,0.74,0.62,-0.37,-37.37,0.55,0.49,0.44,0.59,+0.26,78.79,0.55,0.52,0.51,-0.49,0.01,0.01,0.11,0.24,0.57,0.65,0.74,1.07,1.74,1.7,1.02,0.71,0.64,0.56,0.25,0.13
2018-08-14,267,CIT,11.06,0.2,1.84,27752.92969,27800.0,485,348,-29.12,405,505,19.39,11.00,21.0,23,24,0.00,0.25,+0.08,47.06,0.24,0.21,0.20,0.19,-0.13,-40.62,0.18,0.17,0.54,-0.46,0.01,0.01,0.0,0.05,0.2,0.26,0.32,0.65,1.17,1.05,0.55,0.26,0.21,0.16,0.05,0.0
2018-08-14,293,CPA,12.02,-0.18,-1.48,27752.92969,27800.0,485,348,-29.12,405,505,19.39,12.00,28.000000000000004,22,22,0.00,0.24,-0.10,-29.41,0.31,0.28,0.19,0.21,+0.07,50.0,0.29,0.28,0.51,-0.49,0.01,0.01,0.0,0.04,0.19,0.25,0.31,0.67,1.22,1.18,0.62,0.29,0.23,0.17,0.04,0.0
2018-08-14,358,JXC,9.33,-0.11,-1.17,27752.92969,27800.0,485,348,-29.12,405,505,19.39,9.25,24.0,31,33,0.00,0.29,-0.08,-21.62,0.24,0.22,0.20,0.22,+0.04,22.22,0.16,0.16,0.55,-0.45,0.01,0.01,0.02,0.08,0.25,0.3,0.35,0.61,1.02,0.88,0.47,0.28,0.24,0.19,0.07,0.02
