Date,Option Code,Strike,Open(C),Settle(C),IV(C),Open(P),Settle(P),IV(P)
2018-06-21,CKH,85.0,1.25,0.92,21,0.36,1.09,20
2018-06-21,CLP,80.0,1.43,0.71,15,0.37,0.6,14
2018-06-21,HKG,15.0,0.16,0.07,16,0.11,0.23,16
2018-06-21,WHL,26.0,0.0,0.27,20,0.21,0.34,22
2018-06-21,HKB,75.0,0.7,0.36,14,0.52,0.9,13
2018-06-21,HEH,55.0,0.19,0.19,14,0.41,0.85,13
2018-06-21,HSB,195.0,1.57,1.4,18,1.43,2.54,17
2018-06-21,HLD,43.0,0.43,0.28,21,0.63,0.85,22
2018-06-21,SHK,122.5,1.2,0.57,15,0.0,1.68,14
2018-06-21,NWD,11.5,0.2,0.11,26,0.23,0.23,24
2018-06-21,SWA,85.0,1.27,1.47,19,0.61,0.5,19
2018-06-21,BEA,32.0,0.0,0.14,24,0.86,0.93,24
2018-06-21,GLX,62.5,1.72,1.29,27,0.39,0.63,26
2018-06-21,MTR,42.0,0.66,0.47,17,0.39,0.38,18
2018-06-21,KLE,7.0,0.0,0.05,21,0.15,0.14,24
2018-06-21,WWC,7.25,0.33,0.25,45,0.1,0.12,43
2018-06-21,GAH,22.0,0.56,0.36,33,0.27,0.43,31
2018-06-21,CIT,11.0,0.0,0.11,22,0.0,0.18,24
2018-06-21,CPA,13.5,0.0,0.05,23,0.0,0.42,25
2018-06-21,JXC,10.5,0.0,0.19,28,0.05,0.15,29
2018-06-21,CPC,7.25,0.15,0.09,38,0.16,0.24,39
2018-06-21,HEX,250.0,1.87,1.23,24,4.28,7.44,27
2018-06-21,CRG,6.0,0.0,0.2,29,0.0,0.05,33
2018-06-21,DFM,8.75,0.0,0.1,25,0.28,0.32,20
2018-06-21,LIF,3.0,0.0,0.05,26,0.0,0.04,27
2018-06-21,COL,27.0,0.0,0.4,29,0.18,0.47,28
2018-06-21,TCH,400.0,6.58,4.0,24,4.59,7.2,25
2018-06-21,CTC,3.6,0.0,0.03,29,0.0,0.1,29
2018-06-21,CHU,9.75,0.0,0.11,26,0.17,0.19,28
2018-06-21,LNK,70.0,0.7,0.45,17,0.62,1.02,18
