Date,Option Code,Strike,Open(C),Settle(C),IV(C),Open(P),Settle(P),IV(P)
2018-06-28,CKH,82.5,0.65,0.4,0,0.3,0.0,0
2018-06-28,CLP,82.5,0.66,2.05,0,0.0,0.0,0
2018-06-28,HKG,15.0,0.04,0.08,0,0.0,0.0,0
2018-06-28,WHL,26.0,0.02,0.0,0,0.6,0.6,0
2018-06-28,HKB,72.5,0.5,0.4,0,0.16,0.0,0
2018-06-28,HEH,55.0,0.05,0.0,0,0.42,0.1,0
2018-06-28,HSB,197.5,0.09,0.0,0,2.18,1.0,0
2018-06-28,HLD,42.0,0.0,0.0,0,0.07,0.1,0
2018-06-28,SHK,120.0,0.05,0.0,0,0.86,1.4,0
2018-06-28,NWD,11.0,0.03,0.0,0,0.1,0.06,0
2018-06-28,SWA,82.5,1.6,1.75,0,0.03,0.0,0
2018-06-28,BEA,31.0,0.0,0.3,0,0.03,0.0,0
2018-06-28,GLX,60.0,0.04,0.0,0,1.0,0.9,0
2018-06-28,MTR,43.0,0.15,0.5,0,0.16,0.0,0
2018-06-28,KLE,6.75,0.11,0.09,0,0.0,0.0,0
2018-06-28,WWC,6.75,0.0,0.16,0,0.0,0.0,0
2018-06-28,GAH,20.0,0.04,0.0,0,0.38,0.12,0
2018-06-28,CIT,11.0,0.02,0.0,0,0.15,0.12,0
2018-06-28,CPA,12.5,0.0,0.0,0,0.08,0.16,0
2018-06-28,JXC,10.0,0.09,0.0,0,0.04,0.15,0
2018-06-28,CPC,6.75,0.29,0.23,0,0.0,0.0,0
2018-06-28,HEX,230.0,0.88,2.4,0,1.1,0.0,0
2018-06-28,CRG,5.75,0.04,0.07,0,0.0,0.0,0
2018-06-28,DFM,8.0,0.0,0.29,0,0.0,0.0,0
2018-06-28,LIF,2.8,0.05,0.06,0,0.0,0.0,0
2018-06-28,COL,25.0,0.07,0.0,0,0.47,0.35,0
2018-06-28,TCH,380.0,1.5,0.0,0,2.97,1.0,0
2018-06-28,CTC,3.6,0.02,0.07,0,0.01,0.0,0
2018-06-28,CHU,9.75,0.04,0.06,0,0.02,0.0,0
2018-06-28,LNK,70.0,1.02,1.0,0,0.05,0.0,0
2018-06-28,PEC,5.75,0.15,0.11,0,0.01,0.0,0
2018-06-28,CNC,13.0,0.4,0.48,0,0.02,0.0,0
2018-06-28,HNP,5.25,0.0,0.0,0,0.13,0.14,0
2018-06-28,ACC,44.0,0.44,0.0,0,0.49,0.5,0
2018-06-28,XCC,7.0,0.09,0.08,0,0.017,0.0,0
2018-06-28,CHT,70.0,0.07,0.0,0,1.35,0.85,0
2018-06-28,LEN,4.1,0.0,0.0,0,0.1,0.05,0
2018-06-28,CTB,4.8,0.0,0.0,0,0.02,0.0,0
2018-06-28,HGN,75.0,0.95,0.9,0,0.2,0.0,0
2018-06-28,CSE,19.5,0.02,0.0,0,0.84,1.06,0
2018-06-28,CRL,25.0,0.32,0.1,0,0.19,0.0,0
2018-06-28,CKP,62.5,0.23,0.1,0,0.07,0.0,0
2018-06-28,YZC,9.5,0.18,0.14,0,0.05,0.0,0
