Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-07-27,1,CKH,84.6,0.3,0.36,108,56,-52.14,150,125,-28.57,85.00,14.000000000000002,11,12,0.43,0.19,-0.09,-32.14,0.27,0.25,0.55,0.61,-0.32,-34.41,0.67,0.68,0.31,-0.68,0.03,0.03,0.0,0.0,0.03,0.17,0.59,3.83,8.06,8.86,4.63,1.29,0.6,0.18,0.0,0.0
2018-07-27,2,CLP,88.0,-0.45,-0.51,108,56,-52.14,150,125,-28.57,87.50,16.0,8,8,0.65,0.60,-0.47,-43.93,0.8,0.77,0.35,0.10,+0.03,42.86,0.29,0.3,0.77,-0.23,0.02,0.02,0.0,0.0,0.09,0.58,1.38,4.9,9.3,8.3,3.9,0.47,0.08,0.0,0.0,0.0
2018-07-27,3,HKG,16.12,0.02,0.12,108,56,-52.14,150,125,-28.57,16.00,12.0,14,17,0.00,0.16,+0.01,6.67,0.14,0.14,0.01,0.05,+0.01,25.0,0.02,0.03,0.71,-0.32,0.0,0.01,0.0,0.0,0.07,0.15,0.29,0.93,1.73,1.49,0.69,0.13,0.05,0.02,0.0,0.0
2018-07-27,4,WHL,26.2,0.1,0.38,108,56,-52.14,150,125,-28.57,26.00,12.0,11,13,0.18,0.24,-0.03,-11.11,0.24,0.24,0.13,0.05,-0.11,-68.75,0.04,0.04,0.77,-0.27,0.01,0.01,0.0,0.0,0.08,0.23,0.46,1.51,2.82,2.42,1.11,0.16,0.04,0.01,0.0,0.0
2018-07-27,5,HKB,74.85,0.1,0.13,108,56,-52.14,150,125,-28.57,75.00,12.0,10,10,0.17,0.21,-0.07,-25.0,0.29,0.25,0.62,0.37,-0.15,-28.85,0.44,0.43,0.4,-0.6,0.03,0.03,0.0,0.0,0.03,0.22,0.67,3.59,7.34,7.64,3.89,0.93,0.37,0.07,0.0,0.0
2018-07-27,6,HEH,56.2,-0.9,-1.58,108,56,-52.14,150,125,-28.57,55.00,12.0,17,16,1.38,1.24,-0.97,-43.89,1.2,1.19,0.04,0.03,-0.01,-25.0,0.0,0.01,0.92,-0.07,0.01,0.01,0.0,0.0,0.74,1.24,1.76,4.01,6.82,4.42,1.61,0.09,0.02,0.0,0.0,0.0
2018-07-27,11,HSB,210.2,2.6,1.25,108,56,-52.14,150,125,-28.57,210.00,11.0,12,11,0.18,1.05,+0.55,110.0,1.02,0.91,2.28,0.77,-2.00,-72.2,0.81,0.78,0.52,-0.47,0.08,0.08,0.0,0.0,0.26,1.09,2.51,10.71,21.22,20.82,10.31,2.11,0.81,0.17,0.0,0.0
2018-07-27,12,HLD,43.1,0.15,0.35,108,56,-52.14,150,125,-28.57,43.00,15.0,14,14,0.33,0.28,+0.01,3.7,0.31,0.29,0.24,0.18,-0.15,-45.45,0.21,0.2,0.56,-0.44,0.02,0.02,0.0,0.0,0.08,0.29,0.58,2.26,4.41,4.21,2.05,0.41,0.19,0.05,0.0,0.0
2018-07-27,16,SHK,122.9,2.0,1.65,108,56,-52.14,150,125,-28.57,122.50,14.000000000000002,12,13,0.49,0.80,+0.54,207.69,0.88,0.82,1.02,0.42,-1.45,-77.54,0.48,0.46,0.61,-0.4,0.04,0.04,0.0,0.0,0.18,0.78,1.72,6.55,12.69,11.89,5.75,1.04,0.43,0.11,0.0,0.0
2018-07-27,17,NWD,11.2,0.16,1.45,108,56,-52.14,150,125,-28.57,11.00,16.0,24,24,0.26,0.23,+0.11,91.67,0.21,0.21,0.00,0.03,-0.03,-50.0,0.01,0.01,0.79,-0.21,0.0,0.0,0.0,0.01,0.15,0.23,0.33,0.76,1.32,0.92,0.37,0.06,0.03,0.01,0.0,0.0
2018-07-27,19,SWA,84.85,0.45,0.53,108,56,-52.14,150,125,-28.57,85.00,25.0,15,16,0.19,0.42,+0.11,35.48,0.76,0.68,0.94,0.58,-0.36,-38.3,0.91,0.86,0.44,-0.55,0.03,0.03,0.0,0.0,0.12,0.43,0.86,4.09,8.34,8.64,4.39,1.14,0.61,0.19,0.0,0.0
2018-07-27,23,BEA,31.3,0.25,0.81,108,56,-52.14,150,125,-28.57,31.00,18.0,14,16,0.00,0.36,+0.10,38.46,0.37,0.38,0.23,0.07,-0.12,-63.16,0.07,0.09,0.77,-0.26,0.01,0.01,0.0,0.0,0.16,0.35,0.62,1.87,3.43,2.83,1.27,0.2,0.06,0.02,0.0,0.0
