Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-07-17,1,CKH,83.4,-0.9,-1.07,497,356,-35.51,277,359,48.96,82.50,17.0,19,18,0.00,1.75,-0.61,-25.85,1.61,1.5,0.65,0.73,+0.28,62.22,0.7,0.72,0.61,-0.38,0.06,0.06,0.0,0.22,1.32,1.74,2.17,5.1,9.24,7.44,3.45,1.18,0.77,0.4,0.0,0.0
2018-07-17,2,CLP,88.15,-0.3,-0.34,497,356,-35.51,277,359,48.96,87.50,20.0,12,13,1.36,1.21,-0.25,-17.12,1.77,1.6,0.52,0.56,+0.05,9.8,1.12,1.08,0.61,-0.4,0.06,0.06,0.0,0.0,0.74,1.19,1.78,5.06,9.47,8.16,3.76,1.04,0.61,0.28,0.0,0.0
2018-07-17,3,HKG,15.5,0.14,0.91,497,356,-35.51,277,359,48.96,15.50,13.0,11,13,0.11,0.14,+0.05,55.56,0.16,0.14,0.17,0.15,-0.08,-34.78,0.16,0.16,0.48,-0.52,0.01,0.01,0.0,0.0,0.06,0.14,0.22,0.78,1.55,1.55,0.78,0.24,0.16,0.09,0.0,0.0
2018-07-17,4,WHL,25.8,-0.05,-0.19,497,356,-35.51,277,359,48.96,26.00,23.0,17,18,0.00,0.25,-0.06,-19.35,0.39,0.34,0.00,0.46,-0.01,-2.13,0.59,0.58,0.39,-0.6,0.02,0.02,0.0,0.0,0.13,0.26,0.39,1.14,2.38,2.78,1.49,0.61,0.48,0.35,0.06,0.0
2018-07-17,5,HKB,73.15,-0.15,-0.2,497,356,-35.51,277,359,48.96,72.50,15.0,15,14,1.33,1.24,-0.14,-10.14,1.19,1.1,0.46,0.50,+0.02,4.17,0.54,0.56,0.61,-0.38,0.05,0.05,0.0,0.06,0.85,1.22,1.66,4.31,7.97,6.66,3.04,0.87,0.51,0.25,0.0,0.0
2018-07-17,6,HEH,57.55,-0.25,-0.43,497,356,-35.51,277,359,48.96,57.50,15.0,14,13,0.00,0.68,-0.17,-20.0,0.73,0.63,0.52,0.56,+0.04,7.69,0.68,0.67,0.5,-0.5,0.04,0.04,0.0,0.0,0.39,0.68,0.98,2.93,5.81,5.7,2.83,0.87,0.58,0.3,0.0,0.0
2018-07-17,11,HSB,201.2,0.2,0.1,497,356,-35.51,277,359,48.96,200.00,10.0,17,17,3.27,3.38,+0.18,5.63,2.24,2.0,1.85,2.08,-0.16,-7.14,1.03,1.09,0.56,-0.44,0.15,0.15,0.0,0.25,2.37,3.39,4.41,11.29,21.33,18.92,9.11,3.17,2.18,1.19,0.02,0.0
2018-07-17,12,HLD,40.8,-0.45,-1.09,497,356,-35.51,277,359,48.96,41.00,15.0,17,18,0.58,0.46,-0.27,-36.99,0.4,0.34,0.58,0.67,+0.22,48.89,0.6,0.6,0.43,-0.57,0.03,0.03,0.0,0.0,0.26,0.47,0.68,1.9,3.88,4.28,2.25,0.9,0.7,0.5,0.08,0.0
2018-07-17,16,SHK,116.0,-1.6,-1.36,497,356,-35.51,277,359,48.96,115.00,12.0,18,16,0.00,2.16,-1.14,-34.55,1.6,1.48,0.81,1.00,+0.35,53.85,0.59,0.65,0.59,-0.4,0.08,0.08,0.0,0.23,1.61,2.2,2.79,6.83,12.61,10.6,4.93,1.58,1.01,0.49,0.0,0.0
2018-07-17,17,NWD,10.8,-0.1,-0.92,497,356,-35.51,277,359,48.96,11.00,16.0,17,20,0.00,0.07,-0.06,-46.15,0.05,0.05,0.00,0.28,+0.06,27.27,0.25,0.27,0.27,-0.69,0.01,0.01,0.0,0.0,0.04,0.05,0.11,0.38,0.88,1.28,0.74,0.36,0.28,0.22,0.05,0.0
2018-07-17,19,SWA,84.2,0.25,0.3,497,356,-35.51,277,359,48.96,85.00,22.0,19,21,0.85,0.93,+0.01,1.09,1.13,0.99,1.92,1.77,-0.21,-10.61,1.93,1.92,0.39,-0.6,0.06,0.06,0.0,0.01,0.49,0.92,1.34,3.66,7.62,9.22,5.09,2.26,1.85,1.44,0.32,0.0
2018-07-17,23,BEA,30.6,-0.8,-2.55,497,356,-35.51,277,359,48.96,31.00,22.0,24,22,0.00,0.39,-0.41,-51.25,0.36,0.32,0.74,0.74,+0.37,100.0,0.76,0.77,0.38,-0.63,0.02,0.02,0.0,0.05,0.25,0.4,0.56,1.3,2.66,3.46,1.96,0.9,0.75,0.6,0.14,0.0
2018-07-17,27,GLX,63.6,-1.15,-1.78,497,356,-35.51,277,359,48.96,62.50,42.0,31,33,2.80,2.14,-0.88,-29.14,2.72,2.54,0.73,1.11,+0.45,68.18,1.62,1.54,0.62,-0.39,0.05,0.05,0.1,0.52,1.82,2.15,2.48,4.57,7.46,5.41,2.69,1.46,1.15,0.84,0.34,0.0
2018-07-17,66,MTR,42.35,-0.05,-0.12,497,356,-35.51,277,359,48.96,42.00,17.0,14,15,0.00,0.67,-0.05,-6.94,0.77,0.7,0.33,0.32,-0.01,-3.03,0.42,0.42,0.61,-0.4,0.03,0.03,0.0,0.01,0.44,0.66,0.92,2.47,4.59,3.88,1.8,0.55,0.34,0.16,0.0,0.0
2018-07-17,135,KLE,6.82,-0.07,-1.02,497,356,-35.51,277,359,48.96,6.75,15.0,25,24,0.00,0.17,-0.04,-19.05,0.12,0.11,0.00,0.09,+0.02,28.57,0.05,0.05,0.58,-0.41,0.01,0.01,0.0,0.03,0.14,0.17,0.21,0.43,0.75,0.61,0.3,0.13,0.1,0.06,0.02,0.0
2018-07-17,151,WWC,6.88,-0.19,-2.69,497,356,-35.51,277,359,48.96,7.00,40.0,41,45,0.10,0.15,-0.08,-34.78,0.16,0.15,0.40,0.34,+0.12,54.55,0.28,0.28,0.42,-0.57,0.01,0.01,0.01,0.06,0.14,0.17,0.21,0.35,0.62,0.83,0.53,0.35,0.31,0.28,0.15,0.06
2018-07-17,175,GAH,20.1,-0.3,-1.47,497,356,-35.51,277,359,48.96,20.00,39.0,39,37,0.93,0.66,-0.18,-21.43,0.69,0.63,0.28,0.52,+0.13,33.33,0.59,0.56,0.53,-0.47,0.02,0.02,0.06,0.2,0.59,0.69,0.79,1.3,2.18,1.96,1.09,0.65,0.56,0.46,0.17,0.05
2018-07-17,267,CIT,10.56,-0.06,-0.56,497,356,-35.51,277,359,48.96,10.50,22.0,18,20,0.00,0.18,-0.06,-25.0,0.22,0.2,0.00,0.13,+0.01,8.33,0.16,0.15,0.56,-0.45,0.01,0.01,0.0,0.02,0.13,0.19,0.24,0.59,1.12,1.0,0.49,0.19,0.14,0.09,0.01,0.0
2018-07-17,293,CPA,12.38,0.12,0.98,497,356,-35.51,277,359,48.96,12.50,23.0,21,22,0.00,0.15,+0.04,36.36,0.18,0.15,0.00,0.27,-0.07,-20.59,0.3,0.29,0.4,-0.6,0.01,0.01,0.0,0.01,0.09,0.15,0.22,0.55,1.12,1.36,0.76,0.34,0.28,0.22,0.05,0.0
2018-07-17,358,JXC,9.05,-0.13,-1.42,497,356,-35.51,277,359,48.96,9.00,28.000000000000004,28,25,0.24,0.22,-0.08,-26.67,0.23,0.21,0.15,0.15,+0.04,36.36,0.18,0.17,0.54,-0.46,0.01,0.01,0.0,0.05,0.19,0.23,0.28,0.55,0.96,0.85,0.44,0.2,0.16,0.11,0.03,0.0
2018-07-17,386,CPC,7.05,-0.03,-0.42,497,356,-35.51,277,359,48.96,7.00,21.0,28,31,0.13,0.18,-0.02,-10.0,0.15,0.13,0.16,0.14,+0.02,16.67,0.1,0.09,0.55,-0.45,0.01,0.01,0.0,0.04,0.15,0.19,0.22,0.43,0.76,0.66,0.35,0.19,0.15,0.12,0.04,0.0
2018-07-17,388,HEX,232.0,-1.8,-0.77,497,356,-35.51,277,359,48.96,230.00,20.0,19,18,5.09,4.50,-1.12,-19.93,4.8,4.39,1.80,2.35,+0.55,30.56,2.79,2.73,0.59,-0.41,0.17,0.17,0.0,0.55,3.41,4.59,5.77,13.75,25.21,21.2,10.05,3.54,2.39,1.25,0.04,0.0
2018-07-17,390,CRG,5.87,-0.01,-0.17,497,356,-35.51,277,359,48.96,5.75,19.0,24,27,0.00,0.18,-0.02,-10.0,0.15,0.15,0.00,0.07,0.00,0.0,0.03,0.04,0.67,-0.34,0.0,0.0,0.0,0.03,0.14,0.17,0.21,0.42,0.71,0.47,0.21,0.1,0.07,0.04,0.01,0.0
2018-07-17,489,DFM,7.64,-0.09,-1.16,497,356,-35.51,277,359,48.96,7.75,28.999999999999996,32,33,0.19,0.14,-0.05,-26.32,0.13,0.11,0.00,0.25,+0.04,19.05,0.24,0.23,0.41,-0.59,0.01,0.01,0.0,0.04,0.11,0.15,0.19,0.34,0.68,0.87,0.53,0.3,0.26,0.23,0.08,0.03
2018-07-17,494,LIF,2.62,-0.03,-1.13,497,356,-35.51,277,359,48.96,2.60,36.0,40,35,0.00,0.09,-0.02,-18.18,0.09,0.08,0.00,0.06,0.00,0.0,0.07,0.06,0.55,-0.45,0.0,0.0,0.01,0.03,0.08,0.1,0.11,0.18,0.29,0.25,0.13,0.08,0.06,0.05,0.02,0.0
2018-07-17,688,COL,24.4,-0.8,-3.17,497,356,-35.51,277,359,48.96,24.00,35.0,32,34,0.82,0.83,-0.59,-41.55,0.89,0.84,0.29,0.45,+0.29,181.25,0.49,0.47,0.61,-0.39,0.02,0.02,0.05,0.21,0.71,0.83,0.96,1.74,2.84,2.1,1.06,0.59,0.47,0.35,0.14,0.0
2018-07-17,700,TCH,375.8,-5.6,-1.47,497,356,-35.51,277,359,48.96,380.00,27.0,22,21,5.78,4.54,-2.76,-37.81,6.12,5.42,6.40,8.40,+2.75,48.67,10.3,10.17,0.39,-0.62,0.27,0.27,0.0,0.44,2.79,4.7,6.62,16.26,33.4,41.78,23.27,10.42,8.57,6.73,1.5,0.0
2018-07-17,728,CTC,3.6,0.03,0.84,497,356,-35.51,277,359,48.96,3.60,20.0,21,22,0.00,0.06,+0.01,20.0,0.06,0.05,0.00,0.06,-0.02,-25.0,0.06,0.06,0.49,-0.5,0.0,0.0,0.0,0.01,0.04,0.06,0.08,0.19,0.36,0.36,0.19,0.08,0.06,0.05,0.01,0.0
2018-07-17,753,AIR,7.13,-0.02,-0.28,497,356,-35.51,277,359,48.96,7.25,45.0,43,45,0.00,0.18,-0.03,-14.29,0.2,0.18,0.00,0.31,-0.01,-3.12,0.32,0.31,0.43,-0.57,0.01,0.01,0.02,0.06,0.16,0.19,0.23,0.38,0.65,0.85,0.55,0.36,0.32,0.29,0.15,0.06
2018-07-17,762,CHU,9.35,-0.05,-0.53,497,356,-35.51,277,359,48.96,9.25,17.0,26,28,0.00,0.24,-0.05,-17.24,0.18,0.16,0.14,0.15,+0.02,15.38,0.08,0.08,0.58,-0.42,0.01,0.01,0.0,0.05,0.2,0.25,0.3,0.6,1.04,0.84,0.43,0.21,0.16,0.12,0.04,0.0
2018-07-17,823,LNK,74.4,-0.05,-0.07,497,356,-35.51,277,359,48.96,75.00,18.0,14,15,0.56,0.58,-0.20,-25.64,0.82,0.71,1.21,1.19,-0.03,-2.46,1.41,1.42,0.36,-0.62,0.05,0.05,0.0,0.0,0.26,0.56,0.93,3.17,6.84,8.04,4.32,1.63,1.21,0.85,0.08,0.0
2018-07-17,857,PEC,5.56,-0.16,-2.8,497,356,-35.51,277,359,48.96,5.50,25.0,32,28,0.14,0.17,-0.09,-34.62,0.14,0.13,0.08,0.09,+0.04,80.0,0.08,0.08,0.57,-0.42,0.0,0.0,0.01,0.04,0.15,0.17,0.2,0.37,0.62,0.5,0.25,0.12,0.1,0.07,0.02,0.0
2018-07-17,883,CNC,12.56,-0.44,-3.38,497,356,-35.51,277,359,48.96,12.50,35.0,31,30,0.43,0.33,-0.30,-47.62,0.39,0.36,0.20,0.26,+0.15,136.36,0.33,0.31,0.53,-0.46,0.01,0.01,0.0,0.08,0.28,0.35,0.41,0.77,1.32,1.2,0.65,0.34,0.28,0.22,0.07,0.0
2018-07-17,902,HNP,5.6,0.0,0.0,497,356,-35.51,277,359,48.96,5.50,37.0,34,37,0.00,0.20,-0.02,-9.09,0.22,0.2,0.00,0.11,0.00,0.0,0.12,0.11,0.61,-0.39,0.0,0.0,0.02,0.06,0.18,0.2,0.23,0.41,0.66,0.48,0.25,0.14,0.12,0.09,0.04,0.01
