Date,Option Code,Strike,Open(C),Settle(C),IV(C),Open(P),Settle(P),IV(P)
2018-07-27,CKH,85.0,0.43,0.19,11,0.55,0.61,12
2018-07-27,CLP,87.5,0.65,0.6,8,0.35,0.1,8
2018-07-27,HKG,16.0,0.0,0.16,14,0.01,0.05,17
2018-07-27,WHL,26.0,0.18,0.24,11,0.13,0.05,13
2018-07-27,HKB,75.0,0.17,0.21,10,0.62,0.37,10
2018-07-27,HEH,57.5,0.1,0.02,15,1.13,1.3,0
2018-07-27,HSB,210.0,0.18,1.05,12,2.28,0.77,11
2018-07-27,HLD,43.0,0.33,0.28,14,0.24,0.18,14
2018-07-27,SHK,120.0,2.19,3.0,19,0.16,0.07,18
2018-07-27,NWD,11.0,0.26,0.23,24,0.0,0.03,24
2018-07-27,SWA,85.0,0.19,0.42,15,0.94,0.58,16
2018-07-27,BEA,31.0,0.0,0.36,14,0.23,0.07,16
2018-07-27,GLX,65.0,0.21,0.22,22,1.37,0.98,20
2018-07-27,MTR,43.0,0.05,0.05,8,0.38,0.31,10
2018-07-27,KLE,6.75,0.04,0.12,22,0.0,0.02,23
2018-07-27,WWC,6.5,0.11,0.26,39,0.05,0.01,32
2018-07-27,GAH,19.0,0.05,0.04,32,0.7,0.63,35
2018-07-27,CIT,11.0,0.0,0.07,17,0.18,0.06,15
2018-07-27,CPA,12.0,0.0,0.05,22,0.0,0.17,23
2018-07-27,JXC,9.75,0.04,0.03,21,0.0,0.16,25
2018-07-27,CPC,7.5,0.03,0.05,16,0.15,0.05,20
2018-07-27,HEX,235.0,3.22,2.22,12,1.14,0.47,13
2018-07-27,CRG,6.5,0.12,0.23,41,0.12,0.03,41
2018-07-27,DFM,7.75,0.1,0.15,22,0.03,0.03,27
2018-07-27,LIF,2.7,0.0,0.08,43,0.0,0.02,44
2018-07-27,COL,25.0,0.11,0.19,14,0.22,0.1,16
2018-07-27,TCH,370.0,5.5,3.92,15,1.78,1.02,16
2018-07-27,CTC,3.5,0.0,0.08,33,0.01,0.02,34
