Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-07-24,1,CKH,83.85,0.4,0.48,100,242,142.0,434,192,-60.33,85.00,15.0,17,18,0.36,0.33,-0.01,-2.94,0.21,0.21,1.45,1.49,-0.42,-21.99,1.36,1.42,0.26,-0.73,0.03,0.04,0.0,0.0,0.15,0.26,0.65,3.07,7.24,9.53,5.34,2.16,1.43,1.0,0.05,0.0
2018-07-24,2,CLP,89.15,-0.25,-0.28,100,242,142.0,434,192,-60.33,90.00,18.0,9,10,0.19,0.13,-0.20,-60.61,0.47,0.45,0.00,0.99,+0.05,5.32,1.32,1.36,0.19,-0.78,0.03,0.03,0.0,0.0,0.0,0.12,0.47,3.61,8.07,9.76,5.31,1.77,0.99,0.48,0.0,0.0
2018-07-24,3,HKG,16.24,0.02,0.12,100,242,142.0,434,192,-60.33,16.00,13.0,14,16,0.00,0.28,+0.02,7.69,0.27,0.26,0.05,0.05,0.00,0.0,0.03,0.03,0.79,-0.24,0.01,0.01,0.0,0.0,0.16,0.27,0.42,1.05,1.86,1.38,0.57,0.1,0.04,0.02,0.0,0.0
2018-07-24,4,WHL,26.1,0.25,0.97,100,242,142.0,434,192,-60.33,26.00,13.0,18,20,0.37,0.31,+0.09,40.91,0.24,0.22,0.23,0.22,-0.16,-42.11,0.14,0.13,0.56,-0.45,0.01,0.01,0.0,0.0,0.18,0.31,0.45,1.41,2.71,2.51,1.2,0.37,0.24,0.11,0.0,0.0
2018-07-24,5,HKB,74.65,1.25,1.7,100,242,142.0,434,192,-60.33,75.00,14.000000000000002,14,15,0.20,0.42,+0.17,68.0,0.39,0.35,1.20,0.78,-1.00,-56.18,0.74,0.75,0.39,-0.61,0.04,0.04,0.0,0.0,0.15,0.41,0.78,3.38,7.12,7.81,4.08,1.27,0.8,0.43,0.0,0.0
2018-07-24,6,HEH,57.4,0.1,0.17,100,242,142.0,434,192,-60.33,57.50,13.0,17,16,0.45,0.46,+0.01,2.22,0.38,0.33,0.55,0.53,-0.07,-11.67,0.48,0.47,0.46,-0.54,0.03,0.03,0.0,0.0,0.2,0.49,0.78,2.77,5.64,5.84,2.97,0.84,0.56,0.28,0.0,0.0
2018-07-24,11,HSB,203.2,2.2,1.09,100,242,142.0,434,192,-60.33,205.00,10.0,16,14,0.63,0.95,+0.39,69.64,0.34,0.35,3.42,2.59,-2.07,-44.42,2.14,2.28,0.33,-0.7,0.09,0.09,0.0,0.0,0.42,0.91,1.94,8.37,18.53,22.12,11.96,4.14,2.48,1.48,0.0,0.0
2018-07-24,12,HLD,42.15,0.4,0.96,100,242,142.0,434,192,-60.33,42.00,15.0,21,20,0.64,0.55,+0.16,41.03,0.42,0.39,0.28,0.36,-0.24,-40.0,0.27,0.26,0.55,-0.45,0.02,0.02,0.0,0.0,0.35,0.57,0.78,2.26,4.37,4.06,1.96,0.6,0.39,0.18,0.0,0.0
2018-07-24,16,SHK,117.9,0.6,0.51,100,242,142.0,434,192,-60.33,117.50,11.0,16,15,1.32,1.25,+0.25,25.0,0.91,0.82,0.93,0.76,-0.34,-30.91,0.5,0.5,0.56,-0.44,0.06,0.06,0.0,0.0,0.65,1.25,1.91,6.3,12.19,11.39,5.5,1.36,0.78,0.29,0.0,0.0
2018-07-24,17,NWD,10.8,0.1,0.93,100,242,142.0,434,192,-60.33,11.00,14.000000000000002,20,22,0.00,0.04,+0.01,33.33,0.02,0.01,0.00,0.25,-0.07,-21.88,0.22,0.22,0.23,-0.74,0.0,0.0,0.0,0.0,0.02,0.04,0.08,0.36,0.88,1.28,0.74,0.34,0.24,0.18,0.03,0.0
2018-07-24,19,SWA,82.35,0.1,0.12,100,242,142.0,434,192,-60.33,82.50,25.0,21,20,1.13,0.86,-0.07,-7.53,1.05,0.94,0.81,0.94,-0.28,-22.95,1.2,1.14,0.47,-0.53,0.04,0.04,0.0,0.0,0.47,0.89,1.3,3.97,8.09,8.39,4.27,1.4,0.99,0.58,0.0,0.0
