Date,Stock Code,Option Code,Closing,Change,Change(%),HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-08-20,1,CKH,89.8,0.25,0.28,27598.01953,27600.0,174,285,66.67,571,376,-40.69,90.00,20.0,20,20,1.26,1.14,-0.03,-2.56,1.2,1.05,1.35,1.31,-0.30,-18.63,1.4,1.35,0.47,-0.53,0.06,0.06,0.0,0.04,0.73,1.19,1.65,4.42,8.78,9.18,4.73,1.83,1.39,0.94,0.12,0.0
2018-08-20,2,CLP,93.95,-0.25,-0.27,27598.01953,27600.0,174,285,66.67,571,376,-40.69,95.00,21.0,16,17,0.83,0.61,-0.26,-29.89,0.88,0.79,1.66,1.68,-0.02,-1.18,1.92,1.95,0.33,-0.66,0.06,0.06,0.0,0.0,0.29,0.56,1.04,3.75,8.35,10.44,5.75,2.31,1.67,1.21,0.13,0.0
2018-08-20,3,HKG,15.9,0.1,0.63,27598.01953,27600.0,174,285,66.67,571,376,-40.69,16.00,16.0,21,20,0.17,0.18,+0.05,38.46,0.13,0.12,0.29,0.27,-0.06,-18.18,0.23,0.23,0.42,-0.58,0.01,0.01,0.0,0.01,0.11,0.19,0.27,0.73,1.49,1.69,0.89,0.36,0.28,0.2,0.03,0.0
2018-08-20,4,WHL,23.0,0.35,1.55,27598.01953,27600.0,174,285,66.67,571,376,-40.69,23.00,26.0,28,28,0.41,0.33,+0.09,37.5,0.42,0.38,0.59,0.61,-0.23,-27.38,0.42,0.4,0.5,-0.5,0.02,0.02,0.0,0.08,0.34,0.46,0.58,1.24,2.3,2.3,1.23,0.57,0.46,0.35,0.09,0.0
2018-08-20,5,HKB,70.55,0.45,0.64,27598.01953,27600.0,174,285,66.67,571,376,-40.69,70.00,14.000000000000002,15,16,0.62,1.05,+0.19,22.09,0.98,0.91,0.75,0.50,-0.27,-35.06,0.42,0.44,0.61,-0.39,0.04,0.04,0.0,0.0,0.68,1.03,1.48,4.08,7.61,6.51,3.0,0.88,0.53,0.25,0.0,0.0
2018-08-20,6,HEH,57.75,0.9,1.58,27598.01953,27600.0,174,285,66.67,571,376,-40.69,57.50,14.000000000000002,17,17,0.59,0.61,+0.30,96.77,0.69,0.62,1.10,0.94,-0.71,-43.03,0.44,0.43,0.55,-0.45,0.04,0.04,0.0,0.01,0.54,0.83,1.12,3.14,6.03,5.52,2.65,0.86,0.58,0.29,0.0,0.0
2018-08-20,11,HSB,208.8,1.6,0.77,27598.01953,27600.0,174,285,66.67,571,376,-40.69,210.00,25.0,21,22,1.86,2.41,+0.12,5.24,3.19,2.81,4.45,3.69,-1.32,-26.35,4.38,4.25,0.43,-0.57,0.14,0.14,0.0,0.08,1.49,2.56,3.62,9.71,19.69,22.08,11.79,4.92,3.9,2.87,0.54,0.0
2018-08-20,12,HLD,41.0,0.05,0.12,27598.01953,27600.0,174,285,66.67,571,376,-40.69,41.00,17.0,29,27,0.97,0.80,+0.02,2.56,0.5,0.44,0.76,0.74,-0.08,-9.76,0.5,0.49,0.5,-0.5,0.03,0.03,0.0,0.16,0.64,0.85,1.06,2.23,4.1,4.1,2.18,0.99,0.79,0.59,0.15,0.0
2018-08-20,16,SHK,118.7,0.6,0.51,27598.01953,27600.0,174,285,66.67,571,376,-40.69,117.50,18.0,22,23,2.89,2.48,+0.20,8.77,2.14,2.01,1.23,1.29,-0.35,-21.34,0.94,0.95,0.6,-0.4,0.08,0.08,0.0,0.32,1.86,2.47,3.07,7.2,13.07,10.67,5.09,1.93,1.35,0.76,0.11,0.0
2018-08-20,17,NWD,10.52,0.0,0.0,27598.01953,27600.0,174,285,66.67,571,376,-40.69,10.50,18.0,22,24,0.00,0.17,-0.02,-10.53,0.15,0.13,0.19,0.16,-0.02,-11.11,0.13,0.12,0.52,-0.48,0.01,0.01,0.0,0.02,0.12,0.18,0.23,0.56,1.07,1.03,0.53,0.22,0.17,0.12,0.02,0.0
