Date,Stock Code,Option Code,Closing,Change,Change(%),HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-08-08,1,CKH,90.15,1.45,1.63,28359.14063,28400.0,420,358,-2.98,519,529,-6.21,90.00,20.0,17,18,1.80,1.71,+0.56,48.7,1.97,1.71,1.70,1.54,-0.91,-37.14,1.82,1.78,0.5,-0.5,0.09,0.09,0.0,0.25,1.25,1.71,2.17,4.92,9.17,8.86,4.65,2.09,1.65,1.2,0.3,0.0
2018-08-08,2,CLP,91.8,-0.4,-0.43,28359.14063,28400.0,420,358,-2.98,519,529,-6.21,92.50,17.0,14,15,0.83,1.02,-0.18,-15.0,1.36,1.15,1.58,1.71,+0.24,16.33,2.05,2.07,0.39,-0.6,0.09,0.09,0.0,0.01,0.56,1.02,1.49,4.11,8.49,9.88,5.34,2.27,1.82,1.36,0.27,0.0
2018-08-08,3,HKG,16.04,-0.12,-0.74,28359.14063,28400.0,420,358,-2.98,519,529,-6.21,16.00,18.0,15,16,0.25,0.27,-0.06,-18.18,0.32,0.28,0.23,0.23,+0.07,43.75,0.28,0.28,0.51,-0.49,0.02,0.02,0.0,0.03,0.19,0.28,0.36,0.87,1.65,1.56,0.8,0.33,0.25,0.17,0.03,0.0
2018-08-08,4,WHL,25.9,-0.2,-0.77,28359.14063,28400.0,420,358,-2.98,519,529,-6.21,26.00,14.000000000000002,23,22,0.51,0.50,-0.12,-19.35,0.34,0.28,0.65,0.79,+0.10,14.49,0.44,0.44,0.47,-0.53,0.03,0.03,0.0,0.14,0.45,0.59,0.72,1.37,2.51,2.69,1.52,0.78,0.66,0.53,0.16,0.01
2018-08-08,5,HKB,72.9,0.05,0.07,28359.14063,28400.0,420,358,-2.98,519,529,-6.21,72.50,12.0,14,15,0.99,1.00,-0.10,-9.09,1.13,0.96,1.40,1.25,-0.13,-9.42,0.72,0.74,0.54,-0.46,0.07,0.07,0.0,0.12,0.91,1.29,1.66,4.1,7.7,6.89,3.4,1.31,0.96,0.6,0.09,0.0
2018-08-08,6,HEH,56.25,0.0,0.0,28359.14063,28400.0,420,358,-2.98,519,529,-6.21,55.00,10.0,15,14,1.32,1.56,-0.05,-3.11,1.38,1.26,0.59,0.54,-0.05,-8.47,0.13,0.15,0.71,-0.27,0.05,0.05,0.0,0.24,1.23,1.54,2.04,4.07,6.88,4.38,1.77,0.48,0.26,0.19,0.0,0.0
2018-08-08,11,HSB,216.0,4.0,1.89,28359.14063,28400.0,420,358,-2.98,519,529,-6.21,215.00,21.0,19,20,3.35,4.18,+1.38,49.29,5.33,4.67,5.68,4.43,-2.65,-37.43,4.31,4.2,0.53,-0.47,0.21,0.21,0.0,0.9,3.76,4.86,5.97,12.57,22.62,20.6,10.8,5.13,4.07,3.02,0.87,0.0
2018-08-08,12,HLD,42.6,-0.1,-0.23,28359.14063,28400.0,420,358,-2.98,519,529,-6.21,43.00,18.0,23,23,0.84,0.81,-0.11,-11.96,0.64,0.54,1.04,1.19,+0.07,6.25,1.04,1.05,0.43,-0.57,0.04,0.04,0.0,0.19,0.63,0.85,1.07,2.05,3.93,4.66,2.72,1.45,1.24,1.04,0.32,0.07
2018-08-08,16,SHK,122.9,0.4,0.33,28359.14063,28400.0,420,358,-2.98,519,529,-6.21,122.50,18.0,18,19,2.83,2.44,-0.11,-4.31,2.58,2.23,2.35,2.06,-0.44,-17.6,2.17,2.14,0.51,-0.48,0.12,0.12,0.0,0.43,1.93,2.55,3.18,6.94,12.7,11.89,6.23,2.87,2.27,1.67,0.45,0.0
2018-08-08,17,NWD,11.04,0.06,0.55,28359.14063,28400.0,420,358,-2.98,519,529,-6.21,11.00,19.0,20,19,0.00,0.25,+0.02,8.7,0.24,0.21,0.00,0.19,-0.03,-13.64,0.2,0.2,0.52,-0.48,0.01,0.01,0.0,0.05,0.2,0.25,0.31,0.64,1.14,1.06,0.56,0.26,0.2,0.15,0.04,0.0
