Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-07-06,1,CKH,84.1,0.3,0.36,494,475,-13.16,790,670,-8.59,85.00,19.0,19,20,1.40,1.35,-0.13,-8.78,1.34,1.14,2.63,2.17,-0.32,-12.85,2.23,2.26,0.4,-0.59,0.08,0.08,0.0,0.23,0.91,1.34,1.77,3.81,7.52,9.31,5.38,2.73,2.32,1.91,0.55,0.05
2018-07-06,2,CLP,88.1,0.05,0.06,494,475,-13.16,790,670,-8.59,87.50,21.0,14,15,1.55,1.66,-0.18,-9.78,2.31,2.03,1.35,1.05,-0.24,-18.6,1.7,1.67,0.55,-0.45,0.09,0.09,0.0,0.19,1.22,1.67,2.12,5.09,9.42,8.21,4.04,1.59,1.16,0.73,0.12,0.0
2018-07-06,3,HKG,15.1,0.02,0.13,494,475,-13.16,790,670,-8.59,15.00,40.0,14,15,0.00,0.28,0.00,0.0,0.72,0.65,0.23,0.18,-0.02,-10.0,0.62,0.59,0.55,-0.45,0.02,0.02,0.0,0.03,0.21,0.28,0.36,0.87,1.61,1.41,0.69,0.27,0.2,0.13,0.02,0.0
2018-07-06,4,WHL,25.6,0.5,1.99,494,475,-13.16,790,670,-8.59,26.00,23.0,22,24,0.45,0.42,+0.11,35.48,0.45,0.39,0.83,0.84,-0.30,-26.32,0.84,0.86,0.38,-0.6,0.03,0.03,0.0,0.1,0.3,0.43,0.56,1.09,2.22,2.96,1.8,1.01,0.89,0.76,0.26,0.09
2018-07-06,5,HKB,72.6,0.1,0.14,494,475,-13.16,790,670,-8.59,72.50,14.000000000000002,15,16,1.42,1.24,-0.12,-8.82,1.17,0.98,1.10,1.14,-0.06,-5.0,1.06,1.08,0.49,-0.5,0.07,0.07,0.0,0.15,0.89,1.26,1.63,3.89,7.37,7.16,3.71,1.59,1.24,0.88,0.19,0.0
2018-07-06,6,HEH,56.65,0.1,0.18,494,475,-13.16,790,670,-8.59,57.50,16.0,15,15,0.54,0.54,-0.03,-5.26,0.56,0.49,1.49,1.36,-0.16,-10.53,1.41,1.49,0.33,-0.67,0.05,0.05,0.0,0.0,0.3,0.53,0.82,2.23,4.82,6.52,3.68,1.71,1.37,1.09,0.24,0.0
2018-07-06,11,HSB,195.0,-0.5,-0.26,494,475,-13.16,790,670,-8.59,195.00,13.0,19,21,3.84,4.08,-0.64,-13.56,2.82,2.34,4.21,4.12,-0.16,-3.74,2.81,2.86,0.49,-0.51,0.2,0.2,0.0,0.79,3.13,4.12,5.12,10.65,19.52,19.5,10.74,5.49,4.54,3.59,1.11,0.0
2018-07-06,12,HLD,41.2,0.0,0.0,494,475,-13.16,790,670,-8.59,41.00,14.000000000000002,22,20,1.21,1.06,-0.01,-0.93,0.72,0.62,0.79,0.76,-0.13,-14.61,0.52,0.53,0.53,-0.47,0.04,0.04,0.0,0.26,0.89,1.11,1.32,2.5,4.32,3.92,2.07,1.01,0.81,0.61,0.18,0.0
2018-07-06,16,SHK,119.5,0.8,0.67,494,475,-13.16,790,670,-8.59,120.00,13.0,17,16,2.05,1.91,+0.15,8.52,1.51,1.23,2.50,2.20,-0.81,-26.91,2.0,2.06,0.44,-0.56,0.12,0.12,0.0,0.29,1.41,2.02,2.63,5.96,11.46,12.45,6.7,2.96,2.37,1.79,0.4,0.0
2018-07-06,17,NWD,11.04,0.0,0.0,494,475,-13.16,790,670,-8.59,11.00,17.0,23,23,0.24,0.29,-0.02,-6.45,0.23,0.2,0.00,0.24,-0.02,-7.69,0.19,0.19,0.52,-0.48,0.01,0.01,0.0,0.07,0.25,0.3,0.36,0.66,1.15,1.06,0.58,0.31,0.26,0.21,0.07,0.0
