Date,Stock Code,Option Code,Closing,Change,Change(%),HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-08-07,1,CKH,88.7,1.85,2.13,28248.88086,28200.0,294,471,67.62,639,465,-37.83,87.50,19.0,19,19,1.89,2.46,+0.88,55.7,2.44,2.22,1.70,1.16,-0.89,-43.41,1.24,1.25,0.6,-0.4,0.09,0.09,0.0,0.48,1.97,2.42,2.88,5.87,10.08,7.67,3.71,1.65,1.22,0.78,0.23,0.0
2018-08-07,2,CLP,92.2,2.2,2.44,28248.88086,28200.0,294,471,67.62,639,465,-37.83,92.50,17.0,14,14,0.60,1.20,+0.67,126.42,1.61,1.36,1.92,1.47,-1.49,-50.34,1.9,1.9,0.44,-0.56,0.09,0.09,0.0,0.07,0.79,1.26,1.73,4.5,8.93,9.52,4.98,2.0,1.55,1.1,0.18,0.0
2018-08-07,3,HKG,16.16,0.28,1.76,28248.88086,28200.0,294,471,67.62,639,465,-37.83,16.00,17.0,14,14,0.23,0.33,+0.14,73.68,0.38,0.34,0.25,0.16,-0.15,-48.39,0.22,0.22,0.59,-0.41,0.02,0.02,0.0,0.04,0.24,0.33,0.41,0.97,1.78,1.46,0.69,0.24,0.16,0.08,0.0,0.0
2018-08-07,4,WHL,26.1,0.5,1.95,28248.88086,28200.0,294,471,67.62,639,465,-37.83,26.00,14.000000000000002,23,22,0.46,0.62,+0.23,58.97,0.45,0.38,0.75,0.69,-0.31,-31.0,0.34,0.35,0.52,-0.48,0.03,0.03,0.0,0.17,0.57,0.7,0.84,1.57,2.72,2.51,1.36,0.7,0.57,0.44,0.14,0.0
2018-08-07,5,HKB,72.85,0.2,0.28,28248.88086,28200.0,294,471,67.62,639,465,-37.83,72.50,12.0,15,16,0.90,1.10,+0.01,0.92,1.15,0.98,1.64,1.38,-0.09,-6.12,0.79,0.81,0.53,-0.47,0.07,0.07,0.0,0.17,0.99,1.36,1.73,4.11,7.64,6.94,3.49,1.44,1.09,0.73,0.15,0.0
2018-08-07,6,HEH,56.25,0.3,0.54,28248.88086,28200.0,294,471,67.62,639,465,-37.83,55.00,10.0,16,15,1.58,1.61,+0.38,30.89,1.39,1.27,0.50,0.59,-0.06,-9.23,0.14,0.16,0.7,-0.29,0.05,0.05,0.0,0.28,1.31,1.6,2.08,4.07,6.88,4.38,1.81,0.56,0.3,0.23,0.0,0.0
2018-08-07,11,HSB,212.0,6.4,3.11,28248.88086,28200.0,294,471,67.62,639,465,-37.83,210.00,20.0,20,22,5.50,5.01,+2.69,115.95,5.71,5.09,3.60,4.22,-3.55,-45.69,3.69,3.63,0.56,-0.44,0.21,0.21,0.0,1.16,4.51,5.6,6.68,13.39,23.22,19.2,9.98,5.07,4.04,3.0,1.01,0.0
2018-08-07,12,HLD,42.7,0.65,1.55,28248.88086,28200.0,294,471,67.62,639,465,-37.83,43.00,18.0,24,22,0.87,0.92,+0.26,39.39,0.71,0.6,1.33,1.12,-0.51,-31.29,1.01,1.01,0.45,-0.56,0.04,0.04,0.0,0.24,0.75,0.97,1.19,2.18,4.06,4.57,2.63,1.38,1.17,0.96,0.29,0.04
2018-08-07,16,SHK,122.5,3.0,2.51,28248.88086,28200.0,294,471,67.62,639,465,-37.83,122.50,18.0,20,20,1.78,2.55,+1.35,112.5,2.44,2.08,3.80,2.50,-1.74,-41.04,2.43,2.4,0.49,-0.51,0.12,0.12,0.0,0.53,2.04,2.67,3.3,6.73,12.26,12.25,6.65,3.26,2.66,2.06,0.6,0.0
2018-08-07,17,NWD,10.98,0.24,2.23,28248.88086,28200.0,294,471,67.62,639,465,-37.83,11.00,19.0,21,19,0.16,0.23,+0.10,76.92,0.21,0.18,0.27,0.22,-0.17,-43.59,0.23,0.23,0.48,-0.53,0.01,0.01,0.0,0.05,0.19,0.24,0.3,0.59,1.08,1.12,0.61,0.29,0.24,0.18,0.05,0.0
2018-08-07,19,SWA,86.8,2.3,2.72,28248.88086,28200.0,294,471,67.62,639,465,-37.83,87.50,22.0,20,21,1.01,1.50,+0.83,123.88,1.73,1.49,0.00,2.21,-1.34,-37.75,2.42,2.41,0.42,-0.57,0.09,0.09,0.0,0.29,1.1,1.55,1.99,4.16,7.99,9.38,5.38,2.76,2.33,1.91,0.56,0.05
2018-08-07,23,BEA,30.9,0.35,1.15,28248.88086,28200.0,294,471,67.62,639,465,-37.83,31.00,18.0,21,21,0.69,0.64,+0.16,33.33,0.57,0.48,0.63,0.69,-0.25,-26.6,0.67,0.66,0.47,-0.53,0.03,0.03,0.0,0.14,0.5,0.66,0.82,1.63,2.99,3.19,1.78,0.91,0.76,0.6,0.18,0.0
2018-08-07,27,GLX,57.2,1.05,1.87,28248.88086,28200.0,294,471,67.62,639,465,-37.83,57.50,31.0,37,35,2.05,2.05,+0.49,31.41,1.81,1.59,2.02,2.17,-0.73,-25.17,2.11,2.03,0.48,-0.52,0.06,0.06,0.34,0.73,1.86,2.16,2.46,3.65,5.96,6.3,3.83,2.6,2.33,2.05,0.95,0.47
2018-08-07,66,MTR,42.8,0.25,0.59,28248.88086,28200.0,294,471,67.62,639,465,-37.83,43.00,14.000000000000002,15,15,0.51,0.55,+0.08,17.02,0.55,0.45,0.97,0.91,-0.13,-12.5,0.74,0.76,0.43,-0.57,0.04,0.04,0.0,0.05,0.38,0.6,0.82,2.06,4.08,4.48,2.39,1.01,0.8,0.59,0.12,0.0
2018-08-07,135,KLE,7.28,0.24,3.41,28248.88086,28200.0,294,471,67.62,639,465,-37.83,7.25,19.0,27,27,0.16,0.22,+0.12,120.0,0.17,0.15,0.00,0.18,-0.14,-43.75,0.14,0.13,0.52,-0.48,0.01,0.01,0.01,0.06,0.19,0.23,0.27,0.45,0.78,0.71,0.4,0.23,0.2,0.16,0.06,0.02
2018-08-07,151,WWC,6.35,0.12,1.93,28248.88086,28200.0,294,471,67.62,639,465,-37.83,6.25,32.0,40,41,0.00,0.31,+0.06,24.0,0.27,0.25,0.00,0.21,-0.06,-22.22,0.17,0.16,0.57,-0.43,0.01,0.01,0.06,0.16,0.29,0.32,0.36,0.51,0.79,0.6,0.38,0.26,0.23,0.2,0.09,0.06
2018-08-07,175,GAH,16.98,0.8,4.94,28248.88086,28200.0,294,471,67.62,639,465,-37.83,17.00,39.0,41,42,0.49,0.71,+0.28,65.12,0.71,0.63,1.09,0.73,-0.52,-41.6,0.73,0.7,0.5,-0.49,0.02,0.02,0.14,0.3,0.66,0.75,0.84,1.19,1.87,1.87,1.19,0.87,0.78,0.7,0.38,0.2
2018-08-07,267,CIT,11.04,0.24,2.22,28248.88086,28200.0,294,471,67.62,639,465,-37.83,11.00,20.0,21,23,0.27,0.26,+0.09,52.94,0.26,0.23,0.00,0.23,-0.14,-37.84,0.22,0.21,0.52,-0.48,0.01,0.01,0.0,0.06,0.22,0.27,0.33,0.65,1.15,1.06,0.58,0.31,0.26,0.2,0.07,0.0
2018-08-07,293,CPA,12.08,0.2,1.68,28248.88086,28200.0,294,471,67.62,639,465,-37.83,12.00,21.0,22,21,0.21,0.32,+0.09,39.13,0.31,0.27,0.00,0.22,-0.12,-35.29,0.23,0.22,0.54,-0.46,0.01,0.01,0.0,0.08,0.27,0.33,0.39,0.75,1.29,1.13,0.59,0.29,0.23,0.18,0.06,0.0
2018-08-07,358,JXC,9.62,0.21,2.23,28248.88086,28200.0,294,471,67.62,639,465,-37.83,9.50,25.0,30,31,0.33,0.36,+0.11,44.0,0.32,0.29,0.20,0.24,-0.10,-29.41,0.2,0.19,0.57,-0.43,0.01,0.01,0.04,0.12,0.32,0.37,0.42,0.69,1.11,0.89,0.49,0.31,0.26,0.22,0.09,0.03
2018-08-07,386,CPC,7.54,0.19,2.59,28248.88086,28200.0,294,471,67.62,639,465,-37.83,7.50,18.0,29,30,0.20,0.25,+0.09,56.25,0.17,0.15,0.24,0.21,-0.09,-30.0,0.13,0.12,0.53,-0.47,0.01,0.01,0.02,0.07,0.22,0.26,0.3,0.49,0.82,0.74,0.41,0.26,0.22,0.19,0.07,0.03
2018-08-07,388,HEX,226.8,2.8,1.25,28248.88086,28200.0,294,471,67.62,639,465,-37.83,225.00,14.000000000000002,17,18,4.09,4.35,+0.77,21.51,4.44,3.89,6.11,4.89,-1.81,-27.01,2.62,2.67,0.56,-0.44,0.22,0.22,0.0,0.84,3.93,5.09,6.24,13.66,24.5,20.88,10.49,4.62,3.51,2.4,0.62,0.0
2018-08-07,390,CRG,6.66,0.21,3.26,28248.88086,28200.0,294,471,67.62,639,465,-37.83,6.75,48.0,32,32,0.10,0.18,+0.08,80.0,0.3,0.27,0.00,0.26,-0.15,-36.59,0.39,0.38,0.44,-0.56,0.01,0.01,0.02,0.06,0.15,0.19,0.22,0.36,0.63,0.77,0.48,0.31,0.28,0.25,0.12,0.05
2018-08-07,489,DFM,7.83,0.01,0.13,28248.88086,28200.0,294,471,67.62,639,465,-37.83,7.75,22.0,32,30,0.00,0.30,0.00,0.0,0.23,0.2,0.20,0.20,-0.03,-13.04,0.15,0.14,0.55,-0.44,0.01,0.01,0.04,0.11,0.27,0.31,0.35,0.55,0.9,0.74,0.4,0.25,0.21,0.18,0.07,0.03
2018-08-07,494,LIF,2.75,0.06,2.23,28248.88086,28200.0,294,471,67.62,639,465,-37.83,2.70,40.0,37,38,0.00,0.13,+0.03,30.0,0.14,0.13,0.07,0.08,-0.02,-20.0,0.09,0.09,0.58,-0.41,0.0,0.0,0.02,0.06,0.12,0.13,0.15,0.22,0.34,0.25,0.15,0.1,0.09,0.07,0.03,0.02
2018-08-07,688,COL,23.8,0.65,2.81,28248.88086,28200.0,294,471,67.62,639,465,-37.83,24.00,28.999999999999996,32,30,0.58,0.69,+0.28,68.29,0.66,0.58,0.00,0.83,-0.43,-34.13,0.86,0.84,0.46,-0.54,0.02,0.02,0.07,0.23,0.61,0.73,0.86,1.35,2.35,2.63,1.6,0.99,0.88,0.76,0.3,0.14
