Date,Option Code,Strike,Open(C),Settle(C),IV(C),Open(P),Settle(P),IV(P)
2018-07-30,CKH,85.0,0.3,0.35,0,0.26,0.0,0
2018-07-30,CLP,87.5,0.95,1.5,0,0.02,0.0,0
2018-07-30,HKG,16.0,0.14,0.14,0,0.0,0.0,0
2018-07-30,WHL,26.0,0.35,0.35,0,0.0,0.0,0
2018-07-30,HKB,75.0,0.1,0.0,0,0.4,0.3,0
2018-07-30,HEH,55.0,1.19,0.95,0,0.02,0.0,0
2018-07-30,HSB,210.0,2.01,2.6,0,0.17,0.0,0
2018-07-30,HLD,43.0,0.26,0.25,0,0.0,0.0,0
2018-07-30,SHK,122.5,1.7,1.6,0,0.24,0.0,0
2018-07-30,NWD,11.0,0.0,0.2,0,0.0,0.0,0
2018-07-30,SWA,85.0,0.52,0.1,0,0.09,0.0,0
2018-07-30,BEA,31.0,0.0,0.3,0,0.07,0.0,0
2018-07-30,GLX,65.0,0.08,0.0,0,1.2,1.4,0
2018-07-30,MTR,43.0,0.0,0.0,0,0.35,0.05,0
2018-07-30,KLE,6.75,0.0,0.0,0,0.05,0.0,0
2018-07-30,WWC,6.75,0.0,0.0,0,0.17,0.13,0
2018-07-30,GAH,18.5,0.08,0.0,0,0.43,0.62,0
2018-07-30,CIT,11.0,0.09,0.16,0,0.02,0.0,0
2018-07-30,CPA,12.0,0.0,0.0,0,0.1,0.1,0
2018-07-30,JXC,9.75,0.12,0.1,0,0.0,0.0,0
2018-07-30,CPC,7.5,0.06,0.01,0,0.05,0.0,0
2018-07-30,HEX,235.0,2.2,0.2,0,0.5,0.0,0
2018-07-30,CRG,6.75,0.11,0.02,0,0.07,0.0,0
2018-07-30,DFM,8.0,0.0,0.0,0,0.0,0.19,0
2018-07-30,LIF,2.8,0.0,0.0,0,0.05,0.05,0
2018-07-30,COL,25.0,0.1,0.0,0,0.4,0.15,0
2018-07-30,TCH,370.0,1.6,0.0,0,2.0,2.8,0
2018-07-30,CTC,3.6,0.0,0.04,0,0.02,0.0,0
2018-07-30,AIR,7.25,0.0,0.0,0,0.0,0.09,0
2018-07-30,CHU,9.75,0.03,0.0,0,0.12,0.0,0
2018-07-30,LNK,77.5,0.11,0.25,0,0.16,0.0,0
2018-07-30,PEC,6.0,0.0,0.0,0,0.12,0.08,0
2018-07-30,CNC,13.0,0.01,0.0,0,0.35,0.08,0
2018-07-30,HNP,6.0,0.03,0.08,0,0.0,0.0,0
2018-07-30,ACC,49.0,0.9,1.65,0,0.01,0.0,0
2018-07-30,XCC,7.0,0.114,0.12,0,0.009,0.0,0
2018-07-30,CHT,70.0,0.2,0.0,0,0.3,0.05,0
2018-07-30,LEN,4.3,0.02,0.04,0,0.0,0.0,0
2018-07-30,CTB,5.0,0.01,0.0,0,0.03,0.0,0
2018-07-30,HGN,70.0,0.0,0.0,0,0.9,0.85,0
2018-07-30,CSE,18.0,0.05,0.0,0,0.1,0.1,0
2018-07-30,CSP,21.0,0.0,0.0,0,0.25,0.2,0
2018-07-30,SNP,33.0,0.0,0.0,0,0.0,0.25,0
2018-07-30,CRL,29.0,0.06,0.1,0,0.07,0.0,0
2018-07-30,CKP,60.0,0.4,0.3,0,0.09,0.0,0
2018-07-30,YZC,10.0,0.14,0.0,0,0.08,0.12,0
2018-07-30,CRC,9.25,0.1,0.16,0,0.0,0.0,0
2018-07-30,BYD,45.0,0.03,0.0,0,1.26,1.35,0
2018-07-30,XAB,3.8,0.015,0.0,0,0.03,0.0,0
2018-07-30,AIA,67.5,1.12,1.2,0,0.02,0.0,0
2018-07-30,NCL,36.0,0.52,0.35,0,0.13,0.0,0
2018-07-30,PIN,3.5,0.0,0.03,0,0.02,0.0,0
2018-07-30,CDA,2.2,0.0,0.0,0,0.01,0.0,0
2018-07-30,XIC,5.75,0.069,0.07,0,0.007,0.0,0
2018-07-30,XPB,5.25,0.0,0.0,0,0.0,0.07,0
2018-07-30,CCC,8.5,0.12,0.17,0,0.01,0.0,0
2018-07-30,MIU,19.0,0.1,0.0,0,0.48,0.32,0
2018-07-30,CGN,2.1,0.0,0.0,0,0.02,0.03,0
2018-07-30,CCE,3.3,0.0,0.0,0,0.03,0.02,0
2018-07-30,SUN,25.0,0.52,0.4,0,0.09,0.0,0
2018-07-30,CCS,3.4,0.0,0.0,0,0.0,0.04,0
2018-07-30,SAN,41.0,0.04,0.0,0,0.25,0.65,0
2018-07-30,MSA,5.83,0.01,0.0,0,0.0,0.02,0
2018-07-30,COG,13.0,0.0,0.0,0,0.59,0.86,0
2018-07-30,AAC,100.0,0.63,0.4,0,0.7,0.0,0
2018-07-30,VNK,25.0,0.0,0.0,0,0.0,0.35,0
2018-07-30,GAC,7.25,0.0,0.0,0,0.0,0.1,0
2018-07-30,MGM,17.0,0.15,0.0,0,0.0,0.4,0
2018-07-30,PAI,72.5,1.4,1.25,0,0.11,0.0,0
