Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-05-07,1,CKH,90.95,-0.3,-0.33,526,409,-7.05,543,646,-2.12,90.00,14.000000000000002,15,16,1.41,1.46,-0.40,-21.51,1.82,1.62,2.00,2.07,+0.04,1.97,0.86,0.91,0.59,-0.41,0.09,0.09,0.0,0.27,1.49,1.96,2.42,5.57,10.05,8.14,3.91,1.54,1.1,0.65,0.12,0.0
2018-05-07,2,CLP,80.75,-0.2,-0.25,526,409,-7.05,543,646,-2.12,80.00,12.0,13,13,1.35,1.54,-0.08,-4.94,1.39,1.22,0.84,0.76,+0.08,11.76,0.63,0.68,0.59,-0.41,0.08,0.08,0.0,0.14,1.1,1.52,1.94,4.8,8.83,7.33,3.43,1.16,0.76,0.37,0.0,0.0
2018-05-07,3,HKG,16.56,0.02,0.12,526,409,-7.05,543,646,-2.12,16.50,7.000000000000001,10,11,0.21,0.21,0.00,0.0,0.16,0.13,0.19,0.15,-0.02,-11.76,0.1,0.11,0.52,-0.48,0.02,0.02,0.0,0.0,0.13,0.21,0.29,0.89,1.72,1.6,0.77,0.25,0.17,0.09,0.0,0.0
2018-05-07,4,WHL,25.2,0.15,0.6,526,409,-7.05,543,646,-2.12,25.00,24.0,22,24,0.58,0.69,0.00,0.0,0.75,0.67,0.61,0.51,-0.07,-12.07,0.55,0.53,0.55,-0.45,0.02,0.02,0.0,0.16,0.57,0.7,0.83,1.59,2.72,2.34,1.25,0.68,0.55,0.43,0.15,0.0
2018-05-07,5,HKB,75.1,0.15,0.2,526,409,-7.05,543,646,-2.12,75.00,18.0,15,14,1.11,0.97,-0.10,-9.35,1.5,1.29,1.40,1.42,-0.26,-15.48,1.4,1.38,0.49,-0.51,0.08,0.07,0.0,0.14,0.89,1.28,1.66,4.01,7.62,7.41,3.75,1.46,1.09,0.72,0.1,0.0
2018-05-07,6,HEH,58.2,0.1,0.17,526,409,-7.05,543,646,-2.12,57.50,9.0,11,13,0.83,0.82,+0.01,1.23,0.95,0.86,1.71,1.58,-0.11,-6.51,0.24,0.31,0.64,-0.38,0.05,0.06,0.0,0.06,0.75,1.05,1.47,3.62,6.53,5.12,2.33,0.75,0.47,0.25,0.0,0.0
2018-05-07,11,HSB,196.3,-0.2,-0.1,526,409,-7.05,543,646,-2.12,197.50,17.0,21,20,3.59,3.28,-0.09,-2.67,3.05,2.57,4.96,5.37,-0.22,-3.94,4.23,4.27,0.44,-0.56,0.19,0.19,0.0,0.82,2.9,3.9,4.91,9.86,18.5,20.83,11.72,5.83,4.87,3.91,1.11,0.0
2018-05-07,12,HLD,49.15,0.0,0.0,526,409,-7.05,543,646,-2.12,49.00,13.0,16,17,0.92,0.90,-0.04,-4.26,0.79,0.67,0.80,0.77,-0.01,-1.28,0.64,0.64,0.51,-0.49,0.05,0.05,0.0,0.13,0.68,0.93,1.18,2.72,5.07,4.77,2.46,1.07,0.83,0.59,0.14,0.0
2018-05-07,16,SHK,122.8,-0.2,-0.16,526,409,-7.05,543,646,-2.12,122.50,23.0,15,14,2.10,2.07,-0.06,-2.82,3.16,2.75,1.48,1.58,-0.08,-4.82,2.85,2.77,0.5,-0.49,0.12,0.12,0.0,0.25,1.53,2.16,2.78,6.67,12.59,11.98,6.01,2.31,1.71,1.11,0.15,0.0
2018-05-07,17,NWD,11.12,-0.06,-0.54,526,409,-7.05,543,646,-2.12,11.00,22.0,20,21,0.31,0.30,-0.05,-14.29,0.33,0.29,0.19,0.18,+0.02,12.5,0.21,0.2,0.57,-0.43,0.01,0.01,0.0,0.06,0.24,0.3,0.36,0.72,1.23,0.99,0.5,0.25,0.19,0.14,0.04,0.0
