Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-05-30,1,CKH,87.45,-0.95,-1.07,200,0,-100.0,98,0,-100.0,87.50,16.0,0,0,0.40,0.00,-1.03,-100.0,0.0,0,0.08,0.05,-0.04,-44.44,0.05,0,0,0,0,0,0.0,0.0,0.0,0.0,0.82,4.32,8.7,8.8,4.42,0.92,0.05,0.0,0.0,0.0
2018-05-30,2,CLP,81.7,-0.1,-0.12,200,0,-100.0,98,0,-100.0,82.50,14.000000000000002,0,0,0.01,0.00,-0.11,-100.0,0.0,0,1.02,0.80,-0.01,-1.23,0.8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.02,3.29,7.37,8.97,4.89,1.62,0.8,0.0,0.0,0.0
2018-05-30,3,HKG,16.94,-0.1,-0.59,200,0,-100.0,98,0,-100.0,17.00,12.0,0,0,0.03,0.00,-0.10,-100.0,0.0,0,0.08,0.06,0.00,0.0,0.06,0,0,0,0,0,0.0,0.0,0.0,0.0,0.11,0.79,1.63,1.75,0.91,0.23,0.06,0.0,0.0,0.0
2018-05-30,4,WHL,25.15,-0.35,-1.37,200,0,-100.0,98,0,-100.0,25.00,20.0,0,0,0.20,0.15,-0.38,-71.7,0.15,0,0.06,0.00,-0.02,-100.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.15,0.4,1.41,2.66,2.37,1.11,0.1,0.0,0.0,0.0,0.0
2018-05-30,5,HKB,74.95,-0.95,-1.25,200,0,-100.0,98,0,-100.0,75.00,19.0,0,0,0.28,0.00,-1.00,-100.0,0.0,0,0.20,0.05,-0.02,-28.57,0.05,0,0,0,0,0,0.0,0.0,0.0,0.0,0.7,3.7,7.45,7.55,3.8,0.8,0.05,0.0,0.0,0.0
2018-05-30,6,HEH,54.1,-0.5,-0.92,200,0,-100.0,98,0,-100.0,55.00,20.0,0,0,0.00,0.00,-0.06,-100.0,0.0,0,0.70,0.90,+0.46,104.55,0.9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.81,4.51,6.31,3.61,1.44,0.9,0.36,0.0,0.0
2018-05-30,11,HSB,193.9,-1.0,-0.51,200,0,-100.0,98,0,-100.0,195.00,18.0,0,0,0.31,0.00,-0.76,-100.0,0.0,0,1.70,1.10,+0.28,34.15,1.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.84,8.6,18.29,20.49,10.8,3.04,1.1,0.0,0.0,0.0
2018-05-30,12,HLD,51.15,-0.55,-1.06,200,0,-100.0,98,0,-100.0,50.00,17.0,0,0,0.92,1.15,-0.55,-32.35,1.15,0,0.00,0.00,-0.01,-100.0,0.0,0,0,0,0,0,0.0,0.0,0.64,1.15,1.66,3.71,6.27,3.97,1.41,0.0,0.0,0.0,0.0,0.0
2018-05-30,16,SHK,125.3,-0.5,-0.4,200,0,-100.0,98,0,-100.0,125.00,19.0,0,0,0.55,0.30,-0.67,-69.07,0.3,0,0.21,0.00,-0.20,-100.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.3,1.55,6.56,12.83,12.23,5.97,0.95,0.0,0.0,0.0,0.0
2018-05-30,17,NWD,11.8,-0.18,-1.5,200,0,-100.0,98,0,-100.0,12.00,24.0,0,0,0.01,0.00,-0.07,-100.0,0.0,0,0.29,0.20,+0.11,122.22,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.39,0.98,1.38,0.79,0.32,0.2,0.08,0.0,0.0
