Date,Stock Code,Option Code,Closing,Change,Change(%),HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-08-16,1,CKH,89.15,0.25,0.28,27100.06055,27200.0,285,340,-27.04,641,494,13.04,90.00,20.0,20,22,0.71,1.10,+0.09,8.91,1.11,0.97,2.40,1.99,-0.15,-7.01,1.96,1.96,0.4,-0.59,0.07,0.07,0.0,0.08,0.64,1.1,1.55,3.94,8.07,9.76,5.46,2.53,2.09,1.66,0.4,0.0
2018-08-16,2,CLP,94.1,1.05,1.13,27100.06055,27200.0,285,340,-27.04,641,494,13.04,95.00,21.0,16,17,0.54,0.86,+0.28,48.28,1.22,1.07,2.21,1.77,-0.63,-26.25,2.11,2.11,0.37,-0.62,0.07,0.07,0.0,0.0,0.41,0.83,1.31,3.99,8.52,10.31,5.61,2.29,1.81,1.35,0.22,0.0
2018-08-16,3,HKG,15.86,-0.12,-0.75,27100.06055,27200.0,285,340,-27.04,641,494,13.04,16.00,19.0,19,17,0.18,0.18,-0.05,-21.74,0.18,0.16,0.29,0.29,+0.06,26.09,0.32,0.32,0.4,-0.61,0.01,0.01,0.0,0.01,0.11,0.19,0.27,0.7,1.45,1.73,0.93,0.38,0.3,0.22,0.04,0.0
2018-08-16,4,WHL,22.45,-0.25,-1.1,27100.06055,27200.0,285,340,-27.04,641,494,13.04,22.00,24.0,28,28,0.00,0.68,-0.21,-23.6,0.69,0.66,0.36,0.43,+0.06,16.22,0.23,0.25,0.64,-0.36,0.02,0.02,0.03,0.18,0.64,0.75,0.87,1.65,2.7,1.82,0.85,0.41,0.3,0.19,0.07,0.0
2018-08-16,5,HKB,70.15,-1.4,-1.96,27100.06055,27200.0,285,340,-27.04,641,494,13.04,70.00,14.000000000000002,15,16,1.00,0.94,-0.75,-44.38,0.91,0.79,0.65,0.80,+0.11,15.94,0.76,0.75,0.51,-0.49,0.05,0.05,0.0,0.01,0.61,0.97,1.32,3.66,7.17,6.86,3.4,1.22,0.87,0.53,0.03,0.0
2018-08-16,6,HEH,56.7,0.25,0.44,27100.06055,27200.0,285,340,-27.04,641,494,13.04,57.50,13.0,17,18,0.22,0.32,+0.05,18.52,0.21,0.22,1.74,1.81,-0.20,-9.95,1.01,1.11,0.33,-0.66,0.04,0.04,0.0,0.0,0.24,0.42,0.71,2.21,4.87,6.47,3.63,1.63,1.27,0.99,0.19,0.0
2018-08-16,11,HSB,206.8,-1.2,-0.58,27100.06055,27200.0,285,340,-27.04,641,494,13.04,205.00,25.0,23,23,3.54,4.02,-0.64,-13.73,5.32,4.84,2.97,3.41,+0.55,19.23,3.51,3.37,0.57,-0.43,0.16,0.16,0.0,0.89,3.87,4.92,5.98,12.69,22.49,18.88,9.42,4.12,3.11,2.1,0.54,0.0
2018-08-16,12,HLD,41.15,-0.2,-0.48,27100.06055,27200.0,285,340,-27.04,641,494,13.04,41.00,19.0,28,26,1.06,0.99,-0.11,-10.0,0.74,0.65,0.74,0.78,+0.04,5.41,0.59,0.57,0.53,-0.47,0.03,0.03,0.0,0.24,0.84,1.05,1.26,2.43,4.27,3.97,2.11,1.03,0.83,0.63,0.19,0.0
2018-08-16,16,SHK,118.7,-0.8,-0.67,27100.06055,27200.0,285,340,-27.04,641,494,13.04,117.50,18.0,23,23,0.00,2.89,-0.75,-20.6,2.42,2.22,1.99,1.62,+0.11,7.28,1.21,1.21,0.58,-0.41,0.09,0.09,0.0,0.53,2.3,2.91,3.51,7.43,13.08,10.67,5.26,2.28,1.7,1.12,0.29,0.0
2018-08-16,17,NWD,10.58,-0.02,-0.19,27100.06055,27200.0,285,340,-27.04,641,494,13.04,10.50,18.0,23,25,0.00,0.24,-0.02,-7.69,0.2,0.18,0.19,0.17,+0.02,13.33,0.12,0.12,0.56,-0.44,0.01,0.01,0.0,0.04,0.19,0.25,0.3,0.64,1.14,0.98,0.5,0.23,0.18,0.13,0.04,0.0
2018-08-16,19,SWA,90.0,1.3,1.47,27100.06055,27200.0,285,340,-27.04,641,494,13.04,90.00,19.0,18,20,1.77,1.36,+0.50,58.14,1.48,1.29,1.48,1.38,-0.78,-36.11,1.47,1.43,0.49,-0.51,0.07,0.07,0.0,0.11,0.92,1.38,1.83,4.65,9.01,9.0,4.68,1.97,1.52,1.08,0.22,0.0
2018-08-16,23,BEA,28.65,-0.15,-0.52,27100.06055,27200.0,285,340,-27.04,641,494,13.04,29.00,27.0,34,35,0.62,0.63,-0.10,-13.7,0.49,0.44,0.92,0.98,+0.02,2.08,0.84,0.83,0.43,-0.56,0.02,0.02,0.0,0.18,0.51,0.66,0.8,1.39,2.64,3.22,1.98,1.17,1.03,0.89,0.34,0.13
