Date,Stock Code,Option Code,Closing,Change,Change(%),HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-08-15,1,CKH,88.9,-0.05,-0.06,27323.58984,27400.0,568,356,-38.41,325,529,56.97,90.00,21.0,20,21,1.05,1.01,-0.08,-7.34,1.07,0.95,1.87,2.14,+0.06,2.88,2.17,2.2,0.37,-0.62,0.07,0.07,0.0,0.07,0.57,1.02,1.48,3.74,7.8,9.99,5.65,2.63,2.2,1.76,0.43,0.0
2018-08-15,2,CLP,93.05,-0.15,-0.16,27323.58984,27400.0,568,356,-38.41,325,529,56.97,92.50,21.0,17,16,1.20,1.65,-0.03,-1.79,1.95,1.75,1.19,0.96,-0.03,-3.03,1.4,1.35,0.55,-0.44,0.07,0.07,0.0,0.16,1.19,1.66,2.14,5.27,9.86,8.75,4.22,1.48,1.03,0.57,0.02,0.0
2018-08-15,3,HKG,15.98,-0.2,-1.24,27323.58984,27400.0,568,356,-38.41,325,529,56.97,16.00,19.0,18,17,0.24,0.23,-0.12,-34.29,0.26,0.22,0.20,0.23,+0.09,64.29,0.28,0.27,0.47,-0.53,0.01,0.01,0.0,0.02,0.16,0.24,0.32,0.81,1.58,1.62,0.83,0.33,0.25,0.17,0.02,0.0
2018-08-15,4,WHL,22.7,-0.55,-2.37,27323.58984,27400.0,568,356,-38.41,325,529,56.97,23.00,24.0,29,29,0.28,0.34,-0.27,-44.26,0.34,0.3,1.07,0.90,+0.35,63.64,0.64,0.64,0.41,-0.59,0.02,0.02,0.0,0.1,0.32,0.43,0.55,1.03,2.03,2.57,1.54,0.84,0.73,0.62,0.19,0.06
2018-08-15,5,HKB,71.55,-0.8,-1.11,27323.58984,27400.0,568,356,-38.41,325,529,56.97,72.50,13.0,16,15,0.42,0.35,-0.22,-38.6,0.32,0.32,1.84,1.97,+0.52,35.86,1.27,1.39,0.33,-0.68,0.05,0.05,0.0,0.0,0.3,0.54,0.9,2.82,6.21,8.11,4.53,1.93,1.42,1.07,0.16,0.0
2018-08-15,6,HEH,56.45,0.25,0.44,27323.58984,27400.0,568,356,-38.41,325,529,56.97,57.50,12.0,17,18,0.23,0.27,+0.03,12.5,0.18,0.17,2.24,2.01,-0.24,-10.67,1.23,1.32,0.29,-0.7,0.04,0.04,0.0,0.0,0.22,0.33,0.61,1.99,4.6,6.69,3.87,1.86,1.42,1.15,0.24,0.0
2018-08-15,11,HSB,208.0,-1.8,-0.86,27323.58984,27400.0,568,356,-38.41,325,529,56.97,210.00,25.0,21,22,4.00,2.24,-0.86,-27.74,3.68,3.23,4.85,5.64,+1.16,25.89,5.66,5.58,0.4,-0.59,0.16,0.16,0.0,0.33,1.8,2.86,3.92,9.33,18.81,22.8,12.81,6.05,5.03,4.01,1.02,0.0
2018-08-15,12,HLD,41.35,-0.25,-0.6,27323.58984,27400.0,568,356,-38.41,325,529,56.97,41.00,19.0,26,27,1.10,1.10,-0.23,-17.29,0.87,0.79,0.79,0.74,+0.07,10.45,0.52,0.51,0.56,-0.44,0.03,0.03,0.0,0.24,0.9,1.12,1.33,2.6,4.49,3.78,1.98,1.0,0.8,0.6,0.2,0.0
2018-08-15,16,SHK,119.5,-1.2,-0.99,27323.58984,27400.0,568,356,-38.41,325,529,56.97,120.00,18.0,22,23,1.98,1.96,-0.75,-27.68,1.63,1.4,2.50,2.52,+0.65,34.76,2.13,2.1,0.46,-0.54,0.1,0.1,0.0,0.32,1.46,2.07,2.68,5.98,11.46,12.45,6.84,3.25,2.66,2.08,0.55,0.0
2018-08-15,17,NWD,10.6,-0.16,-1.49,27323.58984,27400.0,568,356,-38.41,325,529,56.97,10.50,18.0,23,23,0.00,0.26,-0.12,-31.58,0.22,0.2,0.15,0.15,+0.05,50.0,0.12,0.12,0.57,-0.42,0.01,0.01,0.0,0.05,0.21,0.26,0.32,0.66,1.16,0.96,0.48,0.21,0.16,0.11,0.03,0.0
2018-08-15,19,SWA,88.7,0.65,0.74,27323.58984,27400.0,568,356,-38.41,325,529,56.97,87.50,19.0,19,20,2.28,2.13,+0.42,24.56,2.1,1.97,0.96,0.89,-0.24,-21.24,0.9,0.92,0.63,-0.38,0.07,0.07,0.0,0.31,1.62,2.07,2.57,5.69,10.08,7.67,3.58,1.38,0.95,0.51,0.09,0.0
2018-08-15,23,BEA,28.8,0.05,0.17,27323.58984,27400.0,568,356,-38.41,325,529,56.97,29.00,27.0,34,36,0.82,0.73,-0.06,-7.59,0.59,0.52,0.00,0.96,-0.05,-4.95,0.79,0.77,0.46,-0.53,0.02,0.02,0.02,0.22,0.61,0.76,0.91,1.53,2.8,3.13,1.88,1.15,1.01,0.87,0.32,0.14
2018-08-15,27,GLX,53.3,-2.45,-4.39,27323.58984,27400.0,568,356,-38.41,325,529,56.97,52.50,38.0,38,38,2.63,2.08,-1.71,-45.12,2.16,1.99,0.59,1.25,+0.78,165.96,1.35,1.28,0.58,-0.41,0.04,0.04,0.27,0.79,1.89,2.17,2.44,3.94,6.29,4.8,2.65,1.62,1.36,1.11,0.47,0.16
2018-08-15,66,MTR,40.0,0.2,0.5,27323.58984,27400.0,568,356,-38.41,325,529,56.97,40.00,19.0,18,20,0.36,0.54,+0.04,8.0,0.67,0.58,1.18,0.77,-0.14,-15.38,0.67,0.65,0.49,-0.51,0.03,0.03,0.0,0.06,0.43,0.63,0.84,2.08,4.0,4.0,2.09,0.9,0.7,0.5,0.11,0.0
2018-08-15,135,KLE,6.82,-0.41,-5.67,27323.58984,27400.0,568,356,-38.41,325,529,56.97,6.75,34.0,40,40,0.00,0.26,-0.28,-51.85,0.24,0.22,0.09,0.19,+0.13,216.67,0.17,0.16,0.56,-0.44,0.01,0.01,0.04,0.1,0.24,0.27,0.31,0.48,0.78,0.65,0.37,0.24,0.2,0.17,0.07,0.03
2018-08-15,151,WWC,5.83,-0.23,-3.8,27323.58984,27400.0,568,356,-38.41,325,529,56.97,5.75,33.0,41,42,0.23,0.24,-0.14,-36.84,0.21,0.19,0.17,0.16,+0.07,77.78,0.13,0.12,0.57,-0.43,0.0,0.0,0.04,0.1,0.22,0.25,0.28,0.43,0.69,0.54,0.31,0.2,0.17,0.15,0.06,0.03
2018-08-15,175,GAH,15.16,-0.84,-5.25,27323.58984,27400.0,568,356,-38.41,325,529,56.97,15.00,41.0,49,52,0.71,0.69,-0.53,-43.44,0.62,0.57,0.34,0.56,+0.35,166.67,0.46,0.43,0.55,-0.44,0.01,0.01,0.14,0.33,0.65,0.73,0.81,1.14,1.81,1.51,0.97,0.68,0.61,0.54,0.25,0.15
2018-08-15,267,CIT,10.96,-0.1,-0.9,27323.58984,27400.0,568,356,-38.41,325,529,56.97,11.00,21.0,24,25,0.00,0.20,-0.05,-20.0,0.18,0.16,0.24,0.24,+0.05,26.32,0.22,0.22,0.47,-0.53,0.01,0.01,0.0,0.04,0.16,0.21,0.27,0.56,1.06,1.14,0.63,0.31,0.26,0.21,0.06,0.0
2018-08-15,293,CPA,11.86,-0.16,-1.33,27323.58984,27400.0,568,356,-38.41,325,529,56.97,12.00,28.000000000000004,22,23,0.00,0.16,-0.08,-33.33,0.22,0.19,0.31,0.30,+0.09,42.86,0.36,0.35,0.39,-0.6,0.01,0.01,0.0,0.02,0.1,0.16,0.22,0.51,1.05,1.33,0.76,0.37,0.31,0.25,0.07,0.0
2018-08-15,358,JXC,9.08,-0.25,-2.68,27323.58984,27400.0,568,356,-38.41,325,529,56.97,9.00,25.0,33,31,0.30,0.29,-0.16,-35.56,0.24,0.22,0.21,0.19,+0.07,58.33,0.16,0.15,0.55,-0.44,0.01,0.01,0.02,0.08,0.26,0.3,0.35,0.6,1.0,0.84,0.45,0.25,0.21,0.16,0.06,0.01
