Date,Option Code,Strike,Open(C),Settle(C),IV(C),Open(P),Settle(P),IV(P)
2018-06-07,CKH,90.0,2.12,1.92,14,0.76,0.76,14
2018-06-07,CLP,82.5,1.31,1.35,11,0.78,0.7,12
2018-06-07,HKG,17.5,0.1,0.1,15,0.58,0.56,17
2018-06-07,WHL,26.0,0.5,0.46,20,0.0,0.51,18
2018-06-07,HKB,77.5,0.66,0.87,12,1.23,1.01,12
2018-06-07,HEH,55.0,1.02,1.28,12,0.46,0.31,13
2018-06-07,HSB,197.5,4.35,5.13,12,2.35,1.06,13
2018-06-07,HLD,47.0,0.0,0.47,18,0.0,1.33,18
2018-06-07,SHK,127.5,2.54,2.26,14,1.42,1.36,14
2018-06-07,NWD,12.5,0.2,0.22,21,0.34,0.31,22
2018-06-07,SWA,82.5,1.34,1.67,15,1.1,0.96,16
2018-06-07,BEA,33.0,0.8,0.8,19,0.0,0.51,20
2018-06-07,GLX,65.0,1.9,1.47,23,1.05,1.47,23
2018-06-07,MTR,45.0,0.41,0.45,11,0.7,0.59,12
2018-06-07,KLE,7.25,0.0,0.18,27,0.2,0.2,27
2018-06-07,WWC,8.0,0.0,0.38,41,0.0,0.27,42
2018-06-07,GAH,23.0,0.9,1.17,31,0.38,0.36,30
2018-06-07,CIT,12.0,0.2,0.18,19,0.34,0.35,20
2018-06-07,CPA,13.5,0.0,0.34,19,0.0,0.18,19
2018-06-07,JXC,12.0,0.29,0.19,26,0.45,0.49,26
2018-06-07,CPC,7.5,0.27,0.28,29,0.2,0.15,28
2018-06-07,HEX,260.0,5.0,6.68,18,3.5,3.19,19
2018-06-07,CRG,6.5,0.11,0.12,22,0.0,0.18,25
2018-06-07,DFM,9.25,0.0,0.22,24,0.4,0.36,23
2018-06-07,LIF,3.0,0.0,0.16,31,0.0,0.05,32
2018-06-07,COL,28.0,0.88,1.16,26,0.64,0.53,28
2018-06-07,TCH,420.0,13.5,14.22,21,4.2,4.68,21
2018-06-07,CTC,3.8,0.0,0.06,17,0.0,0.08,20
2018-06-07,CHU,11.0,0.19,0.2,24,0.0,0.33,24
2018-06-07,LNK,72.5,1.64,1.58,15,1.1,1.21,16
2018-06-07,PEC,6.5,0.22,0.2,29,0.16,0.19,31
2018-06-07,CNC,13.5,0.37,0.37,29,0.4,0.38,28
2018-06-07,HNP,5.75,0.12,0.14,31,0.26,0.2,30
2018-06-07,ACC,49.0,1.75,1.86,30,1.21,1.17,32
2018-06-07,XCC,8.25,0.104,0.143,17,0.158,0.132,17
2018-06-07,CHT,72.5,1.36,1.53,15,0.9,0.72,15
2018-06-07,LEN,4.2,0.09,0.1,26,0.11,0.11,25
2018-06-07,CTB,5.5,0.0,0.11,24,0.15,0.16,26
2018-06-07,HGN,77.5,2.22,2.31,24,1.64,1.55,26
2018-06-07,CSE,21.0,1.04,1.02,30,0.79,0.8,28
2018-06-07,CRL,31.0,1.01,0.94,33,1.24,1.14,31
2018-06-07,CKP,67.5,1.14,0.84,14,0.9,1.1,15
2018-06-07,YZC,12.0,0.75,0.48,43,0.4,0.49,41
2018-06-07,CRC,9.0,0.0,0.2,20,0.0,0.15,19
2018-06-07,BYD,52.5,2.5,2.77,30,0.89,0.65,28
2018-06-07,XAB,4.1,0.114,0.134,17,0.035,0.029,17
2018-06-07,AIA,72.5,2.15,2.24,21,1.13,1.03,22
2018-06-07,NCL,37.0,1.85,1.73,28,0.57,0.57,29
2018-06-07,PIN,4.0,0.0,0.2,38,0.0,0.1,36
2018-06-07,CDA,2.9,0.03,0.04,15,0.06,0.05,16
2018-06-07,XIC,6.5,0.231,0.255,18,0.044,0.037,17
2018-06-07,CCC,8.5,0.0,0.19,20,0.26,0.26,18
