Date,Stock Code,Option Code,Closing,Change,Change(%),HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-08-02,1171,YZC,9.1,-0.33,-3.5,27714.56055,27800.0,721,491,-41.48,390,689,97.99,9.00,54.0,44,45,0.00,0.50,-0.19,-27.54,0.64,0.58,0.31,0.40,+0.15,60.0,0.54,0.5,0.55,-0.45,0.01,0.01,0.13,0.29,0.48,0.53,0.58,0.77,1.13,0.94,0.65,0.48,0.44,0.39,0.22,0.13
2018-08-02,1186,CRC,9.36,-0.07,-0.74,27714.56055,27800.0,721,491,-41.48,390,689,97.99,9.25,53.0,34,34,0.00,0.42,-0.05,-10.64,0.65,0.59,0.30,0.30,+0.02,7.14,0.54,0.51,0.55,-0.44,0.01,0.01,0.08,0.19,0.39,0.43,0.48,0.7,1.12,0.9,0.55,0.37,0.32,0.28,0.12,0.07
2018-08-02,1211,BYD,43.5,-1.35,-3.01,27714.56055,27800.0,721,491,-41.48,390,689,97.99,43.00,31.0,35,36,1.93,1.99,-0.82,-29.18,1.84,1.65,1.48,1.50,+0.53,54.64,1.33,1.28,0.55,-0.45,0.05,0.05,0.38,0.93,1.84,2.07,2.29,3.27,5.2,4.25,2.65,1.82,1.61,1.41,0.62,0.37
2018-08-02,1288,XAB,3.76,-0.05,-1.31,27714.56055,27800.0,721,491,-41.48,390,689,97.99,3.80,22.0,23,23,0.068,0.083,-0.017,-17.0,0.08,0.07,0.000,0.115,+0.027,30.68,0.12,0.12,0.43,-0.57,0.0,0.0,0.0,0.02,0.07,0.08,0.1,0.18,0.35,0.42,0.25,0.14,0.12,0.11,0.03,0.01
2018-08-02,1299,AIA,65.9,-1.4,-2.08,27714.56055,27800.0,721,491,-41.48,390,689,97.99,65.00,15.0,27,26,3.10,2.40,-0.77,-24.29,1.66,1.49,0.91,1.58,+0.66,71.74,0.75,0.8,0.57,-0.43,0.07,0.07,0.29,0.87,2.23,2.57,2.91,4.76,7.67,5.94,3.18,1.91,1.59,1.27,0.52,0.13
2018-08-02,1336,NCL,34.15,-1.25,-3.53,27714.56055,27800.0,721,491,-41.48,390,689,97.99,34.00,39.0,37,39,1.67,1.52,-0.68,-30.91,1.66,1.48,0.91,1.41,+0.64,83.12,1.51,1.44,0.52,-0.47,0.04,0.04,0.31,0.7,1.41,1.59,1.77,2.48,3.92,3.61,2.33,1.68,1.52,1.35,0.7,0.39
2018-08-02,1339,PIN,3.4,-0.08,-2.3,27714.56055,27800.0,721,491,-41.48,390,689,97.99,3.40,16.0,26,27,0.00,0.10,-0.05,-33.33,0.07,0.05,0.11,0.10,+0.02,25.0,0.06,0.07,0.5,-0.5,0.0,0.0,0.01,0.03,0.09,0.11,0.12,0.2,0.35,0.35,0.2,0.13,0.11,0.09,0.04,0.02
2018-08-02,1359,CDA,2.13,-0.05,-2.29,27714.56055,27800.0,721,491,-41.48,390,689,97.99,2.10,24.0,31,27,0.08,0.09,-0.02,-18.18,0.08,0.07,0.05,0.05,+0.02,66.67,0.05,0.04,0.57,-0.43,0.0,0.0,0.01,0.04,0.08,0.09,0.1,0.16,0.25,0.19,0.1,0.06,0.05,0.04,0.02,0.01
2018-08-02,1398,XIC,5.69,-0.1,-1.73,27714.56055,27800.0,721,491,-41.48,390,689,97.99,5.75,26.0,22,24,0.131,0.120,-0.046,-27.71,0.15,0.13,0.122,0.182,+0.066,56.9,0.21,0.2,0.42,-0.57,0.01,0.01,0.0,0.03,0.09,0.12,0.15,0.27,0.53,0.63,0.38,0.22,0.19,0.17,0.06,0.02
2018-08-02,1658,XPB,5.02,-0.15,-2.9,27714.56055,27800.0,721,491,-41.48,390,689,97.99,5.00,26.0,28,30,0.166,0.174,-0.091,-34.34,0.17,0.15,0.000,0.158,+0.067,73.63,0.15,0.14,0.52,-0.48,0.01,0.01,0.02,0.05,0.15,0.18,0.2,0.32,0.55,0.51,0.29,0.19,0.17,0.15,0.06,0.03
