Date,Stock Code,Option Code,Closing,Change,Change(%),HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-08-24,1,CKH,87.95,0.05,0.06,27671.86914,27600.0,215,205,-32.79,268,210,2.44,87.50,22.0,26,25,0.93,1.45,-0.01,-0.68,1.31,1.2,1.20,0.91,-0.07,-7.14,0.85,0.81,0.56,-0.44,0.04,0.04,0.0,0.12,1.05,1.49,1.94,4.89,9.25,8.34,4.05,1.43,0.99,0.56,0.02,0.0
2018-08-24,2,CLP,90.25,0.0,0.0,27671.86914,27600.0,215,205,-32.79,268,210,2.44,90.00,24.0,17,16,1.25,0.96,-0.04,-4.0,1.32,1.2,0.28,0.64,-0.07,-9.86,1.07,1.01,0.54,-0.45,0.05,0.05,0.0,0.0,0.52,0.98,1.44,4.76,9.28,8.77,4.26,1.12,0.67,0.26,0.0,0.0
2018-08-24,3,HKG,15.66,-0.08,-0.51,27671.86914,27600.0,215,205,-32.79,268,210,2.44,15.50,16.0,19,18,0.14,0.25,-0.02,-7.41,0.22,0.22,0.09,0.08,+0.06,300.0,0.06,0.07,0.66,-0.33,0.01,0.01,0.0,0.0,0.17,0.24,0.36,0.94,1.73,1.41,0.62,0.15,0.08,0.04,0.0,0.0
2018-08-24,4,WHL,22.05,-0.3,-1.34,27671.86914,27600.0,215,205,-32.79,268,210,2.44,22.00,25.0,26,25,0.00,0.33,-0.24,-42.11,0.33,0.3,0.00,0.26,+0.07,36.84,0.28,0.26,0.53,-0.47,0.01,0.01,0.0,0.02,0.23,0.34,0.46,1.17,2.26,2.15,1.07,0.39,0.28,0.17,0.01,0.0
2018-08-24,5,HKB,69.4,-0.25,-0.36,27671.86914,27600.0,215,205,-32.79,268,210,2.44,70.00,12.0,14,15,0.31,0.28,-0.13,-31.71,0.15,0.17,0.84,0.89,+0.19,27.14,0.75,0.81,0.31,-0.68,0.03,0.03,0.0,0.0,0.11,0.24,0.59,2.87,6.34,7.54,4.07,1.42,0.88,0.54,0.0,0.0
2018-08-24,6,HEH,55.2,-1.1,-1.95,27671.86914,27600.0,215,205,-32.79,268,210,2.44,55.00,16.0,16,15,0.00,0.58,-0.77,-57.04,0.6,0.54,0.25,0.34,+0.01,3.03,0.4,0.38,0.56,-0.43,0.03,0.03,0.0,0.0,0.31,0.59,0.9,2.96,5.72,5.32,2.56,0.63,0.36,0.14,0.0,0.0
2018-08-24,11,HSB,205.6,-0.2,-0.1,27671.86914,27600.0,215,205,-32.79,268,210,2.44,205.00,25.0,20,19,3.30,2.52,-0.54,-17.65,3.1,2.81,1.65,1.79,-0.38,-17.51,2.49,2.35,0.54,-0.46,0.1,0.1,0.0,0.0,1.54,2.58,3.62,10.89,21.17,19.96,9.68,2.88,1.86,0.85,0.0,0.0
2018-08-24,12,HLD,41.2,0.4,0.98,27671.86914,27600.0,215,205,-32.79,268,210,2.44,41.00,16.0,18,17,0.44,0.50,-0.13,-20.63,0.47,0.43,0.40,0.27,-0.50,-64.94,0.26,0.26,0.58,-0.42,0.02,0.02,0.0,0.0,0.3,0.51,0.74,2.26,4.32,3.92,1.86,0.49,0.29,0.12,0.0,0.0
2018-08-24,16,SHK,116.9,0.1,0.09,27671.86914,27600.0,215,205,-32.79,268,210,2.44,117.50,16.0,20,19,0.95,0.94,-0.29,-23.58,0.76,0.67,1.36,1.50,-0.30,-16.67,1.35,1.35,0.42,-0.59,0.06,0.06,0.0,0.0,0.43,1.0,1.59,5.26,11.09,12.29,6.44,2.16,1.53,0.96,0.0,0.0
2018-08-24,17,NWD,10.3,-0.06,-0.58,27671.86914,27600.0,215,205,-32.79,268,210,2.44,10.50,15.0,21,19,0.00,0.04,-0.04,-50.0,0.02,0.02,0.00,0.23,+0.01,4.55,0.22,0.22,0.23,-0.79,0.0,0.0,0.0,0.0,0.02,0.04,0.07,0.34,0.83,1.23,0.71,0.32,0.23,0.16,0.02,0.0
