Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-07-05,1,CKH,83.8,2.05,2.51,587,653,11.24,730,660,-11.05,85.00,19.0,22,21,1.17,1.48,+0.70,89.74,1.21,1.04,2.85,2.49,-1.33,-34.82,2.4,2.47,0.39,-0.61,0.08,0.08,0.0,0.35,1.08,1.51,1.94,3.7,7.39,9.58,5.69,3.01,2.6,2.2,0.65,0.16
2018-07-05,2,CLP,88.05,0.45,0.51,587,653,11.24,730,660,-11.05,87.50,21.0,16,17,1.41,1.84,+0.12,6.98,2.33,2.04,1.76,1.29,-0.33,-20.37,1.77,1.74,0.54,-0.46,0.09,0.09,0.0,0.3,1.42,1.87,2.32,5.16,9.36,8.25,4.19,1.84,1.41,0.98,0.25,0.0
2018-07-05,3,HKG,15.08,0.08,0.53,587,653,11.24,730,660,-11.05,15.00,40.0,14,15,0.25,0.28,+0.02,7.69,0.73,0.65,0.00,0.20,-0.05,-20.0,0.65,0.61,0.53,-0.47,0.02,0.02,0.0,0.03,0.2,0.28,0.36,0.85,1.59,1.43,0.71,0.29,0.22,0.14,0.03,0.0
2018-07-05,4,WHL,25.1,0.05,0.2,587,653,11.24,730,660,-11.05,25.00,22.0,25,23,0.71,0.72,+0.05,7.46,0.68,0.6,0.64,0.56,-0.07,-11.11,0.58,0.57,0.52,-0.48,0.03,0.03,0.04,0.2,0.63,0.76,0.89,1.55,2.66,2.42,1.33,0.72,0.6,0.48,0.16,0.02
2018-07-05,5,HKB,72.5,0.3,0.42,587,653,11.24,730,660,-11.05,72.50,14.000000000000002,17,16,1.33,1.36,+0.06,4.62,1.14,0.94,1.35,1.20,-0.25,-17.24,1.13,1.15,0.48,-0.52,0.08,0.08,0.0,0.23,1.03,1.4,1.77,3.89,7.26,7.25,3.81,1.67,1.31,0.96,0.22,0.0
2018-07-05,6,HEH,56.55,0.35,0.62,587,653,11.24,730,660,-11.05,57.50,16.0,15,16,0.54,0.57,+0.05,9.62,0.54,0.48,1.67,1.52,-0.18,-10.59,1.48,1.59,0.32,-0.67,0.05,0.05,0.0,0.0,0.29,0.5,0.78,2.14,4.71,6.61,3.81,1.84,1.51,1.23,0.29,0.0
2018-07-05,11,HSB,195.5,0.0,0.0,587,653,11.24,730,660,-11.05,195.00,13.0,21,22,5.12,4.72,-0.01,-0.21,3.16,2.65,3.81,4.28,-0.01,-0.23,2.64,2.69,0.51,-0.49,0.2,0.2,0.0,1.11,3.9,4.91,5.91,11.39,20.07,19.05,10.48,5.56,4.61,3.66,1.21,0.05
2018-07-05,12,HLD,41.2,0.05,0.12,587,653,11.24,730,660,-11.05,41.00,39.0,21,23,1.20,1.07,-0.03,-2.73,1.94,1.73,0.87,0.89,-0.07,-7.29,1.73,1.65,0.52,-0.47,0.04,0.04,0.0,0.24,0.87,1.08,1.29,2.48,4.32,3.94,2.15,1.17,0.97,0.77,0.27,0.02
2018-07-05,16,SHK,118.7,0.2,0.17,587,653,11.24,730,660,-11.05,117.50,13.0,19,19,3.27,3.13,-0.08,-2.49,2.31,2.04,1.53,1.85,-0.08,-4.15,1.1,1.17,0.57,-0.43,0.12,0.12,0.0,0.65,2.54,3.15,3.76,7.56,13.08,10.67,5.38,2.52,1.94,1.36,0.41,0.0
2018-07-05,17,NWD,11.04,0.02,0.18,587,653,11.24,730,660,-11.05,11.00,17.0,24,24,0.29,0.31,0.00,0.0,0.24,0.2,0.28,0.26,-0.01,-3.7,0.2,0.19,0.52,-0.48,0.01,0.01,0.01,0.08,0.26,0.32,0.38,0.67,1.16,1.07,0.59,0.33,0.28,0.23,0.08,0.01
