Date,Option Code,Strike,Open(C),Settle(C),IV(C),Open(P),Settle(P),IV(P)
2018-06-05,CKH,90.0,1.19,1.27,15,1.61,1.48,15
2018-06-05,CLP,82.5,0.0,0.88,12,1.32,1.23,12
2018-06-05,HKG,17.0,0.28,0.33,15,0.27,0.22,14
2018-06-05,WHL,25.0,0.0,1.14,20,0.23,0.18,20
2018-06-05,HKB,77.5,0.59,0.62,13,1.5,1.51,12
2018-06-05,HEH,55.0,0.65,0.58,12,0.69,0.79,11
2018-06-05,HSB,195.0,3.23,3.66,13,2.52,1.89,13
2018-06-05,HLD,52.5,0.0,0.02,21,0.0,5.55,0
2018-06-05,SHK,127.5,1.89,1.57,14,1.67,2.16,14
2018-06-05,NWD,12.5,0.2,0.21,24,0.0,0.43,25
2018-06-05,SWA,80.0,0.0,2.34,17,0.7,0.64,15
2018-06-05,BEA,32.0,0.93,1.13,22,0.0,0.44,22
2018-06-05,GLX,67.5,1.35,0.71,24,2.2,3.0,24
2018-06-05,MTR,44.0,0.0,0.83,13,0.5,0.41,13
2018-06-05,KLE,7.25,0.25,0.27,29,0.18,0.16,28
2018-06-05,WWC,7.75,0.2,0.16,38,0.5,0.49,40
2018-06-05,GAH,23.0,0.61,0.74,30,0.84,0.7,32
2018-06-05,CIT,12.0,0.2,0.2,21,0.41,0.4,23
2018-06-05,CPA,13.0,0.26,0.42,18,0.13,0.13,18
2018-06-05,JXC,11.5,0.22,0.22,26,0.45,0.42,23
2018-06-05,CPC,7.75,0.17,0.18,32,0.35,0.33,31
2018-06-05,HEX,260.0,3.5,3.69,17,6.3,5.36,16
2018-06-05,CRG,6.5,0.0,0.12,24,0.22,0.2,23
2018-06-05,DFM,9.25,0.23,0.19,25,0.0,0.45,23
2018-06-05,LIF,3.1,0.0,0.06,34,0.0,0.17,35
2018-06-05,COL,27.0,0.8,1.47,33,0.91,0.51,30
2018-06-05,TCH,410.0,13.2,14.24,19,5.63,4.36,20
2018-06-05,CTC,3.8,0.0,0.06,20,0.0,0.1,21
2018-06-05,CHU,11.0,0.21,0.23,26,0.4,0.36,26
2018-06-05,LNK,72.5,0.17,1.42,19,2.17,1.86,19
2018-06-05,PEC,6.5,0.16,0.14,35,0.33,0.33,33
2018-06-05,CNC,13.5,0.25,0.35,32,0.6,0.52,31
2018-06-05,HNP,5.75,0.0,0.19,33,0.17,0.18,30
2018-06-05,ACC,48.0,1.7,1.89,31,1.65,1.29,33
2018-06-05,XCC,8.25,0.11,0.106,17,0.207,0.209,19
2018-06-05,CHT,72.5,0.93,1.08,15,1.5,1.24,16
2018-06-05,LEN,4.2,0.18,0.14,29,0.12,0.1,27
2018-06-05,CTB,5.5,0.0,0.08,25,0.2,0.22,26
2018-06-05,HGN,77.5,1.77,2.63,26,2.5,1.69,27
2018-06-05,CSE,21.0,0.59,0.59,30,1.2,1.32,26
2018-06-05,CRL,31.0,0.62,1.15,35,1.37,1.33,38
2018-06-05,CKP,67.5,0.71,0.73,14,0.0,1.28,15
2018-06-05,YZC,11.5,0.62,0.7,47,0.54,0.45,49
2018-06-05,CRC,9.0,0.15,0.15,20,0.0,0.23,21
2018-06-05,BYD,52.5,1.1,1.38,31,1.9,1.87,29
2018-06-05,XAB,4.1,0.105,0.098,19,0.074,0.063,19
2018-06-05,AIA,72.5,1.61,1.46,22,1.77,1.76,21
2018-06-05,NCL,37.0,0.76,1.03,27,1.32,1.02,28
2018-06-05,PIN,4.0,0.18,0.2,38,0.11,0.11,36
2018-06-05,CDA,2.9,0.0,0.03,14,0.0,0.07,19
2018-06-05,XIC,6.5,0.178,0.199,19,0.082,0.068,18
2018-06-05,CCC,8.5,0.16,0.14,21,0.3,0.35,19
2018-06-05,CGN,2.2,0.0,0.07,0,0.05,0.06,25
2018-06-05,CCE,3.5,0.08,0.07,24,0.0,0.14,23
2018-06-05,SUN,32.0,1.28,1.46,42,1.4,1.33,41
2018-06-05,CCS,4.4,0.12,0.15,32,0.12,0.13,30
2018-06-05,SAN,45.0,1.34,1.27,24,0.95,0.98,24
2018-06-05,COG,16.5,0.85,1.01,43,0.69,0.48,42
2018-06-05,AAC,120.0,2.92,3.27,30,4.42,4.39,32
2018-06-05,FIH,1.7,0.0,0.01,45,0.0,0.23,46
2018-06-05,GAC,9.5,0.3,0.36,36,0.3,0.31,34
2018-06-05,MGM,22.0,0.37,0.32,25,0.67,0.93,27
2018-06-05,PAI,77.5,1.94,2.03,14,1.12,0.97,17
2018-06-05,MEN,28.0,1.26,1.29,33,0.82,0.69,34
2018-06-05,PIC,14.5,0.28,0.31,27,0.82,0.72,27
2018-06-05,GWM,7.75,0.29,0.27,26,0.15,0.16,27
2018-06-05,SNO,157.5,7.1,7.56,37,0.0,4.63,37
2018-06-05,BOC,39.0,1.06,1.22,17,0.46,0.32,16
2018-06-05,ALC,4.2,0.11,0.13,30,0.0,0.13,31
2018-06-05,CPI,35.0,0.55,0.6,25,1.4,1.44,23
2018-06-05,CLI,23.0,0.2,0.16,16,0.85,0.77,13
2018-06-05,RFP,19.0,0.0,0.66,26,0.44,0.4,27
2018-06-05,TRF,31.0,0.73,0.78,15,0.29,0.25,14
2018-06-05,CSA,15.0,0.27,0.34,18,0.29,0.22,18
2018-06-05,A50,14.5,0.34,0.41,19,0.23,0.16,17
2018-06-05,HCF,125.0,1.48,1.64,17,0.0,3.1,18
2018-06-05,STC,80.0,0.77,0.85,19,0.0,2.49,18
2018-06-05,ZJM,3.3,0.0,0.13,33,0.11,0.1,34
2018-06-05,AMC,48.0,0.52,0.65,15,0.0,0.9,16
2018-06-05,NBM,9.25,0.31,0.3,41,0.0,0.47,39
2018-06-05,BCM,6.25,0.0,0.14,21,0.09,0.34,17
2018-06-05,EVG,24.0,1.08,1.1,42,0.94,0.91,41
2018-06-05,PLE,0.8,0.04,0.04,73,0.0,0.07,61
2018-06-05,KSO,25.0,0.58,0.68,29,0.93,0.82,30
2018-06-05,CMB,33.0,0.62,0.39,25,0.92,1.45,23
2018-06-05,XBC,4.2,0.068,0.071,16,0.082,0.07,17
2018-06-05,CTS,20.0,0.47,0.2,21,0.0,0.99,19
2018-06-05,HAI,10.0,0.18,0.25,28,0.4,0.32,28
