Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-06-08,1,CKH,90.05,-1.0,-1.1,615,380,-50.46,284,551,138.53,90.00,17.0,13,14,1.40,1.20,-0.72,-37.5,1.61,1.38,0.93,1.15,+0.39,51.32,1.56,1.54,0.48,-0.51,0.08,0.08,0.0,0.02,0.76,1.21,1.67,4.6,9.06,8.95,4.51,1.69,1.25,0.81,0.09,0.0
2018-06-08,2,CLP,81.95,-1.2,-1.44,615,380,-50.46,284,551,138.53,82.50,16.0,12,12,0.94,0.73,-0.62,-45.93,1.06,0.89,0.99,1.24,+0.54,77.14,1.6,1.63,0.38,-0.62,0.07,0.07,0.0,0.0,0.33,0.73,1.14,3.62,7.65,8.74,4.65,1.69,1.27,0.87,0.07,0.0
2018-06-08,3,HKG,15.48,-1.8,-10.42,615,380,-50.46,284,551,138.53,15.50,40.0,13,13,0.15,0.19,-1.59,-89.33,0.62,0.56,0.00,0.20,+0.19,1900.0,0.64,0.61,0.46,-0.54,0.01,0.01,0.0,0.0,0.12,0.19,0.27,0.77,1.53,1.57,0.79,0.29,0.21,0.14,0.01,0.0
2018-06-08,4,WHL,25.8,-0.1,-0.39,615,380,-50.46,284,551,138.53,26.00,16.0,19,20,0.33,0.38,-0.08,-17.39,0.32,0.27,0.00,0.59,+0.08,15.69,0.52,0.53,0.42,-0.57,0.02,0.02,0.0,0.06,0.27,0.4,0.53,1.21,2.38,2.78,1.56,0.75,0.62,0.5,0.13,0.0
2018-06-08,5,HKB,76.55,-0.7,-0.91,615,380,-50.46,284,551,138.53,77.50,13.0,12,11,0.65,0.54,-0.33,-37.93,0.57,0.5,1.15,1.38,+0.37,36.63,1.51,1.62,0.31,-0.71,0.06,0.06,0.0,0.0,0.25,0.46,0.85,3.0,6.71,8.61,4.78,1.93,1.33,0.95,0.08,0.0
2018-06-08,6,HEH,55.45,-0.5,-0.89,615,380,-50.46,284,551,138.53,55.00,20.0,12,11,1.23,0.93,-0.35,-27.34,1.37,1.22,0.20,0.40,+0.09,29.03,0.91,0.89,0.59,-0.4,0.05,0.05,0.0,0.04,0.62,0.9,1.22,3.23,6.0,5.09,2.33,0.66,0.39,0.18,0.0,0.0
2018-06-08,11,HSB,200.2,-1.4,-0.69,615,380,-50.46,284,551,138.53,200.00,18.0,13,14,3.50,2.74,-0.77,-21.94,3.66,3.15,1.85,2.55,+0.63,32.81,3.45,3.4,0.49,-0.51,0.19,0.19,0.0,0.06,1.73,2.74,3.76,10.3,20.24,19.82,9.96,3.72,2.73,1.75,0.18,0.0
2018-06-08,12,HLD,45.95,-0.15,-0.33,615,380,-50.46,284,551,138.53,46.00,43.0,17,18,0.68,0.76,-0.15,-16.48,1.98,1.77,0.57,0.82,+0.09,12.33,2.03,1.93,0.47,-0.52,0.04,0.04,0.0,0.09,0.53,0.77,1.0,2.38,4.55,4.64,2.46,1.09,0.86,0.64,0.15,0.0
2018-06-08,16,SHK,126.9,-1.3,-1.01,615,380,-50.46,284,551,138.53,127.50,15.0,15,15,1.81,1.55,-0.71,-31.42,1.58,1.32,1.49,2.17,+0.81,59.56,2.17,2.2,0.43,-0.57,0.12,0.12,0.0,0.07,0.99,1.64,2.28,6.03,12.1,13.29,7.01,2.85,2.23,1.61,0.27,0.0
2018-06-08,17,NWD,12.1,-0.32,-2.58,615,380,-50.46,284,551,138.53,12.00,21.0,23,23,0.00,0.32,-0.19,-37.25,0.31,0.27,0.12,0.21,+0.11,110.0,0.21,0.2,0.55,-0.44,0.01,0.01,0.0,0.07,0.27,0.33,0.39,0.76,1.31,1.11,0.58,0.29,0.23,0.17,0.06,0.0
2018-06-08,19,SWA,83.25,0.05,0.06,615,380,-50.46,284,551,138.53,82.50,18.0,15,16,1.71,1.63,-0.04,-2.4,1.92,1.72,0.84,0.89,-0.07,-7.29,1.16,1.15,0.58,-0.42,0.08,0.08,0.0,0.19,1.22,1.64,2.06,4.95,9.08,7.58,3.64,1.38,0.97,0.56,0.07,0.0
2018-06-08,23,BEA,32.65,-0.65,-1.95,615,380,-50.46,284,551,138.53,33.00,19.0,20,22,0.77,0.49,-0.31,-38.75,0.47,0.4,0.63,0.85,+0.34,66.67,0.82,0.83,0.4,-0.59,0.03,0.03,0.0,0.08,0.32,0.49,0.66,1.47,2.92,3.62,2.09,1.06,0.91,0.75,0.21,0.02
2018-06-08,27,GLX,64.4,-0.55,-0.85,615,380,-50.46,284,551,138.53,65.00,26.0,23,25,1.32,1.18,-0.29,-19.73,1.42,1.24,1.60,1.82,+0.35,23.81,2.02,1.98,0.42,-0.57,0.06,0.06,0.0,0.26,0.88,1.21,1.54,3.07,5.91,7.04,4.14,2.25,1.94,1.62,0.51,0.13
2018-06-08,66,MTR,44.5,-0.35,-0.78,615,380,-50.46,284,551,138.53,44.00,18.0,11,12,0.00,0.79,-0.25,-24.04,1.07,0.97,0.24,0.29,+0.10,52.63,0.57,0.57,0.64,-0.37,0.04,0.04,0.0,0.02,0.52,0.75,1.08,2.73,4.95,3.95,1.77,0.51,0.29,0.15,0.0,0.0
