Date,Stock Code,Option Code,Closing,Change,Change(%),"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-05-31,1,CKH,88.55,1.1,1.26,408,611,76.08,765,518,-41.0,87.50,16.0,16,15,1.82,2.20,+0.65,41.94,2.26,2.01,1.09,0.98,-0.64,-39.51,1.21,1.24,0.59,-0.41,0.1,0.09,0.0,0.4,1.77,2.22,2.67,5.67,9.92,7.81,3.72,1.49,1.06,0.62,0.13,0.0
2018-05-31,2,CLP,82.4,0.7,0.86,408,611,76.08,765,518,-41.0,82.50,14.000000000000002,13,13,0.74,0.93,+0.11,13.41,1.38,1.14,2.07,1.57,-0.65,-29.28,1.47,1.5,0.46,-0.54,0.09,0.09,0.0,0.1,0.82,1.24,1.66,4.18,8.15,8.34,4.31,1.74,1.33,0.93,0.16,0.0
2018-05-31,3,HKG,16.96,0.02,0.12,408,611,76.08,765,518,-41.0,17.00,11.0,15,14,0.16,0.19,0.00,0.0,0.21,0.17,0.42,0.42,-0.05,-10.64,0.25,0.26,0.45,-0.55,0.02,0.02,0.0,0.04,0.2,0.29,0.37,0.87,1.66,1.74,0.91,0.39,0.3,0.22,0.04,0.0
2018-05-31,4,WHL,25.35,0.2,0.8,408,611,76.08,765,518,-41.0,25.00,17.0,21,21,0.67,0.80,+0.06,8.11,0.68,0.61,0.45,0.44,-0.09,-16.98,0.33,0.34,0.58,-0.41,0.03,0.03,0.03,0.19,0.68,0.81,0.94,1.74,2.89,2.21,1.11,0.58,0.46,0.33,0.12,0.0
2018-05-31,5,HKB,75.95,1.0,1.33,408,611,76.08,765,518,-41.0,75.00,18.0,15,14,1.59,1.84,+0.54,41.54,2.12,1.89,1.00,0.75,-0.50,-40.0,1.17,1.18,0.6,-0.39,0.08,0.08,0.0,0.31,1.45,1.84,2.23,4.86,8.55,6.64,3.11,1.16,0.79,0.42,0.06,0.0
2018-05-31,6,HEH,54.55,0.45,0.83,408,611,76.08,765,518,-41.0,55.00,20.0,13,12,0.62,0.64,+0.17,36.17,1.08,0.91,1.06,0.99,-0.30,-23.26,1.52,1.53,0.38,-0.63,0.06,0.06,0.0,0.02,0.35,0.63,0.91,2.44,5.01,5.91,3.18,1.28,1.01,0.74,0.12,0.0
2018-05-31,11,HSB,196.3,2.4,1.24,408,611,76.08,765,518,-41.0,197.50,17.0,14,14,1.35,2.56,+0.56,28.0,3.45,2.88,5.75,3.79,-1.85,-32.8,4.63,4.69,0.41,-0.58,0.21,0.21,0.0,0.24,1.71,2.72,3.72,9.25,18.45,20.83,11.24,4.86,3.89,2.93,0.61,0.0
2018-05-31,12,HLD,51.6,0.45,0.88,408,611,76.08,765,518,-41.0,52.50,16.0,22,20,0.39,0.50,+0.19,61.29,0.55,0.48,2.43,2.49,-0.45,-15.31,1.44,1.54,0.38,-0.63,0.05,0.05,0.0,0.23,0.66,0.93,1.19,2.25,4.45,6.06,3.65,1.95,1.69,1.44,0.44,0.12
2018-05-31,16,SHK,126.6,1.3,1.04,408,611,76.08,765,518,-41.0,127.50,16.0,13,14,1.26,1.56,+0.22,16.42,1.96,1.63,2.59,2.40,-1.08,-31.03,2.85,2.92,0.39,-0.59,0.13,0.14,0.0,0.06,0.89,1.54,2.18,5.78,11.77,13.56,7.36,3.2,2.58,1.95,0.41,0.0
2018-05-31,17,NWD,12.04,0.24,2.03,408,611,76.08,765,518,-41.0,12.00,21.0,25,25,0.24,0.36,+0.08,28.57,0.32,0.28,0.36,0.31,-0.15,-32.61,0.28,0.28,0.51,-0.48,0.01,0.01,0.03,0.11,0.32,0.38,0.44,0.75,1.28,1.19,0.67,0.4,0.34,0.28,0.1,0.03
